time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/policy_gradient_loss,train/clip_range,train/loss,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/entropy_loss,train/explained_variance
1,0,710.0,200.0,256,911,,,,,,,,,,
2,0,545.0,200.0,512,926,-0.003826771373860538,0.3,2607.682373046875,10,9443.510534667968,0.00044292235,0.0,0.0003,-2.5647894024848936,-0.0001995563507080078
3,0,493.3333333333333,200.0,768,933,-0.0008114307885989547,0.3,14910.4130859375,20,18154.59274902344,0.00014706748,0.0,0.0003,-2.564092743396759,-0.001698136329650879
4,1,344.0,200.0,1024,937,-0.002973141707479954,0.3,5968.39453125,30,9202.288122558593,0.00048280158,0.0,0.0003,-2.563775968551636,0.0017960071563720703
5,1,228.33333333333334,200.0,1280,944,-0.004519572504796088,0.3,289.59625244140625,40,497.52562789916993,0.0006419716,0.0,0.0003,-2.5633908033370973,-0.033092379570007324
6,1,247.14285714285714,200.0,1536,943,-0.0027736753108911216,0.3,363.3262939453125,50,556.956022644043,0.0004256845,0.0,0.0003,-2.563091289997101,-0.0025347471237182617
7,1,258.75,200.0,1792,943,-0.004982917942106724,0.3,8122.9609375,60,9320.99006652832,0.0007160879,0.0,0.0003,-2.561627435684204,-4.494190216064453e-05
8,2,274.0,200.0,2048,944,-0.0011069942731410265,0.3,9802.810546875,70,18417.36884765625,0.00039895205,0.0,0.0003,-2.557836616039276,0.002442598342895508
9,2,333.6363636363636,200.0,2304,943,-0.0010789689142256976,0.3,4476.60498046875,80,9269.41022796631,0.0001559048,0.0,0.0003,-2.555434548854828,0.0046086907386779785
10,2,325.8333333333333,200.0,2560,942,-0.002177168661728501,0.3,9873.5546875,90,19020.660083007813,0.00018866966,0.0,0.0003,-2.5560781598091125,0.002291083335876465
11,2,342.85714285714283,200.0,2816,941,-0.0031895575812086463,0.3,1453.8525390625,100,9405.4357421875,0.0008221483,0.0,0.0003,-2.555339825153351,0.0038109421730041504
