rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/n_updates,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/loss,train/learning_rate
200.0,256,0,840.0,1021,1,,,,,,,,,,
200.0,512,0,990.0,1047,2,10,0.3,-2.5646498918533327,14364.635852050782,0.0,-0.00571147627197206,-0.0001823902130126953,0.00082556275,8926.3115234375,0.0003
200.0,768,0,756.6666666666666,1044,3,20,0.3,-2.5633172392845154,18378.700317382812,0.0,-0.003451110958121717,-0.00043582916259765625,0.0006081194,7182.53369140625,0.0003
200.0,1024,0,708.0,1039,4,30,0.3,-2.5609391212463377,27053.77744140625,0.0,-0.001921662234235555,-0.0031342506408691406,0.00038189557,9041.546875,0.0003
200.0,1280,1,683.3333333333334,1047,5,40,0.3,-2.5575434923172,14178.698181152344,0.0,-0.007228435436263681,0.00018006563186645508,0.0023592135,9905.6240234375,0.0003
200.0,1536,1,622.8571428571429,1055,6,50,0.3,-2.543785333633423,14394.217730712891,0.0,-0.0038988943444564937,0.000310361385345459,0.003219384,7911.13818359375,0.0003
200.0,1792,1,627.5,1058,7,60,0.3,-2.5322294354438784,14079.91953125,0.0,-0.004847179912030697,0.0005029439926147461,0.0021560318,3733.457763671875,0.0003
200.0,2048,1,550.0,1064,8,70,0.3,-2.527247953414917,27693.745703125,0.0,-0.0028147874167189003,-6.985664367675781e-05,0.0011765254,16626.12109375,0.0003
200.0,2304,2,562.7272727272727,1069,9,80,0.3,-2.5186131954193116,14672.945385742187,0.0,-0.0014650068012997508,-0.008042335510253906,0.0004266731,7828.11083984375,0.0003
200.0,2560,2,604.1666666666666,1074,10,90,0.3,-2.5071476101875305,13344.4220703125,0.0,-0.009623286058194935,-0.0008283853530883789,0.005524602,5929.74072265625,0.0003
200.0,2816,2,585.0,1078,11,100,0.3,-2.464486241340637,27445.8728515625,0.0,-0.009021005942486227,6.139278411865234e-06,0.008419056,15598.365234375,0.0003
200.0,3072,2,498.6666666666667,1078,12,110,0.3,-2.4685836672782897,14087.383203125,0.005859375,-0.017234418913722037,-4.076957702636719e-05,0.011776436,9399.8603515625,0.0003
200.0,3328,3,476.875,1081,13,120,0.3,-2.490703058242798,13678.542687988282,0.0,-0.003979726159013808,-5.7220458984375e-06,0.002857966,9292.708984375,0.0003
200.0,3584,3,421.7647058823529,1083,14,130,0.3,-2.492096018791199,1361.5638916015625,0.0,-0.0027328476775437594,7.861852645874023e-05,0.0012858503,731.8125,0.0003
200.0,3840,3,420.5263157894737,1085,15,140,0.3,-2.4848026394844056,14524.908508300781,0.0,-0.003162960219196975,3.30805778503418e-05,0.0012338932,4002.1220703125,0.0003
200.0,4096,3,435.0,1086,16,150,0.3,-2.463741087913513,27978.57705078125,0.0,-0.0014445854118093847,-8.940696716308594e-06,0.0006829719,10362.9892578125,0.0003
200.0,4352,4,424.2857142857143,1085,17,160,0.3,-2.464427423477173,14628.131689453125,0.0,-0.006025107391178608,-1.0609626770019531e-05,0.005322711,8912.68359375,0.0003
200.0,4608,4,435.2173913043478,1086,18,170,0.3,-2.5032334089279176,15019.4515625,0.0,0.0002033900236710906,2.9206275939941406e-06,0.0007038587,8720.1787109375,0.0003
200.0,4864,4,438.75,1086,19,180,0.3,-2.491082751750946,13956.1392578125,0.0,-0.0028124784817919134,0.00013685226440429688,0.001453764,8409.4072265625,0.0003
200.0,5120,4,459.6,1087,20,190,0.3,-2.4849937319755555,28276.25595703125,0.0,-0.00012645020615309477,0.0005001425743103027,0.00016367785,11703.271484375,0.0003
200.0,5376,4,469.2307692307692,1086,21,200,0.3,-2.4903628826141357,14459.105139160156,0.0,-0.0010305073577910663,0.0001093149185180664,0.0001387659,9277.8388671875,0.0003
200.0,5632,5,465.7142857142857,1087,22,210,0.3,-2.4948492527008055,14457.767309570312,0.0,-0.005512821953743696,4.351139068603516e-06,0.0018652873,7882.06005859375,0.0003
200.0,5888,5,460.3448275862069,1086,23,220,0.3,-2.4910940170288085,12963.903979492188,0.0,-0.0026524838991463183,0.0006256103515625,0.0009893635,4010.622314453125,0.0003
200.0,6144,5,465.3333333333333,1084,24,230,0.3,-2.4729820489883423,26778.282763671876,0.0,-0.003510128636844456,0.0016269683837890625,0.00064610364,13224.5546875,0.0003
200.0,6400,5,476.5625,1084,25,240,0.3,-2.462671160697937,14356.604931640624,0.0,-0.0007933920191135257,0.004611313343048096,0.00019326736,4904.8955078125,0.0003
200.0,6656,6,467.57575757575756,1085,26,250,0.3,-2.448995065689087,17390.378637695314,0.0,-0.0008644704823382199,0.007023334503173828,9.951368e-05,7958.439453125,0.0003
200.0,6912,6,480.0,1086,27,260,0.3,-2.4687628030776976,15692.874951171874,0.0,-0.0010237410664558412,0.0009143352508544922,0.0001131522,6810.3642578125,0.0003
200.0,7168,6,483.7142857142857,1086,28,270,0.3,-2.4620809316635133,13959.719921875,0.0,-0.0012247629929333925,0.005607247352600098,0.000104954466,3792.8798828125,0.0003
200.0,7424,6,473.2432432432432,1087,29,280,0.3,-2.4652693629264832,1175.892840576172,0.0,-0.001575880404561758,0.020979642868041992,0.00026436197,465.3420104980469,0.0003
200.0,7680,7,474.2105263157895,1087,30,290,0.3,-2.4554189443588257,13952.676586914062,0.0,-0.00027633465360850097,0.00036895275115966797,3.803661e-05,5041.46630859375,0.0003
200.0,7936,7,471.79487179487177,1086,31,300,0.3,-2.4666566133499144,27295.006884765626,0.0,-0.0008702748222276568,0.003925979137420654,5.2507734e-05,11925.751953125,0.0003
200.0,8192,7,471.75,1087,32,310,0.3,-2.4513731956481934,14066.623510742187,0.0,-0.0014836778864264488,-0.008557438850402832,0.00015214481,10717.357421875,0.0003
200.0,8448,7,421.9047619047619,1088,33,320,0.3,-2.4637904167175293,946.8606872558594,0.0,-0.0011325219995342195,0.14937305450439453,0.00015150523,421.0018615722656,0.0003
200.0,8704,8,424.8837209302326,1087,34,330,0.3,-2.4531917929649354,13776.053442382812,0.0,-0.0014231625013053418,0.005125164985656738,0.00029366906,4168.3935546875,0.0003
200.0,8960,8,423.6363636363636,1087,35,340,0.3,-2.468351459503174,13378.989013671875,0.0,-0.0007638252107426524,0.0035592317581176758,0.00017359736,7298.0224609375,0.0003
200.0,9216,8,438.2608695652174,1088,36,350,0.3,-2.4635223627090452,14117.490100097657,0.0,-0.0011744659394025802,0.02571779489517212,0.00013163849,3023.904541015625,0.0003
200.0,9472,8,441.06382978723406,1086,37,360,0.3,-2.47564115524292,29065.956640625,0.0,-0.000590789713896811,0.020337700843811035,4.7067413e-05,20671.9140625,0.0003
200.0,9728,8,443.75,1086,38,370,0.3,-2.4498751521110536,13573.187768554688,0.0,-0.0005590969929471612,0.02692127227783203,4.499941e-05,10858.26953125,0.0003
200.0,9984,9,441.0204081632653,1086,39,380,0.3,-2.466735768318176,13030.942761230468,0.0,-0.0006716194562613964,0.016976118087768555,5.612988e-05,2500.31396484375,0.0003
200.0,10240,9,455.6862745098039,1087,40,390,0.3,-2.4539764165878295,13768.21123046875,0.0,-0.0002568104770034552,0.04243957996368408,2.9433751e-05,3509.242431640625,0.0003
200.0,256,0,220.0,1361,1,400,0.3,-2.4598459720611574,17075.40166015625,0.0,-0.0004577229963615537,-0.019283533096313477,1.62106e-05,7310.35498046875,0.0003
200.0,512,0,345.0,1217,2,10,0.3,-2.564533603191376,9366.086614990234,0.0,-0.005186797631904483,0.0001245737075805664,0.0011381118,3830.999755859375,0.0003
200.0,768,0,366.6666666666667,1138,3,20,0.3,-2.562555503845215,17722.712890625,0.0,-0.0026644670637324453,0.0023685097694396973,0.0004401661,8966.8896484375,0.0003
200.0,1024,0,462.0,1111,4,30,0.3,-2.5609831690788267,8951.271130371093,0.0,-0.0035988343879580498,0.0032949447631835938,0.000756823,8405.798828125,0.0003
200.0,1280,1,460.0,1108,5,40,0.3,-2.5605411767959594,9321.990686035157,0.0,-0.002686497685499489,0.006158649921417236,0.0007442646,6617.595703125,0.0003
200.0,1536,1,435.7142857142857,1099,6,50,0.3,-2.55541478395462,9100.77841796875,0.0,-0.005216648452915251,0.0031351447105407715,0.0018022631,7572.32080078125,0.0003
200.0,1792,1,492.5,1098,7,60,0.3,-2.5476022481918337,17494.872802734375,0.0,-0.002975316159427166,0.00818103551864624,0.0010731958,11057.126953125,0.0003
200.0,2048,1,506.0,1098,8,70,0.3,-2.5410627007484434,9568.576881408691,0.0,-0.0032521243672817947,0.016262948513031006,0.001054476,7806.50732421875,0.0003
200.0,2304,2,493.6363636363636,1099,9,80,0.3,-2.5361703038215637,8456.729974365235,0.0,-0.0027252121828496454,0.016139686107635498,0.0008076213,6095.04248046875,0.0003
200.0,2560,2,486.6666666666667,1100,10,90,0.3,-2.530425715446472,17937.9720703125,0.0,-0.0028038244927302003,0.007048904895782471,0.00044191326,9028.3330078125,0.0003
200.0,2816,2,510.0,1100,11,100,0.3,-2.521233689785004,9270.674084472656,0.0,-0.0025813377695158126,0.024092435836791992,0.0007053453,1232.737548828125,0.0003
200.0,3072,2,496.0,1101,12,110,0.3,-2.5180427551269533,16689.4634765625,0.0,-0.0010219812393188477,0.024771511554718018,0.00033881702,5894.01416015625,0.0003
200.0,3328,3,481.875,1102,13,120,0.3,-2.5117506623268127,9180.56655883789,0.0,-0.004534953669644892,0.016942918300628662,0.0015427531,2136.4150390625,0.0003
200.0,3584,3,425.88235294117646,1102,14,130,0.3,-2.438662600517273,106.15583724975586,0.189453125,-0.03558383421041071,-0.043439626693725586,0.061069414,52.743995666503906,0.0003
200.0,3840,3,431.05263157894734,1102,15,140,0.3,-2.3735754251480103,8714.114940261841,0.002734375,-0.005316888098604977,0.021548688411712646,0.005321636,3428.512939453125,0.0003
200.0,4096,3,427.0,1103,16,150,0.3,-2.3945893168449404,16160.986877441406,0.0,-0.0017670223489403725,0.029911339282989502,0.00090021105,3396.328369140625,0.0003
200.0,4352,3,445.7142857142857,1102,17,160,0.3,-2.3656149744987487,8870.770361328125,0.0,-0.0029582073446363212,0.044036149978637695,0.0016476777,2803.593994140625,0.0003
200.0,4608,4,449.5652173913044,1103,18,170,0.3,-2.358062505722046,9884.795147705077,0.0,-0.0023395147058181466,0.004181206226348877,0.0008823199,4028.59521484375,0.0003
200.0,4864,4,455.8333333333333,1100,19,180,0.3,-2.3641669750213623,16124.522265625,0.0,-0.0022129344521090387,0.044757068157196045,0.00054921233,4797.94873046875,0.0003
200.0,5120,4,446.0,1097,20,190,0.3,-2.3310760140419005,7337.626729583741,0.0,-0.0003412735415622592,0.01906818151473999,0.00041312887,79.99443817138672,0.0003
200.0,5376,4,453.46153846153845,1097,21,200,0.3,-2.3297181010246275,8985.137231445313,0.0,-0.003051652619615197,-0.00454258918762207,0.0010905697,6509.29345703125,0.0003
