time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/value_loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
0,256,1,200.0,-640.0,1092,,,,,,,,,,
0,512,2,200.0,-715.0,1057,145.46578979492188,-0.009941468224860727,-0.003938436508178711,0.0003,395.76161880493163,-2.5642516016960144,0.0,10,0.3,0.002140459
0,768,3,200.0,-706.6666666666666,1058,212.88787841796875,-0.004621847369708121,0.0006874799728393555,0.0003,495.4513198852539,-2.560354769229889,0.0,20,0.3,0.0012865665
0,1024,4,200.0,-560.0,1059,293.798828125,-0.009723682608455419,0.0015448331832885742,0.0003,569.0630752563477,-2.5566433548927305,0.0,30,0.3,0.0044575837
1,1280,5,200.0,-535.0,1060,130.9257354736328,-0.003945703315548599,0.002092599868774414,0.0003,209.2049118041992,-2.548109436035156,0.0,40,0.3,0.0017003426
1,1536,6,200.0,-542.8571428571429,1064,152.09605407714844,-0.006276348303072154,0.005289912223815918,0.0003,298.9152778625488,-2.539582407474518,0.0,50,0.3,0.0021579645
1,1792,7,200.0,-520.0,1064,74.4157485961914,-0.024600057397037745,0.0015655159950256348,0.0003,147.36433334350585,-2.5072605848312377,0.0546875,60,0.3,0.023061242
1,2048,8,200.0,-498.0,1065,404.2427978515625,-0.011595306498929859,0.0022820234298706055,0.0003,519.6808319091797,-2.4561293840408327,0.0,70,0.3,0.0110615175
2,2304,9,200.0,-497.27272727272725,1063,68.85189056396484,-0.008387652901001274,-0.0014400482177734375,0.0003,177.73458557128907,-2.398555099964142,0.0,80,0.3,0.007079863
2,2560,10,200.0,-485.8333333333333,1063,90.31741333007812,-0.011378718027845024,-0.0021584033966064453,0.0003,204.92200813293456,-2.3772202491760255,0.000390625,90,0.3,0.0076351874
2,2816,11,200.0,-470.0,1055,403.89593505859375,-0.008487939764745534,-0.0012841224670410156,0.0003,627.4305145263672,-2.4154524922370912,0.0,100,0.3,0.0069881007
2,3072,12,200.0,-458.0,1058,438.6965637207031,-0.012285997183062137,0.0012292265892028809,0.0003,604.1128723144532,-2.390760362148285,0.000390625,110,0.3,0.009691932
3,3328,13,200.0,-441.25,1059,388.65728759765625,-0.0038393882336094976,0.002015054225921631,0.0003,572.8801391601562,-2.3991164207458495,0.0,120,0.3,0.002267536
