time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/clip_fraction,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss,train/policy_gradient_loss
0,256,200.0,1,746,750.0,,,,,,,,,,
0,512,200.0,2,736,80.0,-2.564733159542084,10,0.0,0.3,9373.401849365235,0.0009506940841674805,0.0003,0.00061386195,7546.87109375,-0.005073402356356382
1,768,200.0,3,757,270.0,-2.563984739780426,20,0.0,0.3,10005.44453125,0.009697377681732178,0.0003,0.00021004817,6431.25,-0.0018227038672193885
1,1024,200.0,4,785,406.0,-2.563299858570099,30,0.0,0.3,9415.270458984374,-0.0030362606048583984,0.0003,0.00048022834,4277.24951171875,-0.0033752085757441817
1,1280,200.0,5,805,498.3333333333333,-2.561941611766815,40,0.0,0.3,9129.231701660156,-0.0009143352508544922,0.0003,0.00064079626,6085.1572265625,-0.0030883998144418
1,1536,200.0,6,817,494.2857142857143,-2.5605552434921264,50,0.0,0.3,18722.560620117187,0.007503390312194824,0.0003,0.00011665723,11460.14453125,-0.0005390093894675374
2,1792,200.0,7,827,486.25,-2.5600306749343873,60,0.0,0.3,9109.770239257812,0.00405728816986084,0.0003,0.00041956874,5923.4033203125,-0.003250658023171127
2,2048,200.0,8,839,470.0,-2.559611141681671,70,0.0,0.3,8876.283911132812,0.004204988479614258,0.0003,0.00049980567,7016.2080078125,-0.002600813750177622
2,2304,200.0,9,844,469.09090909090907,-2.5559756994247436,80,0.0,0.3,17977.93271484375,0.009268343448638916,0.0003,0.00017117825,13679.208984375,-0.0007247598376125097
3,2560,200.0,10,848,459.1666666666667,-2.5521573662757873,90,0.0,0.3,9170.00107421875,0.004419684410095215,0.0003,0.0012571188,2517.175048828125,-0.0054167479975149035
3,2816,200.0,11,851,465.0,-2.5471071362495423,100,0.0,0.3,9327.273907470702,0.01958221197128296,0.0003,0.00035958295,7361.6416015625,-0.0010021328460425138
3,3072,200.0,12,855,450.0,-2.546673285961151,110,0.0,0.3,9502.605163574219,-0.012212753295898438,0.0003,0.00087695196,3896.2490234375,-0.0034153541084378956
3,3328,200.0,13,859,468.75,-2.543852698802948,120,0.0,0.3,17792.991943359375,-0.006116747856140137,0.0003,0.0007111381,5086.23046875,-0.002692414354532957
4,3584,200.0,14,862,479.4117647058824,-2.532775139808655,130,0.0,0.3,9975.003704833984,-0.0034786462783813477,0.0003,0.0008955712,6403.52392578125,-0.00259924225974828
4,3840,200.0,15,868,454.7368421052632,-2.528917336463928,140,0.0,0.3,9662.06123046875,0.0001932978630065918,0.0003,0.0020944087,3424.5615234375,-0.006390538904815913
4,4096,200.0,16,869,470.5,-2.522841513156891,150,0.0,0.3,9316.288195800782,0.013720273971557617,0.0003,0.0020044018,3099.70751953125,-0.0036055515054613354
4,4352,200.0,17,870,484.76190476190476,-2.5172374725341795,160,0.0,0.3,9310.326806640625,-0.006578803062438965,0.0003,0.0013798771,3078.5615234375,-0.0036449159262701867
5,4608,200.0,18,870,503.9130434782609,-2.509128141403198,170,0.0,0.3,9585.48094482422,0.0010204315185546875,0.0003,0.0034014855,3752.755859375,-0.007471947325393557
5,4864,200.0,19,859,500.4166666666667,-2.469261133670807,180,0.05625,0.3,9325.946942138671,0.0010845065116882324,0.0003,0.01570179,4283.9296875,-0.01235475589055568
5,5120,200.0,20,855,518.0,-2.4116693139076233,190,0.0,0.3,17849.167211914064,0.00956714153289795,0.0003,0.003469931,7400.9091796875,-0.007168119749985635
6,5376,200.0,21,854,521.1538461538462,-2.384519302845001,200,0.0,0.3,9618.170861816407,0.012431859970092773,0.0003,0.0028518636,1749.2152099609375,-0.004930020123720169
6,5632,200.0,22,853,514.6428571428571,-2.391351342201233,210,0.0,0.3,9266.484020996093,0.03221803903579712,0.0003,0.002467727,4761.98193359375,-0.002963793999515474
6,5888,200.0,23,849,511.37931034482756,-2.422967088222504,220,0.0,0.3,8884.080395507812,0.02010023593902588,0.0003,0.0010922432,4586.5595703125,-0.0027105632005259396
7,6144,200.0,24,846,509.3333333333333,-2.404813516139984,230,0.0,0.3,17619.698193359374,0.02346426248550415,0.0003,0.0012624476,8813.5537109375,-0.0022470499388873577
7,6400,200.0,25,845,509.6875,-2.37013658285141,240,0.0,0.3,8866.798147583007,0.044844746589660645,0.0003,0.0019004878,7111.380859375,-0.003929261909797787
7,6656,200.0,26,841,512.4242424242424,-2.3725516200065613,250,0.0,0.3,9362.47431640625,-0.012653470039367676,0.0003,0.0014818483,6606.33740234375,-0.003376186708919704
8,6912,200.0,27,837,510.0,-2.3541549921035765,260,0.0,0.3,9941.594165039063,-0.05354475975036621,0.0003,0.00063060876,6589.765625,-0.0010218204697594047
8,7168,200.0,28,838,505.7142857142857,-2.324773406982422,270,0.0,0.3,18228.956494140624,0.009388446807861328,0.0003,0.0037007467,11693.33984375,-0.006320934323593974
8,7424,200.0,29,836,503.7837837837838,-2.2734835743904114,280,0.0,0.3,9045.357385253907,0.014513075351715088,0.0003,0.0029920423,6168.130859375,-0.005041347921360284
9,7680,200.0,30,835,506.8421052631579,-2.2788564562797546,290,0.0,0.3,17677.930395507814,0.015723347663879395,0.0003,0.0013907035,9853.36328125,-0.004200168303214014
9,7936,200.0,31,834,502.3076923076923,-2.31992130279541,300,0.01640625,0.3,9317.097924804688,0.016560018062591553,0.0003,0.011117293,4147.14111328125,-0.013927609659731388
