time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,train/value_loss
1,996,0,200.0,-220.0,256,,,,,,,,,,
2,984,0,200.0,-410.0,512,-2.564671981334686,0.0008818391,0.0,0.0003,10,-0.005724272970110178,441.3713073730469,0.3,-0.0017267465591430664,1029.064111328125
3,1009,0,200.0,-403.3333333333333,768,-2.5634167551994325,0.0006590602,0.0,0.0003,20,-0.003544612671248615,247.28077697753906,0.3,0.0026224851608276367,689.9900741577148
4,1018,1,200.0,-358.0,1024,-2.5615682721138002,0.0008835944,0.0,0.0003,30,-0.004431276675313711,241.04483032226562,0.3,-0.0013278722763061523,554.2272171020508
5,1028,1,200.0,-353.3333333333333,1280,-2.557719612121582,0.0053019915,0.0,0.0003,40,-0.012039208807982505,395.5605773925781,0.3,-0.0005686283111572266,759.1131134033203
6,1016,1,200.0,-377.14285714285717,1536,-2.5393335700035093,0.0039963173,0.0,0.0003,50,-0.0031446976470761003,590.1596069335938,0.3,-0.0007016658782958984,1342.9049407958985
7,1012,1,200.0,-385.0,1792,-2.5285478711128233,0.00039881584,0.0,0.0003,60,-0.0015746557153761386,251.52615356445312,0.3,0.00018274784088134766,476.8147277832031
8,1015,2,200.0,-371.0,2048,-2.525800085067749,0.00053754495,0.0,0.0003,70,-0.0031264710240066053,283.8855285644531,0.3,0.0011079907417297363,494.5453628540039
9,1010,2,200.0,-382.72727272727275,2304,-2.5266682505607605,0.0025956584,0.0,0.0003,80,-0.006390098575502634,591.8707275390625,0.3,0.0011216998100280762,1373.3439666748047
10,996,2,200.0,-334.1666666666667,2560,-2.5268741726875303,0.004603397,0.0,0.0003,90,-0.01278907391242683,425.6717529296875,0.3,0.0028061866760253906,1072.127426147461
11,997,2,200.0,-359.2857142857143,2816,-2.512477362155914,0.002064493,0.0,0.0003,100,-0.0037006926722824574,444.4065856933594,0.3,0.019557178020477295,882.9789627075195
12,998,3,200.0,-358.0,3072,-2.502576696872711,0.00085465703,0.0,0.0003,110,-0.0023471434600651265,168.1189727783203,0.3,-0.039375901222229004,402.09462280273436
13,1001,3,200.0,-360.625,3328,-2.4587913751602173,0.033667766,0.09453125,0.0003,120,-0.023182701878249647,756.9623413085938,0.3,-0.00016188621520996094,1211.537759399414
14,997,3,200.0,-365.29411764705884,3584,-2.3992701530456544,0.0033460583,0.0,0.0003,130,0.0010974189732223748,160.86199951171875,0.3,-0.0008083581924438477,308.4399894714355
15,995,3,200.0,-370.5263157894737,3840,-2.4149454474449157,0.0019514523,0.0,0.0003,140,-0.005692439805716276,443.50634765625,0.3,0.005939304828643799,1000.9091156005859
16,995,4,200.0,-370.0,4096,-2.4395469784736634,0.0012617717,0.0,0.0003,150,-0.001930144033394754,130.50469970703125,0.3,-0.06641530990600586,364.75067977905275
17,994,4,200.0,-371.42857142857144,4352,-2.454789435863495,0.0044572726,0.0,0.0003,160,-0.007344569626729936,146.83653259277344,0.3,0.0007638335227966309,276.8475570678711
18,993,4,200.0,-374.3478260869565,4608,-2.4386513948440554,0.0014441155,0.0,0.0003,170,-0.0012530230917036534,175.3939971923828,0.3,8.404254913330078e-06,385.1108123779297
19,993,4,200.0,-383.3333333333333,4864,-2.420617401599884,0.013758184,0.029296875,0.0003,180,-0.014438903937116266,574.5341796875,0.3,0.0003587007522583008,1141.2907836914062
20,994,5,200.0,-385.2,5120,-2.3813716530799867,0.0033706136,0.0,0.0003,190,-0.004027277207933366,261.3489990234375,0.3,-1.7523765563964844e-05,613.568327331543
21,996,5,200.0,-381.15384615384613,5376,-2.3695966482162474,0.013323965,0.003515625,0.0003,200,-0.014968312706332653,83.8528060913086,0.3,-0.0011668205261230469,248.0238998413086
22,999,5,200.0,-371.42857142857144,5632,-2.2953797578811646,0.028816456,0.057421875,0.0003,210,-0.013912989175878465,93.06989288330078,0.3,-0.001621246337890625,221.98844261169432
23,1001,5,200.0,-363.44827586206895,5888,-2.2414631485939025,0.014027263,0.01875,0.0003,220,-0.007455620099790394,317.94683837890625,0.3,0.001761794090270996,886.558708190918
24,994,6,200.0,-359.0,6144,-2.237639904022217,0.0063081505,0.0,0.0003,230,-0.010271534463390708,440.18292236328125,0.3,0.0004354119300842285,936.7495544433593
25,996,6,200.0,-347.5,6400,-2.250557041168213,0.0014014351,0.0,0.0003,240,-0.0012198057724162937,157.2660675048828,0.3,-0.0001024007797241211,352.63412322998045
26,997,6,200.0,-341.2121212121212,6656,-2.2242085695266725,0.0007203501,0.0,0.0003,250,-0.002063861582428217,716.765625,0.3,0.0011148452758789062,1573.6101165771483
27,997,6,200.0,-336.7647058823529,6912,-2.2126755118370056,0.00043910975,0.0,0.0003,260,-0.0018223135848529637,394.0120849609375,0.3,0.04294383525848389,690.5171569824219
28,996,7,200.0,-332.2857142857143,7168,-2.1966286301612854,0.00045144442,0.0,0.0003,270,-0.0019862127024680375,308.7726745605469,0.3,0.025802552700042725,716.9055816650391
29,996,7,200.0,-335.13513513513516,7424,-2.213988196849823,0.00083808997,0.0,0.0003,280,-0.0039503472275100645,169.4498291015625,0.3,0.03267759084701538,693.4761047363281
30,996,7,200.0,-335.2631578947368,7680,-2.1859493017196656,0.00021922146,0.0,0.0003,290,-0.000510885682888329,122.53761291503906,0.3,-0.09025943279266357,264.7309410095215
31,996,7,200.0,-333.0769230769231,7936,-2.195393240451813,0.0015707368,0.0,0.0003,300,-0.0031220327829942105,115.7697525024414,0.3,-0.014300823211669922,251.772371673584
32,995,8,200.0,-333.5,8192,-2.190793764591217,0.013321912,0.02265625,0.0003,310,-0.0098415554035455,465.7100830078125,0.3,0.0006795525550842285,915.5698547363281
33,995,8,200.0,-323.3333333333333,8448,-2.1103150606155396,0.0027536051,0.0,0.0003,320,-0.003518647328019142,539.6749267578125,0.3,0.043190181255340576,987.074658203125
34,996,8,200.0,-330.2325581395349,8704,-2.108865523338318,0.00054184766,0.0,0.0003,330,-0.0002754910383373499,639.0409545898438,0.3,0.03829902410507202,1197.8276092529297
35,996,8,200.0,-327.5,8960,-2.104119825363159,0.00024076528,0.0,0.0003,340,-0.0015969499479979276,201.30087280273438,0.3,-0.03374838829040527,376.9889862060547
36,995,9,200.0,-330.6521739130435,9216,-2.112353837490082,0.00051499205,0.0,0.0003,350,-0.0024825530359521507,482.8128967285156,0.3,0.02702927589416504,851.8655578613282
37,996,9,200.0,-334.8936170212766,9472,-2.1494327187538147,0.00012873625,0.0,0.0003,360,-0.0007823217776603997,120.52295684814453,0.3,-0.24773073196411133,341.31650466918944
38,996,9,200.0,-332.7083333333333,9728,-2.1273998260498046,9.004376e-05,0.0,0.0003,370,-6.657617632299662e-05,327.6087646484375,0.3,-0.1333301067352295,626.4758590698242
39,996,10,200.0,-334.8979591836735,9984,-2.141853356361389,0.005165407,0.000390625,0.0003,380,-0.008783525577746332,277.0787353515625,0.3,0.002515733242034912,913.7578674316406
40,997,10,200.0,-334.11764705882354,10240,-2.1660412311553956,0.0023384166,0.0,0.0003,390,-0.0021036005462519826,415.5112609863281,0.3,0.03133738040924072,834.8468688964844
1,1287,0,200.0,-420.0,256,-2.1545681238174437,0.003953932,0.0,0.0003,400,-0.007924008648842573,129.56141662597656,0.3,-0.0036182403564453125,292.1415771484375
2,1118,0,200.0,-425.0,512,-2.5647151470184326,0.0007418555,0.0,0.0003,10,-0.005820057610981167,266.38372802734375,0.3,-0.004315972328186035,515.2576797485351
3,1063,0,200.0,-353.3333333333333,768,-2.5629612684249876,0.0013085443,0.0,0.0003,20,-0.004862595372833312,309.3700866699219,0.3,-0.0007590055465698242,870.9113021850586
4,1044,0,200.0,-350.0,1024,-2.5606420278549193,0.00033491175,0.0,0.0003,30,-0.0016314800828695296,198.77171325683594,0.3,-0.0010292530059814453,335.49351654052737
5,1016,1,200.0,-355.0,1280,-2.5585559487342833,0.0016981727,0.0,0.0003,40,-0.00751536509487778,141.9623260498047,0.3,-0.014363527297973633,315.7316307067871
6,1006,1,200.0,-344.2857142857143,1536,-2.549099600315094,0.005835202,0.0,0.0003,50,-0.01103477505967021,211.52610778808594,0.3,-0.0008208751678466797,502.9498229980469
7,997,1,200.0,-333.75,1792,-2.5302181482315063,0.008026259,0.0,0.0003,60,-0.010364919062703848,87.39778137207031,0.3,0.0005286335945129395,193.46954269409179
8,987,2,200.0,-328.0,2048,-2.4884527564048766,0.033450495,0.04921875,0.0003,70,-0.022001585643738508,118.05003356933594,0.3,-0.0005424022674560547,192.3140785217285
9,988,2,200.0,-297.27272727272725,2304,-2.395551788806915,0.013545397,0.0,0.0003,80,-0.015644741570577027,177.9652557373047,0.3,-0.00013899803161621094,350.3425666809082
10,989,2,200.0,-294.1666666666667,2560,-2.3381883978843687,0.0028305177,0.0,0.0003,90,-0.004347738949581981,529.471435546875,0.3,-2.562999725341797e-05,797.2957000732422
11,995,2,200.0,-280.7142857142857,2816,-2.3572368025779724,0.0022455698,0.0,0.0003,100,-0.005020692152902484,83.35592651367188,0.3,-8.749961853027344e-05,188.37349624633788
12,998,3,200.0,-282.0,3072,-2.3516154646873475,0.002878125,0.0,0.0003,110,-0.005115502618718892,530.4324951171875,0.3,-0.00012695789337158203,829.1482589721679
13,999,3,200.0,-271.25,3328,-2.380569803714752,0.0019525073,0.0,0.0003,120,-0.0026329935993999244,81.01187133789062,0.3,6.794929504394531e-05,200.5637405395508
14,1001,3,200.0,-270.5882352941176,3584,-2.3491564750671388,0.026441593,0.046875,0.0003,130,-0.015533972065895796,437.15277099609375,0.3,0.00010544061660766602,810.4183532714844
15,1003,3,200.0,-270.5263157894737,3840,-2.282509648799896,0.008501193,0.0,0.0003,140,-0.008013477036729454,19.01299285888672,0.3,0.0007511377334594727,94.0235403060913
16,997,4,200.0,-272.5,4096,-2.218862748146057,0.011347443,0.003515625,0.0003,150,-0.007943393662571907,64.60417938232422,0.3,0.00020390748977661133,271.1238426208496
17,993,4,200.0,-270.95238095238096,4352,-2.1495506882667543,0.0063569588,0.0,0.0003,160,-0.001492741541005671,73.37200164794922,0.3,0.0010045170783996582,247.33429641723632
18,984,4,200.0,-260.8695652173913,4608,-2.177880561351776,0.01002058,0.000390625,0.0003,170,-0.012766163772903382,404.6707458496094,0.3,0.0009674429893493652,605.8550918579101
19,981,4,200.0,-257.5,4864,-2.2577179431915284,0.004347467,0.002734375,0.0003,180,-0.0024469948373734953,71.27490997314453,0.3,0.00607144832611084,213.69324989318847
20,984,5,200.0,-257.6,5120,-2.2357303857803346,0.002899114,0.0,0.0003,190,-0.006392548605799675,541.5948486328125,0.3,0.002324819564819336,834.2567474365235
21,987,5,200.0,-249.23076923076923,5376,-2.2360396862030028,0.0023672783,0.0,0.0003,200,-0.0037694218335673213,104.40474700927734,0.3,-0.018732666969299316,159.69070358276366
22,989,5,200.0,-248.92857142857142,5632,-2.248189401626587,0.0032669834,0.0,0.0003,210,-0.0038069051690399645,500.1695556640625,0.3,0.0004429817199707031,703.183627319336
23,991,5,200.0,-252.41379310344828,5888,-2.276065409183502,0.0008203513,0.0,0.0003,220,-0.001032032072544098,104.73802185058594,0.3,0.010840773582458496,176.87245483398436
24,993,6,200.0,-244.33333333333334,6144,-2.2267607688903808,0.0028600008,0.0,0.0003,230,-0.004941428883466869,153.173828125,0.3,0.017276763916015625,317.6245864868164
25,992,6,200.0,-248.4375,6400,-2.2068413853645326,0.0037207447,0.0,0.0003,240,-0.005557522503659129,500.4218444824219,0.3,-0.00448155403137207,716.3177963256836
26,992,6,200.0,-247.27272727272728,6656,-2.175102150440216,0.0024009282,0.0,0.0003,250,-0.004164367145858705,81.42192077636719,0.3,0.05932354927062988,160.48673362731932
27,990,6,200.0,-251.76470588235293,6912,-2.144740116596222,0.0015596692,0.0,0.0003,260,-0.0025908803334459664,69.09557342529297,0.3,-0.009593963623046875,208.50988311767577
28,989,7,200.0,-252.0,7168,-2.1217822432518005,0.00059564714,0.0,0.0003,270,-0.002903182548470795,161.82876586914062,0.3,0.03070300817489624,337.0667915344238
29,989,7,200.0,-241.0810810810811,7424,-2.147163438796997,0.00418189,0.0,0.0003,280,-0.00972531249281019,64.07886505126953,0.3,0.0638962984085083,166.56515922546387
30,986,7,200.0,-241.31578947368422,7680,-2.1580934166908263,0.0018902179,0.0,0.0003,290,-0.002411823300644755,244.21267700195312,0.3,-0.02165699005126953,971.4605163574219
31,986,8,200.0,-242.30769230769232,7936,-2.163700485229492,0.0010856832,0.0,0.0003,300,-0.0030163930030539634,58.160118103027344,0.3,-0.13068807125091553,162.932852935791
32,986,8,200.0,-247.5,8192,-2.120888817310333,0.0010214723,0.0,0.0003,310,-0.002714325697161257,84.8808822631836,0.3,0.011142730712890625,171.87117958068848
33,989,8,200.0,-249.76190476190476,8448,-2.141096293926239,0.0260673,0.066015625,0.0003,320,-0.006204406498000026,69.53543090820312,0.3,-0.0009593963623046875,145.03290519714355
34,991,8,200.0,-250.69767441860466,8704,-2.1034080266952513,0.010658017,0.001953125,0.0003,330,-0.009798215283080936,47.77831268310547,0.3,0.001902461051940918,236.41431045532227
35,993,9,200.0,-251.36363636363637,8960,-2.079271709918976,0.010296674,0.008203125,0.0003,340,-0.008030110620893538,171.35745239257812,0.3,0.0018327832221984863,308.9390167236328
36,994,9,200.0,-246.52173913043478,9216,-2.065692400932312,0.00088968384,0.0,0.0003,350,-0.0016294901492074133,249.29336547851562,0.3,-0.007320880889892578,737.366567993164
37,995,9,200.0,-246.59574468085106,9472,-2.0525609731674193,0.0011711442,0.0,0.0003,360,-0.0020335775334388018,41.52626037597656,0.3,0.1406046748161316,83.9044316291809
38,996,9,200.0,-247.29166666666666,9728,-2.024324417114258,0.0012891858,0.0,0.0003,370,-0.0033682774053886535,112.9468002319336,0.3,0.11964571475982666,281.51127700805665
39,997,10,200.0,-243.46938775510205,9984,-2.0121745586395265,0.0004925309,0.0,0.0003,380,-0.0015018322970718145,267.20660400390625,0.3,0.041845858097076416,653.1833312988281
40,998,10,200.0,-242.15686274509804,10240,-1.971222198009491,0.00015266542,0.0,0.0003,390,-0.0003727917559444904,314.52777099609375,0.3,-0.14742982387542725,907.0655731201172
1,1345,0,200.0,-230.0,256,-1.992331612110138,0.00056144106,0.0,0.0003,400,-0.003198013559449464,99.45423889160156,0.3,0.18786656856536865,291.00009536743164
2,1176,0,200.0,-290.0,512,-2.1752431631088256,0.010295728,0.0,0.0003,410,-0.010398350609466433,139.95372009277344,0.3,-0.07407701015472412,303.38355255126953
3,1079,0,200.0,-263.3333333333333,768,-2.1378836631774902,0.039255038,0.0796875,0.0003,420,-0.01923700128681958,148.71035766601562,0.3,0.005372166633605957,290.6316253662109
4,1007,1,200.0,-272.0,1024,-2.0633493065834045,0.021443978,0.046875,0.0003,430,-0.013816919224336744,106.95032501220703,0.3,-0.0670480728149414,152.11467895507812
