time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/value_loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/approx_kl,train/learning_rate
0,200.0,1,-640.0,1024,256,,,,,,,,,,
0,200.0,2,-715.0,999,512,198.19765396118163,0.0,-2.5641910910606383,-0.010303582274354994,-0.005466580390930176,79.40113830566406,10,0.3,0.0024619247,0.0003
0,200.0,3,-723.3333333333334,965,768,248.3378433227539,0.0,-2.558950686454773,-0.0067200306570157405,0.0008936524391174316,85.71609497070312,20,0.3,0.002589664,0.0003
1,200.0,4,-540.0,944,1024,392.6374565124512,0.0,-2.5528942108154298,-0.006021937704645097,-0.0011786222457885742,145.52439880371094,30,0.3,0.004177223,0.0003
1,200.0,5,-491.6666666666667,949,1280,352.6304843902588,0.0,-2.54255006313324,-0.004122177686076612,0.0007922649383544922,282.2635803222656,40,0.3,0.0020514855,0.0003
1,200.0,6,-500.0,955,1536,360.95746955871584,0.0,-2.5318852782249452,-0.006723943562246859,0.027934253215789795,136.08706665039062,50,0.3,0.0028593086,0.0003
1,200.0,7,-498.75,961,1792,218.10462760925293,0.0,-2.5013835310935972,-0.010871998616494238,-0.026628851890563965,149.57989501953125,60,0.3,0.010407662,0.0003
2,200.0,8,-478.0,970,2048,328.65633926391604,0.00078125,-2.4496979832649233,-0.009976692288182676,0.010845661163330078,264.2852478027344,70,0.3,0.010511445,0.0003
2,200.0,9,-457.27272727272725,979,2304,111.74943809509277,0.055078125,-2.389836239814758,-0.021161307103466243,-0.005730032920837402,40.57006072998047,80,0.3,0.03850103,0.0003
2,200.0,10,-461.6666666666667,984,2560,363.86846923828125,0.019140625,-2.3234457969665527,-0.010394024674315005,0.019156992435455322,229.2881622314453,90,0.3,0.010106403,0.0003
2,200.0,11,-437.14285714285717,987,2816,583.374592590332,0.0,-2.3252633810043335,-0.001803911617025733,-0.04632675647735596,315.63226318359375,100,0.3,0.002137351,0.0003
3,200.0,12,-440.6666666666667,988,3072,180.3839424133301,0.0,-2.2852208852767943,-0.00413289749994874,-0.008638978004455566,108.2104721069336,110,0.3,0.0032973,0.0003
3,200.0,13,-448.75,992,3328,430.6689163208008,0.008203125,-2.2275566935539244,-0.017300097492989153,0.014298021793365479,288.73370361328125,120,0.3,0.018025532,0.0003
3,200.0,14,-448.8235294117647,997,3584,160.40477485656737,0.0,-2.144426000118256,-0.0016948086209595203,-0.025317788124084473,81.01179504394531,130,0.3,0.0038705745,0.0003
3,200.0,15,-433.1578947368421,1001,3840,553.7962825775146,0.00390625,-2.157947528362274,-0.011684259702451526,0.011826515197753906,261.27557373046875,140,0.3,0.01657964,0.0003
4,200.0,16,-418.5,1005,4096,134.3992790222168,0.16796875,-2.1554758667945864,-0.03407645733095706,-0.002292633056640625,32.7438850402832,150,0.3,0.05430799,0.0003
4,200.0,17,-389.5238095238095,1005,4352,443.8305809020996,0.0,-2.0943071842193604,-0.005449381144717336,0.013242006301879883,150.74169921875,160,0.3,0.0065773865,0.0003
4,200.0,18,-401.30434782608694,1007,4608,797.0725357055665,0.0,-2.0333303689956663,0.0006116479460615664,0.032374560832977295,484.5279541015625,170,0.3,0.0011295781,0.0003
4,200.0,19,-404.1666666666667,1005,4864,111.99449796676636,0.0,-2.0251618027687073,-0.003933226969093084,-0.008438587188720703,61.87139892578125,180,0.3,0.0041892976,0.0003
5,200.0,20,-408.4,1006,5120,185.809228515625,0.0,-2.0188581585884093,-0.008289007761050016,-0.033487677574157715,109.8664779663086,190,0.3,0.0063654277,0.0003
5,200.0,21,-409.61538461538464,1008,5376,104.3836877822876,0.005859375,-1.9879154682159423,-0.018226505443453788,-0.07785642147064209,32.123779296875,200,0.3,0.023745835,0.0003
5,200.0,22,-381.07142857142856,1009,5632,128.296236038208,0.25078125,-1.9265531718730926,-0.02056216513738036,0.004714906215667725,30.782100677490234,210,0.3,0.04863452,0.0003
5,200.0,23,-379.6551724137931,1009,5888,789.8839416503906,0.0,-1.9532588064670562,0.0003533772425726056,-0.000794529914855957,570.7189331054688,220,0.3,0.0016718234,0.0003
6,200.0,24,-383.0,1012,6144,480.38912811279295,0.0,-1.9243208527565003,-0.010354453092440962,0.0009499788284301758,258.68817138671875,230,0.3,0.004473704,0.0003
6,200.0,25,-369.6875,1012,6400,398.9501560211182,0.003125,-1.9685203373432159,-0.012121328606735916,-0.004776954650878906,265.01220703125,240,0.3,0.012884146,0.0003
6,200.0,26,-367.27272727272725,1014,6656,337.8713291168213,0.00078125,-2.0756138443946837,-0.012306121457368136,0.0025379061698913574,255.37477111816406,250,0.3,0.013885512,0.0003
6,200.0,27,-370.88235294117646,1012,6912,407.7610748291016,0.025390625,-2.1209113001823425,-0.006862703361548483,0.006987333297729492,139.9174041748047,260,0.3,0.016077407,0.0003
7,200.0,28,-374.2857142857143,1011,7168,160.9016580581665,0.0,-2.175169813632965,-0.0037962245172820986,0.02251112461090088,84.76676177978516,270,0.3,0.0035359138,0.0003
7,200.0,29,-367.02702702702703,1013,7424,581.6245307922363,0.0,-2.2231910943984987,0.0016262233606539668,0.016899168491363525,246.7792510986328,280,0.3,0.00053053163,0.0003
7,200.0,30,-367.36842105263156,1013,7680,467.1032035827637,0.0,-2.2451059818267822,-0.006253485608613119,0.022098541259765625,131.06687927246094,290,0.3,0.0024167262,0.0003
7,200.0,31,-371.02564102564105,1013,7936,120.8568603515625,0.021875,-2.2713653802871705,-0.008729312452487648,0.03496426343917847,62.69087600708008,300,0.3,0.025206234,0.0003
8,200.0,32,-371.0,1013,8192,439.42719955444335,0.0,-2.364525628089905,0.003325153514742851,0.05105358362197876,157.11105346679688,310,0.3,0.0035921172,0.0003
8,200.0,33,-366.42857142857144,1014,8448,153.17046127319335,0.0,-2.376841056346893,-0.005448303767479956,-0.039824724197387695,66.61602783203125,320,0.3,0.0017749465,0.0003
8,200.0,34,-357.90697674418607,1014,8704,394.9121520996094,0.0,-2.38674054145813,-0.006697553163394332,0.040209054946899414,134.2056884765625,330,0.3,0.0029781964,0.0003
8,200.0,35,-359.54545454545456,1015,8960,847.2241058349609,0.0,-2.330842435359955,-0.001464243745431304,-0.0028083324432373047,493.2530212402344,340,0.3,0.0013320493,0.0003
9,200.0,36,-354.1304347826087,1016,9216,382.0346282958984,0.0,-2.3267514586448668,-0.0021849051467143,0.03587806224822998,194.8254852294922,350,0.3,0.0008409729,0.0003
9,200.0,37,-357.4468085106383,1017,9472,183.00849380493165,0.0,-2.3041377544403074,-0.002998408814892173,-0.05775415897369385,91.81118774414062,360,0.3,0.0014865696,0.0003
9,200.0,38,-356.25,1016,9728,359.844896697998,0.00234375,-2.2843382000923156,-0.009077468491159379,0.058338463306427,117.61906433105469,370,0.3,0.004355106,0.0003
9,200.0,39,-361.0204081632653,1017,9984,194.90638809204103,0.012890625,-2.2544663667678835,-0.014256759732961654,0.04226803779602051,63.340660095214844,380,0.3,0.020318352,0.0003
10,200.0,40,-361.37254901960785,1016,10240,349.37495040893555,0.0,-2.1101763248443604,-0.00344757717102766,0.024861395359039307,87.48595428466797,390,0.3,0.0040153507,0.0003
0,200.0,1,-162.0,1292,256,450.1616786956787,0.01015625,-2.1392348051071166,-0.008657929371111095,0.006760776042938232,151.24273681640625,400,0.3,0.004721727,0.0003
0,200.0,2,-210.5,1158,512,749.2605056762695,0.0,-2.564407694339752,-0.008310461463406683,0.0031588077545166016,550.5399169921875,10,0.3,0.0016661491,0.0003
0,200.0,3,-235.33333333333334,1130,768,215.0767837524414,0.0,-2.5618576645851134,-0.0030709461541846396,-0.006164669990539551,99.80970001220703,20,0.3,0.0010449861,0.0003
0,200.0,4,-213.4,1108,1024,308.6012424468994,0.0,-2.5608833193778993,-0.004521066695451737,0.03257334232330322,243.3936767578125,30,0.3,0.0010758033,0.0003
1,200.0,5,-217.33333333333334,1071,1280,537.4203498840332,0.0,-2.5560566544532777,-0.00466000841697678,0.02623879909515381,401.5458984375,40,0.3,0.0020391475,0.0003
1,200.0,6,-251.0,1061,1536,413.8317070007324,0.0,-2.5516159653663637,-0.005461313494015485,0.015215933322906494,321.5772399902344,50,0.3,0.0018440823,0.0003
1,200.0,7,-222.5,1057,1792,336.6537811279297,0.0,-2.5489147186279295,-0.0029903649061452597,-0.02863466739654541,281.1161804199219,60,0.3,0.0010995644,0.0003
1,200.0,8,-240.2,1044,2048,767.1935302734375,0.0,-2.5484488010406494,-0.0021457566414028405,0.04300636053085327,503.42706298828125,70,0.3,0.0004957891,0.0003
2,200.0,9,-268.90909090909093,1045,2304,329.4010326385498,0.0,-2.548971688747406,-0.004338382068090141,0.04622155427932739,227.9660186767578,80,0.3,0.0008940161,0.0003
2,200.0,10,-292.4166666666667,1048,2560,200.781929397583,0.0,-2.5460400700569155,-0.007285893382504583,0.006413817405700684,118.08634948730469,90,0.3,0.0054691993,0.0003
2,200.0,11,-304.07142857142856,1048,2816,347.4677490234375,0.0,-2.5143616557121278,-0.008545980416238308,0.03753519058227539,65.53730773925781,100,0.3,0.007709184,0.0003
2,200.0,12,-320.6666666666667,1048,3072,190.3539260864258,0.026953125,-2.463286781311035,-0.013712223945185542,0.020443320274353027,106.44046020507812,110,0.3,0.018725157,0.0003
3,200.0,13,-310.8125,1041,3328,84.72917757034301,0.0,-2.3893831849098204,-0.01141246072947979,-0.17959463596343994,65.48030090332031,120,0.3,0.008746197,0.0003
3,200.0,14,-310.5882352941176,1040,3584,379.3720636367798,0.0,-2.3394105434417725,-0.004552136221900582,0.06963461637496948,342.85443115234375,130,0.3,0.0039130505,0.0003
3,200.0,15,-296.7368421052632,1041,3840,337.96937026977537,0.0,-2.337298095226288,-0.006526120752096176,-0.0295712947845459,86.48811340332031,140,0.3,0.00438253,0.0003
3,200.0,16,-306.8,1039,4096,352.93566436767577,0.015625,-2.312209868431091,-0.01836159350350499,0.06014293432235718,183.46481323242188,150,0.3,0.017921379,0.0003
4,200.0,17,-310.3333333333333,1041,4352,115.73272705078125,0.0,-2.186204671859741,-0.002477934118360281,0.03872770071029663,32.949947357177734,160,0.3,0.0048822486,0.0003
4,200.0,18,-308.0,1043,4608,351.01129722595215,0.007421875,-2.1307759523391723,-0.011695298156701029,-0.02106034755706787,152.18707275390625,170,0.3,0.0137483515,0.0003
4,200.0,19,-307.125,1044,4864,155.5832935333252,0.024609375,-1.9172399282455443,-0.012909611407667398,-0.0034531354904174805,78.02263641357422,180,0.3,0.030036101,0.0003
4,200.0,20,-316.48,1045,5120,99.1054006576538,0.015234375,-1.746807336807251,-0.0058199191000312565,0.013057887554168701,37.9837760925293,190,0.3,0.008024173,0.0003
5,200.0,21,-319.53846153846155,1045,5376,125.8680248260498,0.051171875,-1.9235322296619415,-0.012590010464191437,0.05421704053878784,33.67335510253906,200,0.3,0.030183773,0.0003
5,200.0,22,-310.07142857142856,1043,5632,95.24139595031738,0.020703125,-1.8011082112789154,-0.014346915879286826,0.039515793323516846,70.09526062011719,210,0.3,0.016619865,0.0003
5,200.0,23,-302.82758620689657,1044,5888,296.40989379882814,0.00546875,-2.0103140652179716,-0.007333120022667572,0.02608025074005127,95.93608856201172,220,0.3,0.007600073,0.0003
5,200.0,24,-301.1666666666667,1045,6144,368.22974052429197,0.08984375,-1.780729603767395,-0.016544573509600015,0.006399214267730713,87.83216857910156,230,0.3,0.04143504,0.0003
6,200.0,25,-298.21875,1041,6400,67.06719193458557,0.003515625,-1.6643798708915711,-0.005068161443341523,0.18568164110183716,37.56973648071289,240,0.3,0.0044746553,0.0003
6,200.0,26,-275.93939393939394,1042,6656,314.1965705871582,0.194140625,-1.649018609523773,-0.019769575109239667,-0.006966710090637207,299.4705505371094,250,0.3,0.05974304,0.0003
6,200.0,27,-279.38235294117646,1041,6912,772.7516654968261,0.031640625,-1.5543138206005096,-0.007543474109843374,0.004857063293457031,365.947509765625,260,0.3,0.019564176,0.0003
6,200.0,28,-283.57142857142856,1040,7168,84.41806592941285,0.0078125,-1.9376827955245972,-0.006664689851459116,0.12124580144882202,16.875112533569336,270,0.3,0.02832102,0.0003
7,200.0,29,-286.4864864864865,1041,7424,91.0996862411499,0.2625,-2.0052984178066255,-0.015037220413796603,0.028629004955291748,36.7762565612793,280,0.3,0.07882512,0.0003
7,200.0,30,-287.44736842105266,1041,7680,94.34205503463745,0.0671875,-2.0247014284133913,-0.014688801253214478,0.1447489857673645,45.15162658691406,290,0.3,0.03796077,0.0003
7,200.0,31,-287.2307692307692,1042,7936,70.4100646018982,0.03984375,-1.7171769380569457,-0.011258923611603678,0.10711008310317993,46.48954391479492,300,0.3,0.0259034,0.0003
7,200.0,32,-291.575,1043,8192,112.07558727264404,0.0171875,-1.6993271708488464,-0.01095152150373906,0.0033884644508361816,80.69438171386719,310,0.3,0.018179733,0.0003
8,200.0,33,-293.1904761904762,1011,8448,72.5943202495575,0.10234375,-1.7967708885669709,-0.005168246035464108,0.04450583457946777,26.85062599182129,320,0.3,0.045563463,0.0003
8,200.0,34,-296.1162790697674,1012,8704,117.24710617065429,0.0,-1.693601793050766,-0.0035363448318094016,0.07506370544433594,35.34217071533203,330,0.3,0.002500099,0.0003
8,200.0,35,-297.6363636363636,1014,8960,121.38499813079834,0.020703125,-1.7210786163806915,-0.00965560763143003,0.10866165161132812,59.13869857788086,340,0.3,0.028109852,0.0003
9,200.0,36,-298.69565217391306,1015,9216,71.71075716018677,0.0,-1.7622784912586211,-0.0022115273983217775,0.056188225746154785,30.070770263671875,350,0.3,0.0020716554,0.0003
9,200.0,37,-293.8936170212766,1016,9472,65.06665105819702,0.1046875,-1.660085952281952,-0.02315119174309075,0.1271340250968933,44.232444763183594,360,0.3,0.038070068,0.0003
9,200.0,38,-292.5,1018,9728,373.19648094177245,0.0,-1.6202105760574341,-0.003782574366778135,0.018734753131866455,250.472412109375,370,0.3,0.0053140935,0.0003
9,200.0,39,-293.3673469387755,1020,9984,85.19109258651733,0.000390625,-1.5696869611740112,-0.004554209974594414,0.054796814918518066,59.024593353271484,380,0.3,0.005854547,0.0003
10,200.0,40,-291.4313725490196,1022,10240,296.59497871398924,0.0,-1.466970944404602,-0.0036225719843059776,0.03794825077056885,57.50495910644531,390,0.3,0.00436359,0.0003
0,200.0,1,-230.0,1448,256,117.84463768005371,0.0,-1.4091105103492736,-0.0012249407125636935,0.11146402359008789,26.097728729248047,400,0.3,0.0012022704,0.0003
0,200.0,2,-255.0,1246,512,125.94917373657226,0.0,-2.1801633477210998,-0.002330974768847227,-0.10323607921600342,76.69329071044922,410,0.3,0.002531574,0.0003
0,200.0,3,-166.66666666666666,1188,768,91.89083709716797,0.005078125,-2.2087793827056883,-0.009288341039791703,-0.1184699535369873,9.935681343078613,420,0.3,0.0067936946,0.0003
0,200.0,4,-168.0,1160,1024,302.3754430770874,0.148046875,-2.279297649860382,-0.01727634258568287,0.006373465061187744,31.536319732666016,430,0.3,0.02869411,0.0003
1,200.0,5,-178.33333333333334,1130,1280,353.12499980926515,0.0,-2.260098624229431,0.00041280188597738745,0.019563734531402588,284.6778869628906,440,0.3,0.0068589104,0.0003
1,200.0,6,-165.71428571428572,1115,1536,370.48657913208007,0.001171875,-2.230561339855194,-0.00377802443690598,-0.009078502655029297,288.3382873535156,450,0.3,0.0011246495,0.0003
1,200.0,7,-157.5,1109,1792,292.16667022705076,0.01015625,-2.2742524266242983,-0.009113135724328458,-0.02903878688812256,15.782698631286621,460,0.3,0.010135741,0.0003
