time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/loss,train/n_updates
256,1,932,0,710.0,200.0,,,,,,,,,,
512,2,958,0,545.0,200.0,0.000382022,-2.564800429344177,0.0003,0.0,0.3,-0.004449337208643556,20505.0232421875,-0.0004444122314453125,6977.587890625,10
768,3,963,0,493.3333333333333,200.0,9.11362e-05,-2.5641247749328615,0.0003,0.0,0.3,-0.0004214427433907986,39157.82939453125,0.00035560131072998047,25776.4375,20
1024,4,983,1,344.0,200.0,0.00023446116,-2.564066469669342,0.0003,0.0,0.3,-0.0022925090277567508,19960.987451171874,0.002416253089904785,12798.8466796875,30
1280,5,991,1,203.33333333333334,200.0,0.00049490854,-2.5641812324523925,0.0003,0.0,0.3,-0.004200848215259611,1196.6400970458985,-0.028440237045288086,584.2280883789062,40
1536,6,992,1,267.14285714285717,200.0,0.00023415871,-2.564100420475006,0.0003,0.0,0.3,-0.001671459712088108,1837.4964721679687,0.005840420722961426,894.9180908203125,50
1792,7,996,1,275.0,200.0,0.00051959045,-2.563237750530243,0.0003,0.0,0.3,-0.00455223104218021,22440.30087890625,-0.00446164608001709,15500.466796875,60
2048,8,988,2,296.0,200.0,0.0002509195,-2.561878871917725,0.0003,0.0,0.3,-0.0011139773763716222,39561.54130859375,0.00416189432144165,19184.74609375,70
2304,9,975,2,337.27272727272725,200.0,9.707431e-05,-2.560373055934906,0.0003,0.0,0.3,-0.000993609125725925,20289.186962890624,0.009865224361419678,9646.1279296875,80
2560,10,982,2,346.6666666666667,200.0,4.633842e-05,-2.5600507140159605,0.0003,0.0,0.3,-0.0010009605204686523,38976.32841796875,-0.0008361339569091797,16377.6142578125,90
2816,11,977,2,357.14285714285717,200.0,0.0005628562,-2.5610979199409485,0.0003,0.0,0.3,-0.0034515501698479055,20828.29599609375,0.0023006796836853027,7181.00537109375,100
3072,12,974,3,376.0,200.0,0.00055344007,-2.5619423031806945,0.0003,0.0,0.3,-0.0031206967774778604,20299.6033203125,0.00047385692596435547,6885.130859375,110
3328,13,964,3,381.875,200.0,0.00017848611,-2.5612202167510985,0.0003,0.0,0.3,-0.0018329136772081255,38854.82275390625,0.005578160285949707,21351.44140625,120
3584,14,963,3,332.3529411764706,200.0,0.00023982045,-2.558800232410431,0.0003,0.0,0.3,-0.0023305364185944198,962.2895629882812,-0.03061521053314209,393.78619384765625,130
3840,15,963,3,334.7368421052632,200.0,0.00022311369,-2.558704876899719,0.0003,0.0,0.3,-0.0014922037487849593,20074.684838867186,-0.021360039710998535,14123.9658203125,140
4096,16,962,4,340.5,200.0,0.00015042955,-2.558932840824127,0.0003,0.0,0.3,-0.0010169097920879721,20051.79697265625,0.002308666706085205,6354.4638671875,150
4352,17,965,4,344.2857142857143,200.0,0.00016022148,-2.558578312397003,0.0003,0.0,0.3,-0.0014324622694402932,26085.37890625,-0.0064694881439208984,10081.146484375,160
4608,18,966,4,336.95652173913044,200.0,0.0002425136,-2.556109607219696,0.0003,0.0,0.3,-0.001750665414147079,18775.50974121094,0.006089687347412109,4000.4189453125,170
4864,19,968,5,337.5,200.0,0.00073143863,-2.5540043473243714,0.0003,0.0,0.3,-0.0030733862542547284,19230.507739257813,0.007043361663818359,9000.2109375,180
5120,20,971,5,366.0,200.0,0.00035451236,-2.5551722168922426,0.0003,0.0,0.3,-0.0015161905903369188,43489.09228515625,0.00025075674057006836,21917.681640625,190
5376,21,973,5,378.84615384615387,200.0,0.00066071446,-2.5517125129699707,0.0003,0.0,0.3,-0.0036353060510009526,20369.089477539062,0.0012698769569396973,11907.1845703125,200
5632,22,974,5,385.35714285714283,200.0,0.0007108704,-2.5536911487579346,0.0003,0.0,0.3,-0.0031899008434265854,20297.40322265625,0.01101076602935791,9698.5390625,210
5888,23,972,6,397.9310344827586,200.0,0.00032076635,-2.553303635120392,0.0003,0.0,0.3,-0.0024978034663945435,16529.349560546874,0.0021389126777648926,6762.63720703125,220
6144,24,970,6,395.6666666666667,200.0,0.00026144832,-2.550457811355591,0.0003,0.0,0.3,-0.0020969766192138195,19197.8634765625,0.018964767456054688,9295.0966796875,230
6400,25,972,6,401.875,200.0,5.5136392e-05,-2.552149748802185,0.0003,0.0,0.3,-0.000678983237594366,36387.6876953125,-0.005517482757568359,23934.7265625,240
6656,26,973,6,403.3333333333333,200.0,0.00047714892,-2.549638557434082,0.0003,0.0,0.3,-0.0029698399361222983,19124.281396484374,0.0030838847160339355,14485.23828125,250
6912,27,973,7,410.5882352941176,200.0,0.0002523812,-2.5509500026702883,0.0003,0.0,0.3,-0.001312101073563099,19597.58125,-0.013555765151977539,8002.2626953125,260
7168,28,974,7,416.57142857142856,200.0,0.0004560405,-2.5502691149711607,0.0003,0.0,0.3,-0.002514375699684024,19631.676220703124,-0.006395816802978516,6148.49365234375,270
7424,29,974,7,417.56756756756755,200.0,0.0038500058,-2.550168037414551,0.0003,0.0,0.3,-0.003855711268261075,34952.11494140625,2.282857894897461e-05,19859.615234375,280
7680,30,976,7,416.8421052631579,200.0,0.0006480785,-2.535588824748993,0.0003,0.0,0.3,-0.0005541342776268721,36270.67119140625,-1.5497207641601562e-06,19889.412109375,290
