time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/value_loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/approx_kl,train/learning_rate
0,200.0,1,-740.0,1097,256,,,,,,,,,,
0,200.0,2,-765.0,1055,512,145.98575267791747,0.0,-2.5641449093818665,-0.01231258874759078,-0.006481051445007324,41.255531311035156,10,0.3,0.0025859564,0.0003
0,200.0,3,-773.3333333333334,1059,768,193.72749938964844,0.0,-2.558157765865326,-0.009105549054220318,0.0014991164207458496,84.24642181396484,20,0.3,0.0034272668,0.0003
0,200.0,4,-652.0,1052,1024,97.40012149810791,0.0,-2.5576647758483886,-0.009981417167000472,-0.002161860466003418,50.02165603637695,30,0.3,0.004492239,0.0003
1,200.0,5,-670.0,1027,1280,319.7900810241699,0.0,-2.559563457965851,-0.00517664491198957,0.002016782760620117,221.12060546875,40,0.3,0.0012348276,0.0003
1,200.0,6,-650.0,1032,1536,137.85265159606934,0.0,-2.5567175269126894,-0.0013471278129145504,0.0003815889358520508,66.88424682617188,50,0.3,0.000285001,0.0003
1,200.0,7,-642.5,1030,1792,368.0491065979004,0.0,-2.558756709098816,-0.004478125879541039,0.010818839073181152,292.97955322265625,60,0.3,0.00064684055,0.0003
1,200.0,8,-612.0,1038,2048,316.5162700653076,0.0,-2.5613192439079286,-0.005205046711489558,0.014549016952514648,107.96874237060547,70,0.3,0.0023368855,0.0003
2,200.0,9,-575.4545454545455,1035,2304,358.0091411590576,0.0,-2.55953449010849,-0.0028028016444295646,0.013249218463897705,256.3655700683594,80,0.3,0.0006684407,0.0003
2,200.0,10,-557.5,1042,2560,721.2980895996094,0.0,-2.5545043468475344,-0.0015749736223369837,0.030467331409454346,373.9441833496094,90,0.3,0.00016628741,0.0003
2,200.0,11,-576.4285714285714,1043,2816,169.42839889526368,0.0,-2.557779908180237,-0.006227159081026912,-0.07907748222351074,72.91290283203125,100,0.3,0.001324841,0.0003
2,200.0,12,-572.6666666666666,1046,3072,73.1909833908081,0.0421875,-2.5492743968963625,-0.019382295291870834,-0.02380204200744629,42.346309661865234,110,0.3,0.022309136,0.0003
3,200.0,13,-561.25,1048,3328,377.7327968597412,0.0,-2.524102509021759,-0.004341148771345615,0.008767187595367432,126.89854431152344,120,0.3,0.0058195796,0.0003
3,200.0,14,-554.7058823529412,1049,3584,551.0227973937988,0.00078125,-2.5363497614860533,-0.009324756544083357,0.04249483346939087,315.38580322265625,130,0.3,0.0013430133,0.0003
3,200.0,15,-549.4736842105264,1052,3840,94.9119176864624,0.0,-2.5336631298065186,-0.002100054966285825,-0.153877854347229,40.971988677978516,140,0.3,0.0003447677,0.0003
3,200.0,16,-534.0,1052,4096,308.1892887115479,0.000390625,-2.542715644836426,-0.0040308860130608085,-0.03977680206298828,48.6710090637207,150,0.3,0.0020098116,0.0003
4,200.0,17,-541.9047619047619,1055,4352,303.4748836517334,0.0,-2.5388043761253356,-0.002456863154657185,0.042373478412628174,106.47541046142578,160,0.3,0.0011229289,0.0003
4,200.0,18,-553.9130434782609,1054,4608,131.1809875488281,0.0,-2.5441816568374636,-0.002751442976295948,-0.01813650131225586,68.3979263305664,170,0.3,0.0015897953,0.0003
4,200.0,19,-535.0,1055,4864,80.72264652252197,0.05,-2.5148133397102357,-0.020681424043141307,-0.0016601085662841797,41.56462860107422,180,0.3,0.026873842,0.0003
4,200.0,20,-545.2,1056,5120,559.530084991455,0.0,-2.4787272572517396,-0.00021285852417349816,0.01638251543045044,347.88360595703125,190,0.3,0.0045876848,0.0003
5,200.0,21,-547.6923076923077,1057,5376,93.69384765625,0.0359375,-2.4603078961372375,-0.019385247537866235,-0.0004177093505859375,62.63882064819336,200,0.3,0.023659427,0.0003
5,200.0,22,-539.2857142857143,1058,5632,159.1847267150879,0.0,-2.4941676378250124,-0.0058786160545423625,-0.1440955400466919,61.1302490234375,210,0.3,0.0038758824,0.0003
5,200.0,23,-546.2068965517242,1060,5888,510.0494018554688,0.0,-2.490032398700714,-0.004043295397423208,0.04330122470855713,190.25439453125,220,0.3,0.00070387125,0.0003
5,200.0,24,-540.0,1061,6144,133.43029594421387,0.003515625,-2.4601789236068727,-0.0061507681384682655,0.027544796466827393,52.294158935546875,230,0.3,0.0044252565,0.0003
6,200.0,25,-511.875,1062,6400,309.8236652374268,0.0,-2.452273058891296,-0.005246139108203351,0.024457812309265137,253.5757598876953,240,0.3,0.0012961216,0.0003
6,200.0,26,-503.3333333333333,1063,6656,652.3038398742676,0.0,-2.4436747193336488,-0.0006653368705883622,0.11791354417800903,264.1930847167969,250,0.3,0.00051666517,0.0003
6,200.0,27,-493.52941176470586,1060,6912,296.8067337036133,0.0,-2.4830347895622253,-0.00508293688762933,-0.003915190696716309,248.89996337890625,260,0.3,0.0028306905,0.0003
6,200.0,28,-493.7142857142857,1061,7168,569.2315795898437,0.000390625,-2.4690529465675355,-0.00692141407635063,0.024654269218444824,200.65081787109375,270,0.3,0.002389916,0.0003
6,200.0,29,-498.64864864864865,1061,7424,303.21212005615234,0.023046875,-2.4685253739356994,-0.011170506663620471,0.08847206830978394,59.64300537109375,280,0.3,0.008964215,0.0003
7,200.0,30,-483.42105263157896,1062,7680,56.16457872390747,0.055859375,-2.5043023228645325,-0.01754340692423284,0.021399974822998047,24.743200302124023,290,0.3,0.041816637,0.0003
7,200.0,31,-485.12820512820514,1061,7936,500.6427711486816,0.01640625,-2.457514250278473,-0.01321708490140736,0.053788065910339355,381.97119140625,300,0.3,0.011843637,0.0003
7,200.0,32,-482.75,1062,8192,550.121021270752,0.0,-2.48012660741806,-0.003903471538797021,0.053026437759399414,293.7323913574219,310,0.3,0.0021316851,0.0003
7,200.0,33,-493.57142857142856,1062,8448,145.85427131652833,0.025,-2.4888899087905885,-0.008851002925075591,-0.02453315258026123,80.66895294189453,320,0.3,0.015472264,0.0003
8,200.0,34,-492.7906976744186,1056,8704,146.99604911804198,0.0,-2.47055447101593,-0.004237477574497462,-0.027791738510131836,80.14208221435547,330,0.3,0.0022490884,0.0003
8,200.0,35,-494.3181818181818,1054,8960,626.5049407958984,0.008984375,-2.4930706143379213,-0.007723573269322515,0.009877204895019531,391.7153015136719,340,0.3,0.011230322,0.0003
8,200.0,36,-492.60869565217394,1051,9216,65.83981075286866,0.001953125,-2.4941488027572634,-0.007882719719782471,-0.24156403541564941,29.870588302612305,350,0.3,0.006878271,0.0003
9,200.0,37,-501.27659574468083,1049,9472,42.699953937530516,0.114453125,-2.4877312898635866,-0.02178530734963715,0.014299511909484863,24.349037170410156,360,0.3,0.03450162,0.0003
9,200.0,38,-498.125,1048,9728,178.6112144470215,0.033984375,-2.4604809641838075,0.006773990206420421,-0.0040770769119262695,77.15457153320312,370,0.3,0.013097147,0.0003
9,200.0,39,-484.48979591836735,1049,9984,752.2495056152344,0.00625,-2.463967537879944,-0.0023918950697407126,0.035887837409973145,354.7431640625,380,0.3,0.0058649685,0.0003
9,200.0,40,-489.4117647058824,1045,10240,321.72288093566897,0.0,-2.472585880756378,-0.001971509773284197,-0.03706550598144531,275.98297119140625,390,0.3,0.00054529915,0.0003
0,200.0,1,-3650.0,1322,256,85.79097747802734,0.0015625,-2.4556876182556153,-0.013555142376571894,-0.0564882755279541,44.63422775268555,400,0.3,0.008850459,0.0003
0,200.0,2,-3650.0,1190,512,2992.7207275390624,0.0,-2.5647468090057375,-0.005593337095342576,0.002113044261932373,1634.9334716796875,10,0.3,0.0005388572,0.0003
0,200.0,3,-3933.3333333333335,1121,768,3105.2549560546877,0.0,-2.5633819103240967,-0.005857266648672521,8.893013000488281e-05,1387.1492919921875,20,0.3,0.00072857924,0.0003
