time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/clip_range
1,1022,0,200.0,256,-740.0,,,,,,,,,,
2,1043,0,200.0,512,-815.0,460.5587326049805,0.0003,0.0022498744,161.55062866210938,-2.5642138004302977,-0.01216439981944859,0.0,-0.0033850669860839844,10,0.3
3,1043,0,200.0,768,-823.3333333333334,767.4441589355469,0.0003,0.0015796451,370.6095275878906,-2.559805679321289,-0.006914136186242104,0.0,0.0016906261444091797,20,0.3
4,1039,0,200.0,1024,-714.0,758.3057098388672,0.0003,0.00044339383,362.1591796875,-2.5587409496307374,-0.0030926840379834177,0.0,0.0055730342864990234,30,0.3
5,1044,1,200.0,1280,-736.6666666666666,308.2805114746094,0.0003,0.0008236673,166.60299682617188,-2.5579885125160216,-0.004364684736356139,0.0,0.0014209747314453125,40,0.3
6,1035,1,200.0,1536,-745.7142857142857,504.09286041259764,0.0003,0.0018305299,222.18809509277344,-2.549647879600525,-0.006079300655983388,0.0,0.0002416372299194336,50,0.3
7,1040,1,200.0,1792,-731.25,323.36012268066406,0.0003,0.0043704323,167.62962341308594,-2.5385698199272158,-0.011290874931728468,0.0,0.0010250210762023926,60,0.3
8,1046,1,200.0,2048,-709.0,707.9613159179687,0.0003,0.006314723,498.7257995605469,-2.521536135673523,-0.011532254610210657,0.0,0.0011702775955200195,70,0.3
9,1049,2,200.0,2304,-701.8181818181819,300.1260360717773,0.0003,0.0048698783,111.4964370727539,-2.4964343070983888,-0.005059370491653681,0.0,0.00016611814498901367,80,0.3
10,1048,2,200.0,2560,-624.1666666666666,561.9986892700196,0.0003,0.012379568,247.97828674316406,-2.4792876839637756,-0.01744815045967698,0.0265625,0.0030193328857421875,90,0.3
11,1047,2,200.0,2816,-589.2857142857143,1297.4171783447266,0.0003,0.0043341257,787.2763061523438,-2.44185733795166,-0.005770356673747301,0.0,0.017069876194000244,100,0.3
12,1050,2,200.0,3072,-577.3333333333334,648.6203140258789,0.0003,0.001441332,410.52545166015625,-2.4377713918685915,-0.001880831504240632,0.0,0.16753166913986206,110,0.3
13,1053,3,200.0,3328,-578.75,600.9199699401855,0.0003,0.0014749018,240.77236938476562,-2.451155090332031,-0.0033797475043684244,0.0,0.0959852933883667,120,0.3
14,1051,3,200.0,3584,-577.6470588235294,308.49510498046874,0.0003,0.0016526696,136.8964385986328,-2.4425875902175904,-0.0043467777781188485,0.0,-0.012034416198730469,130,0.3
15,1049,3,200.0,3840,-576.3157894736842,155.31926078796386,0.0003,0.006980804,40.41950225830078,-2.459443986415863,-0.008410510327666997,0.00390625,-0.14141321182250977,140,0.3
16,1051,3,200.0,4096,-575.0,199.20397338867187,0.0003,0.0073506245,106.9044418334961,-2.4620088934898376,-0.0051692953333258625,0.015625,0.006020605564117432,150,0.3
17,1050,4,200.0,4352,-572.8571428571429,152.43259544372557,0.0003,0.005624353,70.33403015136719,-2.4400310635566713,-0.005716634239070118,0.0,-9.047985076904297e-05,160,0.3
18,1052,4,200.0,4608,-579.5652173913044,269.3787467956543,0.0003,0.0057059554,138.02333068847656,-2.4583386421203612,-0.00801826948300004,0.0,-0.00018835067749023438,170,0.3
19,1050,4,200.0,4864,-570.4166666666666,156.45376777648926,0.0003,0.008566004,93.98304748535156,-2.4499528050422668,-0.007673072896432131,0.0,0.0018080472946166992,180,0.3
20,1051,4,200.0,5120,-568.0,585.8585159301758,0.0003,0.04135372,303.85516357421875,-2.413641166687012,-0.02748119568932452,0.106640625,0.0014463067054748535,190,0.3
21,1048,5,200.0,5376,-568.8461538461538,84.11336574554443,0.0003,0.02451314,45.124053955078125,-2.370091986656189,-0.01645027061458677,0.06015625,-0.003715991973876953,200,0.3
