time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/clip_range
1,1053,0,200.0,256,-640.0,,,,,,,,,,
2,1014,0,200.0,512,-715.0,537.2745407104492,0.0003,0.0020042686,198.4638671875,-2.5642863273620606,-0.009546264610253274,0.0,-0.0033888816833496094,10,0.3
3,988,0,200.0,768,-706.6666666666666,682.2118133544922,0.0003,0.001029972,310.16253662109375,-2.560780096054077,-0.003997699916362762,0.0,0.0008546113967895508,20,0.3
4,994,1,200.0,1024,-568.0,690.552621459961,0.0003,0.004739106,338.9596862792969,-2.5573880314826964,-0.009896855731494725,0.0,0.0013307929039001465,30,0.3
5,990,1,200.0,1280,-581.6666666666666,380.4098754882813,0.0003,0.0017763434,204.6529541015625,-2.5494360446929933,-0.001776048610918224,0.0,0.0015957951545715332,40,0.3
6,994,1,200.0,1536,-554.2857142857143,389.11607666015624,0.0003,0.0007024403,189.2718048095703,-2.5427006483078003,-0.003675547614693642,0.0,-0.005913972854614258,50,0.3
7,998,1,200.0,1792,-498.75,1517.3799102783203,0.0003,0.00074544386,745.64453125,-2.537824046611786,-0.0025748337619006635,0.0,0.002626776695251465,60,0.3
8,998,2,200.0,2048,-472.0,669.3029342651367,0.0003,0.0021023147,241.01820373535156,-2.5351962804794312,-0.006437148037366569,0.0,0.015197038650512695,70,0.3
9,1003,2,200.0,2304,-456.3636363636364,321.1462600708008,0.0003,0.0006669322,156.1418914794922,-2.533086061477661,-0.0017704578815028072,0.0,0.004609286785125732,80,0.3
10,1010,2,200.0,2560,-414.1666666666667,575.3238052368164,0.0003,0.0039033103,258.1296081542969,-2.5387081623077394,-0.011142991646192969,0.0,0.022117316722869873,90,0.3
11,1015,2,200.0,2816,-387.85714285714283,1709.81630859375,0.0003,0.0005600513,947.836181640625,-2.548902440071106,3.4772325307130814e-05,0.0,0.08040416240692139,100,0.3
12,1019,3,200.0,3072,-378.0,630.5215057373047,0.0003,0.0002961955,432.2545166015625,-2.547808587551117,-0.0025173170724883676,0.0,0.1235877275466919,110,0.3
13,1022,3,200.0,3328,-388.75,725.3467910766601,0.0003,0.0006110363,374.2441711425781,-2.5439596652984617,-0.0025688808411359785,0.0,0.007955551147460938,120,0.3
