time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction
0,954,200.0,1,-40.0,256,,,,,,,,,,
0,960,200.0,2,-265.0,512,0.00022727251052856445,1927.1704650878905,661.3062744140625,-0.006475003273226321,0.3,0.0003,0.0008589369,10,-2.5646961331367493,0.0
0,928,200.0,3,-240.0,768,0.01680809259414673,936.6718963623047,387.51214599609375,-0.004398645041510463,0.3,0.0003,0.0007265939,20,-2.563376414775848,0.0
1,927,200.0,4,-370.0,1024,-0.04327714443206787,630.4447647094727,240.57943725585938,-0.0013822143664583564,0.3,0.0003,0.00024094712,30,-2.561384439468384,0.0
1,932,200.0,5,-343.3333333333333,1280,0.001344919204711914,906.0888549804688,454.9352722167969,-0.0029441087041050195,0.3,0.0003,0.00029188022,40,-2.561636543273926,0.0
1,934,200.0,6,-371.42857142857144,1536,0.006895124912261963,1926.8492309570313,1224.6082763671875,-0.002462432562606409,0.3,0.0003,0.00027523446,50,-2.5613547205924987,0.0
1,936,200.0,7,-392.5,1792,-0.002465367317199707,866.0874877929688,406.2299499511719,-0.0015504498966038226,0.3,0.0003,0.00015891343,60,-2.559259819984436,0.0
2,939,200.0,8,-434.0,2048,-0.0017708539962768555,682.8664794921875,321.429931640625,-0.0018300205701962113,0.3,0.0003,0.00022586458,70,-2.55847088098526,0.0
2,941,200.0,9,-440.0,2304,0.0010678768157958984,591.6623107910157,301.603515625,-0.0028075881069526075,0.3,0.0003,0.00033173384,80,-2.5570558071136475,0.0
2,941,200.0,10,-424.1666666666667,2560,-0.0011878013610839844,411.441716003418,163.90621948242188,-0.007766629790421575,0.3,0.0003,0.0013017028,90,-2.553992235660553,0.0
2,942,200.0,11,-424.2857142857143,2816,0.0014362931251525879,1416.9008239746095,591.0598754882812,-0.016625330201350152,0.3,0.0003,0.009367715,100,-2.545547080039978,0.000390625
3,943,200.0,12,-426.6666666666667,3072,-0.003146648406982422,705.5385467529297,322.1341247558594,-0.004344906564801932,0.3,0.0003,0.0029155717,110,-2.5239081740379334,0.0
3,943,200.0,13,-421.875,3328,0.04688817262649536,361.2257553100586,156.55770874023438,-0.005010149674490094,0.3,0.0003,0.0015106348,120,-2.50765483379364,0.0
3,948,200.0,14,-415.29411764705884,3584,-0.209694504737854,130.37985038757324,56.48618698120117,-0.009499097848311067,0.3,0.0003,0.003849918,130,-2.5018253922462463,0.0
4,950,200.0,15,-383.6842105263158,3840,-0.00035321712493896484,144.84391403198242,71.17169952392578,-0.020081178285181522,0.3,0.0003,0.015836377,140,-2.4790428400039675,0.016796875
4,952,200.0,16,-391.5,4096,1.8835067749023438e-05,1690.1695678710937,761.9900512695312,-0.007859534071758389,0.3,0.0003,0.005670977,150,-2.457361626625061,0.0
4,953,200.0,17,-391.9047619047619,4352,0.00010222196578979492,547.1357986450196,291.1272277832031,-0.010003369208425284,0.3,0.0003,0.0058708545,160,-2.4239080905914308,0.0
4,954,200.0,18,-392.17391304347825,4608,9.226799011230469e-05,233.4952392578125,112.69344329833984,-0.005043402500450611,0.3,0.0003,0.0021948677,170,-2.419866609573364,0.0
5,956,200.0,19,-381.6666666666667,4864,0.00213545560836792,152.8004165649414,71.54117584228516,-0.0031037590466439723,0.3,0.0003,0.0021563391,180,-2.4105362772941588,0.0
5,957,200.0,20,-351.2,5120,0.0002898573875427246,1833.1171508789062,800.1985473632812,-0.024621154740452768,0.3,0.0003,0.041190367,190,-2.3331196665763856,0.111328125
5,957,200.0,21,-349.61538461538464,5376,0.004513263702392578,1543.3813720703124,917.1880493164062,-0.006200822920072823,0.3,0.0003,0.0034542708,200,-2.240599513053894,0.0
5,958,200.0,22,-349.2857142857143,5632,-0.22736084461212158,178.6592830657959,63.50303649902344,-0.0025628688745200634,0.3,0.0003,0.0008598375,210,-2.2200820446014404,0.0
6,958,200.0,23,-342.7586206896552,5888,-0.13064682483673096,186.0315631866455,75.64728546142578,-0.008234398998320102,0.3,0.0003,0.0059642806,220,-2.2175495862960815,0.0
6,960,200.0,24,-341.6666666666667,6144,0.0007821321487426758,809.5292053222656,508.5409851074219,-0.019313796935603023,0.3,0.0003,0.025267959,230,-2.229285490512848,0.073046875
6,961,200.0,25,-342.1875,6400,-0.0018873214721679688,112.43852424621582,53.597412109375,-0.010741436993703246,0.3,0.0003,0.007858582,240,-2.232159745693207,0.0
6,961,200.0,26,-343.6363636363636,6656,0.0009828805923461914,130.87287864685058,65.21016693115234,-0.0063384320121258496,0.3,0.0003,0.003957486,250,-2.197844660282135,0.00625
7,962,200.0,27,-342.6470588235294,6912,0.003432750701904297,122.00947799682618,61.03291320800781,-0.002402125857770443,0.3,0.0003,0.0025409476,260,-2.206276845932007,0.0
7,961,200.0,28,-342.85714285714283,7168,0.00026214122772216797,106.38745765686035,50.14544677734375,-0.002187827555462718,0.3,0.0003,0.0011693514,270,-2.2095524072647095,0.0
7,961,200.0,29,-342.43243243243245,7424,-0.0005034208297729492,97.25485496520996,45.7181510925293,-0.005262367567047477,0.3,0.0003,0.00244965,280,-2.211307168006897,0.0
7,961,200.0,30,-335.7894736842105,7680,-5.173683166503906e-05,88.51611099243163,39.78791809082031,-0.0063030421268194916,0.3,0.0003,0.003748311,290,-2.1929012179374694,0.0
8,961,200.0,31,-326.9230769230769,7936,0.00025904178619384766,1832.232196044922,1040.94287109375,-0.003768369136378169,0.3,0.0003,0.004267455,300,-2.1752832889556886,0.0
8,961,200.0,32,-328.75,8192,-2.5153160095214844e-05,1100.0604522705078,497.2801818847656,-0.020021087490022182,0.3,0.0003,0.038211986,310,-2.1113369464874268,0.077734375
8,962,200.0,33,-317.85714285714283,8448,-0.0005295276641845703,103.60130386352539,51.110408782958984,-0.0032885501161217688,0.3,0.0003,0.003554586,320,-1.985295706987381,0.0
9,963,200.0,34,-313.0232558139535,8704,0.00030857324600219727,1637.1516723632812,751.4597778320312,-0.008400148479267955,0.3,0.0003,0.0071218545,330,-1.991966539621353,0.0015625
