time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/entropy_loss,train/clip_range,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl
256,200.0,0,913,-349.0,1,,,,,,,,,,
512,200.0,0,929,-589.0,2,0.0001239180564880371,-2.5647469401359557,0.3,0.0,10,1606.1802612304687,0.0003,-0.0056086767232045535,539.775634765625,0.0006735788
768,200.0,0,906,-569.0,3,0.009731054306030273,-2.5636215806007385,0.3,0.0,20,804.8746673583985,0.0003,-0.004861176549457014,364.341552734375,0.000769112
1024,200.0,1,910,-703.6,4,-0.0034809112548828125,-2.561378037929535,0.3,0.0,30,729.3175567626953,0.0003,-0.002429143711924553,300.02978515625,0.00038750726
1280,200.0,1,907,-615.5,5,0.002336740493774414,-2.560616612434387,0.3,0.0,40,878.2603607177734,0.0003,-0.0033891311846673488,424.37005615234375,0.0003625471
1536,200.0,1,907,-639.2857142857143,6,0.004629313945770264,-2.5572858929634092,0.3,0.0,50,1888.1925231933594,0.0003,-0.00754586944822222,1117.6041259765625,0.0016804619
1792,200.0,1,905,-681.375,7,0.0025473833084106445,-2.5536636114120483,0.3,0.0,60,805.1200897216797,0.0003,-0.0030614529736340047,398.17584228515625,0.0006077937
2048,200.0,2,907,-700.2,8,-0.001722097396850586,-2.5500688672065737,0.3,0.0,70,733.2662414550781,0.0003,-0.002810015087015927,392.1847839355469,0.00048711593
2304,200.0,2,906,-714.5454545454545,9,0.026272714138031006,-2.5414966225624083,0.3,0.0,80,278.1492324829102,0.0003,-0.0066229082643985745,131.85426330566406,0.001623404
2560,200.0,2,906,-693.4166666666666,10,0.0004056692123413086,-2.5210043668746946,0.3,0.0,90,539.5614288330078,0.0003,-0.011073409859091044,250.39370727539062,0.003388648
2816,200.0,3,904,-706.0714285714286,11,0.00045436620712280273,-2.511041009426117,0.3,0.0,100,795.5106658935547,0.0003,-0.007471414003521204,406.22930908203125,0.0037468106
3072,200.0,3,907,-689.5333333333333,12,-5.5670738220214844e-05,-2.47930428981781,0.3,0.0,110,483.94549865722655,0.0003,-0.01162942503578961,223.56251525878906,0.006196478
3328,200.0,3,907,-669.75,13,0.0007442235946655273,-2.4253944039344786,0.3,0.028515625,120,659.4337860107422,0.0003,-0.021349550131708382,242.98828125,0.020103166
3584,200.0,3,911,-666.1764705882352,14,0.0013242363929748535,-2.3777157425880433,0.3,0.015625,130,638.9888809204101,0.0003,-0.014108720980584622,438.9812927246094,0.0147183025
3840,200.0,4,914,-604.2105263157895,15,0.0031405091285705566,-2.35809805393219,0.3,0.0,140,127.21099853515625,0.0003,-0.011309067870024591,61.856201171875,0.010294124
4096,200.0,4,916,-603.8,16,0.026317358016967773,-2.3035908699035645,0.3,0.0,150,1921.852227783203,0.0003,-0.005143643915653228,665.2882690429688,0.0062825214
4352,200.0,4,918,-601.0,17,0.005294203758239746,-2.245787835121155,0.3,0.003515625,160,135.43279762268065,0.0003,-0.013121103681623936,61.79560089111328,0.008721811
4608,200.0,5,921,-599.0869565217391,18,-0.03604567050933838,-2.181437635421753,0.3,0.0,170,740.7812149047852,0.0003,-0.00312495450489223,379.36407470703125,0.002815683
4864,200.0,5,923,-594.5,19,-0.03930306434631348,-2.1791716694831846,0.3,0.0,180,298.0855110168457,0.0003,-0.008073061774484813,128.95777893066406,0.0060645146
5120,200.0,5,927,-563.72,20,0.00038546323776245117,-2.0983648777008055,0.3,0.08515625,190,1435.3886657714843,0.0003,-0.02237747157923877,576.1828002929688,0.031887263
5376,200.0,5,929,-561.3076923076923,21,0.07433485984802246,-2.1266363978385927,0.3,0.0,200,939.2824096679688,0.0003,-0.006492779962718487,344.7294006347656,0.005281939
5632,200.0,6,932,-560.4642857142857,22,-0.10152482986450195,-2.160092794895172,0.3,0.0,210,97.16183242797851,0.0003,-0.0017404682002961636,44.98223876953125,0.0011783293
5888,200.0,6,933,-566.3448275862069,23,0.003288745880126953,-2.157515549659729,0.3,0.0,220,88.31856842041016,0.0003,-0.0025448153726756574,40.52299499511719,0.001217396
6144,200.0,6,935,-565.3666666666667,24,-0.0005811452865600586,-2.112802743911743,0.3,0.0,230,282.6219085693359,0.0003,-0.0029982891865074635,159.279541015625,0.00069361995
6400,200.0,6,937,-555.65625,25,0.0006499886512756348,-2.095671772956848,0.3,0.0,240,54.264247512817384,0.0003,-0.008888254803605378,26.420928955078125,0.0068147844
6656,200.0,7,937,-556.939393939394,26,-0.010782718658447266,-1.990939772129059,0.3,0.0203125,250,497.38300704956055,0.0003,-0.011805710569024085,170.62281799316406,0.02839429
6912,200.0,7,938,-558.0294117647059,27,0.002276778221130371,-1.847928947210312,0.3,0.0,260,177.26535682678224,0.0003,0.00217080251313746,98.05284881591797,0.010776129
7168,200.0,7,939,-556.1142857142858,28,-0.00034880638122558594,-1.744178932905197,0.3,0.0,270,65.89422969818115,0.0003,-0.0071847228333354,26.481706619262695,0.0033872223
7424,200.0,7,938,-554.5675675675676,29,-0.0002455711364746094,-1.6597861349582672,0.3,0.0,280,76.98032035827637,0.0003,-0.0056234100367873905,38.34968185424805,0.0039850213
7680,200.0,8,939,-544.7894736842105,30,-0.003105759620666504,-1.5885572493076325,0.3,0.0,290,62.14605274200439,0.0003,-0.00965208203997463,30.561840057373047,0.00775014
7936,200.0,8,940,-528.1282051282051,31,-0.0009859800338745117,-1.5018110513687133,0.3,0.0,300,1203.5283508300781,0.0003,-0.002892663516104221,598.4992065429688,0.0022087963
8192,200.0,8,941,-528.475,32,1.239776611328125e-05,-1.4422101318836211,0.3,0.0,310,1279.7027374267577,0.0003,-0.003916510718408972,808.422119140625,0.0014513666
8448,200.0,8,942,-511.64285714285717,33,-0.0003362894058227539,-1.4431253254413605,0.3,0.0,320,94.19256000518799,0.0003,-0.005153986462391913,34.089385986328125,0.002578987
8704,200.0,9,943,-510.4186046511628,34,0.03106588125228882,-1.5339294850826264,0.3,0.0,330,1300.4949676513672,0.0003,0.00023857345804572104,448.67474365234375,0.0016427226
8960,200.0,9,943,-509.65909090909093,35,-0.003914475440979004,-1.5417472839355468,0.3,0.0,340,49.02762699127197,0.0003,-0.002595481846947223,20.987817764282227,0.0013074114
9216,200.0,9,944,-509.10869565217394,36,-0.010077118873596191,-1.4698561608791352,0.3,0.0,350,90.75687637329102,0.0003,-0.005053424136713147,44.23226547241211,0.004391833
9472,200.0,10,944,-498.63829787234044,37,0.14984124898910522,-1.326916664838791,0.3,0.00078125,360,29.280836391448975,0.0003,-0.00792944454587996,12.344552993774414,0.010094216
9728,200.0,10,945,-497.3541666666667,38,0.20691072940826416,-1.2440226256847382,0.3,0.0078125,370,879.0619110107422,0.0003,-0.0040917428443208335,296.1929626464844,0.0038976034
9984,200.0,10,946,-497.6326530612245,39,0.0744088888168335,-1.3567542016506196,0.3,0.037109375,380,18.582552671432495,0.0003,-0.011296271835453809,8.242401123046875,0.014500827
10240,200.0,10,946,-494.47058823529414,40,0.019025206565856934,-1.380459576845169,0.3,0.002734375,390,21.839196348190306,0.0003,-0.00753903875593096,9.974202156066895,0.0038566948
10496,200.0,11,946,-493.0,41,-0.04247879981994629,-1.2615781784057618,0.3,0.001953125,400,32.31122589111328,0.0003,-0.007060236111283302,12.673829078674316,0.010033667
10752,200.0,11,946,-491.1509433962264,42,-1.1444091796875e-05,-1.1283110976219177,0.3,0.037890625,410,13.469839572906494,0.0003,-0.005164889711886644,4.862922191619873,0.030159315
11008,200.0,11,946,-489.03636363636366,43,-7.212162017822266e-05,-1.0598213970661163,0.3,0.028125,420,14.195811414718628,0.0003,-0.006249716016463935,7.71401309967041,0.009893484
11264,200.0,11,946,-488.42857142857144,44,-0.0007677078247070312,-1.2467889189720154,0.3,0.122265625,430,23.522605895996094,0.0003,-0.01576648480258882,13.962847709655762,0.056912865
11520,200.0,12,946,-487.4561403508772,45,-0.00034058094024658203,-1.3345900356769562,0.3,0.066015625,440,31.758031368255615,0.0003,-0.010117606609128416,17.128971099853516,0.02646405
11776,200.0,12,946,-486.4310344827586,46,-6.365776062011719e-05,-1.2725528597831726,0.3,0.00234375,450,70.4187728881836,0.0003,-0.0056137310341000555,33.40461349487305,0.0031292993
12032,200.0,12,947,-471.68333333333334,47,0.14184516668319702,-1.2892201960086822,0.3,0.0,460,1531.7744079589843,0.0003,-0.0030442995484918356,707.5101318359375,0.0010862502
12288,200.0,12,946,-470.27868852459017,48,-0.0012744665145874023,-1.3151634573936462,0.3,0.03203125,470,17.4387487411499,0.0003,-0.011305948812514543,7.8405327796936035,0.015027102
12544,200.0,13,947,-468.80645161290323,49,-0.7248198986053467,-1.323329347372055,0.3,0.0,480,17.871426343917847,0.0003,-0.00024499059654772284,9.379119873046875,0.0027897677
12800,200.0,13,947,-466.515625,50,-6.127357482910156e-05,-1.2605367720127105,0.3,0.0,490,8.234217381477356,0.0003,-0.0029300454305484893,4.869400978088379,0.005750653
13056,200.0,13,947,-465.0769230769231,51,-0.024356961250305176,-1.3259044110774993,0.3,0.15,500,18.69928698539734,0.0003,-0.02107069604098797,10.099512100219727,0.08177539
13312,200.0,14,948,-463.6818181818182,52,-1.6689300537109375e-06,-1.4455812275409698,0.3,0.01640625,510,16.490251064300537,0.0003,-0.005927856150083244,7.442471981048584,0.009707022
13568,200.0,14,949,-460.53731343283584,53,0.41775357723236084,-1.4798691272735596,0.3,0.0,520,44.45774927139282,0.0003,-0.0014137254795059562,17.275588989257812,0.0012189192
13824,200.0,14,949,-458.231884057971,54,0.12890511751174927,-1.5047061502933503,0.3,0.0,530,530.6755516052247,0.0003,-0.0001978276064619422,340.83563232421875,0.000696325
14080,200.0,14,950,-457.1,55,-3.7789344787597656e-05,-1.4690479815006257,0.3,0.1859375,540,15.954208707809448,0.0003,-0.013978460105136037,8.190741539001465,0.026382355
14336,200.0,15,949,-456.0,56,-2.1457672119140625e-06,-1.5464171171188354,0.3,0.034375,550,12.169291758537293,0.0003,-0.0037321024807170033,9.318036079406738,0.010269608
14592,200.0,15,948,-454.06944444444446,57,0.24783295392990112,-1.6195569515228272,0.3,0.0,560,425.49017944335935,0.0003,0.002678720187395811,253.41036987304688,0.0032271813
14848,200.0,15,948,-445.93243243243245,58,4.13060188293457e-05,-1.647047221660614,0.3,0.099609375,570,13.472749948501587,0.0003,-0.015157563542015851,4.978889465332031,0.03347418
15104,200.0,15,947,-442.24,59,0.14878058433532715,-1.6111494302749634,0.3,0.0,580,1329.3858795166016,0.0003,0.000892254477366805,425.8908386230469,0.009635062
15360,200.0,16,947,-437.8421052631579,60,0.4030621647834778,-1.5967087924480439,0.3,0.0,590,424.18860931396483,0.0003,-0.0002043296117335558,163.1197052001953,0.00018532015
15616,200.0,16,946,-424.3076923076923,61,-2.5384111404418945,-1.5927137076854705,0.3,0.0,600,261.30941848754884,0.0003,-0.000425501330755651,114.7320785522461,3.8250815e-05
15872,200.0,16,947,-423.69620253164555,62,0.42380309104919434,-1.6005688726902008,0.3,0.0,610,1452.4409973144532,0.0003,-0.0003201573621481657,807.9182739257812,2.6866794e-05
16128,200.0,17,947,-423.7125,63,0.04120945930480957,-1.6384236454963683,0.3,0.010546875,620,9.279874086380005,0.0003,-0.009951391583308577,3.5651721954345703,0.008326761
16384,200.0,17,947,-423.2098765432099,64,-0.9066970348358154,-1.694503617286682,0.3,0.0,630,47.9737943649292,0.0003,-0.0005339812487363815,14.420151710510254,0.0019958927
16640,200.0,17,947,-413.6024096385542,65,-4.9049973487854,-1.6955138981342315,0.3,0.0,640,106.38857688903809,0.0003,0.00044483093079179526,19.094282150268555,3.1687785e-05
16896,200.0,17,947,-413.95238095238096,66,0.4077359437942505,-1.70624720454216,0.3,0.0,650,1133.0923767089844,0.0003,-0.00015449686907231808,473.1590881347656,1.4471356e-05
17152,200.0,18,947,-414.43529411764706,67,-0.25753021240234375,-1.6976917564868927,0.3,0.0,660,32.16396169662475,0.0003,-0.0014357485459186136,7.531370162963867,0.00050170394
