time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range
0,959,651.0,256,200.0,1,,,,,,,,,,
0,970,411.0,512,200.0,2,11284.7255859375,-2.564640736579895,0.0003,18464.845654296874,-6.914138793945312e-05,-0.007138970401138067,0.0,10,0.0010290958,0.3
0,954,91.0,768,200.0,3,265.812744140625,-2.5628782868385316,0.0003,538.6804473876953,0.0023644566535949707,-0.004365098290145397,0.0,20,0.0008734043,0.3
1,949,128.6,1024,200.0,4,4497.39404296875,-2.5589404582977293,0.0003,9255.027270507813,0.0004761815071105957,-0.007456863881088793,0.0,30,0.0021371243,0.3
1,944,304.3333333333333,1280,200.0,5,4419.47802734375,-2.550703489780426,0.0003,9343.578576660157,0.004080712795257568,-0.007276910473592579,0.0,40,0.0027476822,0.3
1,943,273.7142857142857,1536,200.0,6,12161.0859375,-2.53394809961319,0.0003,19512.614892578124,0.0036675333976745605,-0.006791433924809099,0.0,50,0.0023858964,0.3
1,941,246.25,1792,200.0,7,2747.062255859375,-2.5221354484558107,0.0003,9186.196362304687,0.008850336074829102,-0.005074283224530518,0.0,60,0.0015963875,0.3
2,941,213.0,2048,200.0,8,6143.71923828125,-2.511848342418671,0.0003,7599.072303771973,-1.9788742065429688e-05,-0.004310875572264195,0.0,70,0.0024255016,0.3
2,942,211.36363636363637,2304,200.0,9,8192.9130859375,-2.490912139415741,0.0003,17753.326318359374,0.0019162893295288086,-0.008337874920107425,0.0,80,0.0041567823,0.3
2,943,237.66666666666666,2560,200.0,10,4279.91162109375,-2.464348042011261,0.0003,9011.377099609375,-0.0004825592041015625,-0.008677462488412857,0.0,90,0.00399664,0.3
2,945,228.64285714285714,2816,200.0,11,8004.76416015625,-2.4580586552619934,0.0003,9345.93666381836,0.0014314651489257812,-0.005246297013945878,0.0,100,0.0035428186,0.3
3,946,230.13333333333333,3072,200.0,12,12685.0986328125,-2.4208969831466676,0.0003,16563.767333984375,0.0228307843208313,-0.006154970638453961,0.0,110,0.0029223165,0.3
3,946,254.1875,3328,200.0,13,3654.850341796875,-2.399690330028534,0.0003,9038.895080566406,0.011897027492523193,-0.002173563023097813,0.0,120,0.0011556721,0.3
3,946,272.11764705882354,3584,200.0,14,6400.05078125,-2.4087989926338196,0.0003,8971.377215576173,0.023852646350860596,-0.002362105529755354,0.0,130,0.001810133,0.3
4,947,334.6842105263158,3840,200.0,15,2888.777587890625,-2.4423234939575194,0.0003,9022.6462890625,0.020779728889465332,-0.0038027890026569367,0.0,140,0.0021016358,0.3
4,948,328.15,4096,200.0,16,6490.181640625,-2.4430623292922973,0.0003,17859.748754882814,0.020189404487609863,-0.0012541348813101649,0.0,150,0.0005341277,0.3
4,948,325.6666666666667,4352,200.0,17,6143.90087890625,-2.4365107655525207,0.0003,8892.388409423827,0.0157659649848938,-0.0005386647884733975,0.0,160,0.00019579381,0.3
4,950,309.17391304347825,4608,200.0,18,7417.40380859375,-2.4352219223976137,0.0003,9008.95997314453,0.009451687335968018,-0.0031930196564644575,0.0,170,0.0009892427,0.3
5,951,269.5833333333333,4864,200.0,19,6698.166015625,-2.4137745976448057,0.0003,8889.712744140625,0.01933532953262329,-0.004790070047602057,0.0,180,0.0022587941,0.3
5,953,252.48,5120,200.0,20,304.8382873535156,-2.4217731833457945,0.0003,434.7208854675293,-0.0904092788696289,-0.019699588837102055,0.039453125,190,0.016940646,0.3
5,952,254.26923076923077,5376,200.0,21,5773.13916015625,-2.4854695916175844,0.0003,8463.176902770996,0.04606199264526367,-0.00012847072212025524,0.0,200,0.0011860314,0.3
5,953,267.42857142857144,5632,200.0,22,2418.483642578125,-2.488783323764801,0.0003,8872.126733398438,0.021747231483459473,-0.0021945879328995944,0.0,210,0.0003760415,0.3
6,953,260.9310344827586,5888,200.0,23,6262.9453125,-2.467183542251587,0.0003,15812.812503051759,0.01166987419128418,-0.0014627659693360329,0.0,220,0.000293341,0.3
6,952,263.8666666666667,6144,200.0,24,2591.395263671875,-2.4465994596481324,0.0003,8929.525073242188,0.014169037342071533,-0.0027625975664705036,0.0,230,0.0007380864,0.3
