time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/entropy_loss,train/clip_range,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl
256,200.0,0,966,651.0,1,,,,,,,,,,
512,200.0,0,980,411.0,2,-7.87973403930664e-05,-2.5647114157676696,0.3,0.0,10,26855.257275390624,0.0003,-0.005779141886159777,16285.3623046875,0.0007622838
768,200.0,0,956,91.0,3,0.0016072392463684082,-2.563426375389099,0.3,0.0,20,966.0378875732422,0.0003,-0.0037999826716259124,439.9252624511719,0.00063918857
1024,200.0,1,952,94.6,4,5.7637691497802734e-05,-2.561633598804474,0.3,0.0,30,14133.35654296875,0.0003,-0.004479138879105449,4924.8544921875,0.00089380145
1280,200.0,1,946,219.83333333333334,5,0.002435445785522461,-2.559841525554657,0.3,0.0,40,13845.7673828125,0.0003,-0.0032569097820669413,5384.708984375,0.00063378643
1536,200.0,1,944,202.71428571428572,6,0.006162822246551514,-2.55535249710083,0.3,0.0,50,30306.0638671875,0.0003,-0.00396301057189703,16701.0859375,0.0005606711
1792,200.0,1,942,185.125,7,0.0079231858253479,-2.5539258122444153,0.3,0.0,60,14127.914318847656,0.0003,-0.004311788221821189,6045.6982421875,0.00058969203
2048,200.0,2,941,181.2,8,0.0026851296424865723,-2.5501001477241516,0.3,0.0,70,9168.063732910156,0.0003,-0.0027848425786942245,6808.109375,0.00083051855
2304,200.0,2,942,176.27272727272728,9,0.008473634719848633,-2.5434067368507387,0.3,0.0,80,26716.156005859375,0.0003,-0.0012512979097664355,10936.060546875,0.0003789463
2560,200.0,2,940,209.33333333333334,10,0.013339757919311523,-2.5418107748031615,0.3,0.0,90,13849.825634765624,0.0003,-0.0025755935814231632,5598.8037109375,0.00030473154
2816,200.0,2,942,207.07142857142858,11,0.004325151443481445,-2.5402037858963014,0.3,0.0,100,14047.867456054688,0.0003,-0.004277091403491795,7577.5341796875,0.0013471283
3072,200.0,3,943,205.06666666666666,12,0.011170268058776855,-2.5270352125167848,0.3,0.0,110,22347.868408203125,0.0003,-0.0060984599404037,15624.1552734375,0.0025916458
3328,200.0,3,944,203.9375,13,0.003499329090118408,-2.5013604402542113,0.3,0.0,120,13105.094921875,0.0003,-0.00212395079433918,6487.11669921875,0.0010744988
3584,200.0,3,946,203.76470588235293,14,0.02476412057876587,-2.488218307495117,0.3,0.0,130,13061.498095703126,0.0003,-0.0011356916278600694,7646.1982421875,0.0002049352
3840,200.0,4,947,192.78947368421052,15,0.03330475091934204,-2.50502427816391,0.3,0.0,140,13293.365771484376,0.0003,-0.004328203550539911,6680.49169921875,0.00077566295
4096,200.0,4,948,206.9,16,0.03144347667694092,-2.4976536870002746,0.3,0.0,150,10216.159228515626,0.0003,-0.00427625016309321,5389.34033203125,0.0015050541
4352,200.0,4,948,212.95238095238096,17,0.0006616115570068359,-2.5044982552528383,0.3,0.0,160,14102.677807617187,0.0003,-0.00043021426536142825,8859.1826171875,0.00052066124
4608,200.0,4,950,211.8695652173913,18,0.015971720218658447,-2.508860433101654,0.3,0.0,170,13617.339282226563,0.0003,-0.001953615853562951,10502.1015625,0.00032612868
4864,200.0,5,951,265.7916666666667,19,0.041813671588897705,-2.4899502754211427,0.3,0.0,180,12499.243054199218,0.0003,-0.003097719023935497,8402.146484375,0.0010377939
5120,200.0,5,951,297.36,20,0.008270680904388428,-2.4850483536720276,0.3,0.0,190,35365.979248046875,0.0003,-0.0006229477236047387,20645.052734375,0.00017155684
5376,200.0,5,951,290.8076923076923,21,0.0304110050201416,-2.479317283630371,0.3,0.0,200,11567.103326416016,0.0003,-0.0013217601226642728,7515.14306640625,0.00015747687
5632,200.0,5,951,288.85714285714283,22,0.01730269193649292,-2.482752466201782,0.3,0.0,210,13394.16982421875,0.0003,-0.0025644660461694004,8279.1279296875,0.00031874515
5888,200.0,6,951,282.0344827586207,23,0.007805585861206055,-2.478673052787781,0.3,0.0,220,21327.41652832031,0.0003,-0.0008498779265210032,9302.03125,0.00025499146
6144,200.0,6,952,287.53333333333336,24,0.02337867021560669,-2.4566503763198853,0.3,0.0,230,12838.819116210938,0.0003,-0.005455121886916459,4029.28955078125,0.002061142
6400,200.0,6,951,287.5625,25,0.0058037638664245605,-2.446592462062836,0.3,0.0,240,8830.623706054688,0.0003,-0.002561530820094049,4753.177734375,0.0009861938
6656,200.0,6,952,290.72727272727275,26,0.03425830602645874,-2.4254923105239867,0.3,0.0,250,11556.615051269531,0.0003,-0.0034623519983142613,1839.442138671875,0.00097321114
6912,200.0,7,952,291.38235294117646,27,0.03361278772354126,-2.4600637197494506,0.3,0.0,260,26203.2376953125,0.0003,-0.0016474548261612653,10130.5126953125,0.0008728171
7168,200.0,7,952,297.6857142857143,28,0.02320653200149536,-2.4471654534339904,0.3,0.0,270,9185.385955810547,0.0003,-0.0035144642693921923,6921.93017578125,0.0016713396
7424,200.0,7,951,300.7837837837838,29,0.033548951148986816,-2.421509861946106,0.3,0.0,280,8591.514622497558,0.0003,-0.0016289319843053817,4691.74072265625,0.0024619296
7680,200.0,8,952,340.1842105263158,30,0.04159140586853027,-2.3973420739173887,0.3,0.0,290,21597.700537109376,0.0003,-0.00037811822257936,4577.6796875,0.0002066535
7936,200.0,8,952,362.8205128205128,31,-0.022057175636291504,-2.396695101261139,0.3,0.0,300,23530.945703125,0.0003,-0.002266621356830001,12143.587890625,0.00039078272
8192,200.0,8,952,360.425,32,0.022674381732940674,-2.3740315794944764,0.3,0.0,310,9586.127276611329,0.0003,-0.0022590913460589944,4310.9892578125,0.00061873463
8448,200.0,8,953,384.7142857142857,33,0.026800215244293213,-2.408939301967621,0.3,0.0,320,11967.987414550782,0.0003,-0.006940135726472363,3132.61474609375,0.0023313675
8704,200.0,9,952,385.0232558139535,34,0.032559096813201904,-2.4345800399780275,0.3,0.0,330,28969.372705078124,0.0003,0.0007776193669997156,11965.4580078125,0.0012548836
8960,200.0,9,953,385.27272727272725,35,0.05220639705657959,-2.444447422027588,0.3,0.0,340,11677.05634765625,0.0003,-0.002314395096618682,5926.82373046875,0.00042550615
9216,200.0,9,952,384.39130434782606,36,0.0766674280166626,-2.458592188358307,0.3,0.0,350,13273.678881835938,0.0003,-0.005051114782691002,5618.97705078125,0.0019384203
9472,200.0,9,952,398.0851063829787,37,0.005291163921356201,-2.4746158599853514,0.3,0.0,360,9518.799206542968,0.0003,-0.0015421664109453558,675.6170654296875,0.0006927231
9728,200.0,10,951,389.6875,38,-0.004299640655517578,-2.4838601112365724,0.3,0.0,370,29376.0865234375,0.0003,-0.0008809496881440282,11102.25,0.00014028116
9984,200.0,10,951,389.7551020408163,39,0.03300917148590088,-2.4889728665351867,0.3,0.0,380,11665.600927734375,0.0003,-0.0013553602620959282,3769.5908203125,0.00019124988
10240,200.0,10,951,379.98039215686276,40,0.06362885236740112,-2.468586230278015,0.3,0.0,390,8864.046008300782,0.0003,-0.002790961496066302,4048.29931640625,0.0008685796
10496,200.0,11,951,376.0,41,0.018375635147094727,-2.478183364868164,0.3,0.0,400,24491.6228515625,0.0003,-0.0019359027035534381,13999.9482421875,0.0005285244
10752,200.0,11,950,374.24528301886795,42,0.06880319118499756,-2.4758736848831178,0.3,0.0,410,12836.65703125,0.0003,-0.0013920050929300486,3680.890380859375,0.00026662066
11008,200.0,11,949,375.23636363636365,43,0.05340951681137085,-2.484700155258179,0.3,0.0,420,10407.348114013672,0.0003,-0.001308197621256113,4488.62939453125,0.00033441046
11264,200.0,11,949,370.67857142857144,44,0.02394777536392212,-2.469265377521515,0.3,0.0,430,12107.014891052246,0.0003,-0.0015848983079195023,1287.5345458984375,0.00050358963
11520,200.0,12,949,370.7719298245614,45,0.06424623727798462,-2.458629870414734,0.3,0.0,440,15077.37646484375,0.0003,-0.0013106517260894179,11544.130859375,0.00019248389
11776,200.0,12,949,364.86206896551727,46,0.040740787982940674,-2.4681393027305605,0.3,0.0,450,13653.746704101562,0.0003,-0.0010379484621807933,4015.19189453125,0.00017099036
12032,200.0,12,949,374.1333333333333,47,-0.03109574317932129,-2.4497326016426086,0.3,0.0,460,20515.85,0.0003,-0.004066343419253826,12741.9228515625,0.00096802344
12288,200.0,12,949,371.0327868852459,48,0.04760199785232544,-2.414521074295044,0.3,0.0,470,25277.01806640625,0.0003,-0.0028910878114402293,14774.7578125,0.0008230468
12544,200.0,13,950,368.53225806451616,49,0.07969379425048828,-2.4118321537971497,0.3,0.0,480,11793.217468261719,0.0003,-0.0018999535124748946,5607.55908203125,0.00045207143
12800,200.0,13,950,365.71875,50,0.08263462781906128,-2.403112757205963,0.3,0.0,490,11683.333227539062,0.0003,-0.0018175601959228515,9263.5439453125,0.00050446694
13056,200.0,13,949,362.5846153846154,51,0.08008366823196411,-2.401404118537903,0.3,0.0,500,11478.352368164062,0.0003,-0.001483114529401064,10886.6064453125,0.0003098033
13312,200.0,14,949,362.8030303030303,52,0.05286318063735962,-2.397249722480774,0.3,0.0,510,25755.3947265625,0.0003,-0.0010066249873489142,14420.8486328125,0.0002509097
13568,200.0,14,949,366.13432835820896,53,0.0442470908164978,-2.4000099778175352,0.3,0.0,520,9291.08412475586,0.0003,-0.0011675955494865776,619.7010498046875,0.0002114994
13824,200.0,14,950,365.92753623188406,54,0.05242204666137695,-2.3856411933898927,0.3,0.0,530,13555.41268310547,0.0003,-0.003491890523582697,4211.30126953125,0.00065999595
14080,200.0,14,950,364.0571428571429,55,0.04148906469345093,-2.3948973298072813,0.3,0.0,540,24965.22216796875,0.0003,-0.0019181380048394203,13576.3662109375,0.0005046632
14336,200.0,15,950,359.6056338028169,56,0.06154435873031616,-2.3844862937927247,0.3,0.0,550,12592.745837402344,0.0003,-0.0011289966758340597,5830.20654296875,0.00036601466
14592,200.0,15,950,373.9583333333333,57,0.07895362377166748,-2.367995893955231,0.3,0.0,560,17180.20705566406,0.0003,-0.0018562551238574087,7677.5146484375,0.00022989698
14848,200.0,15,950,378.6756756756757,58,0.03739529848098755,-2.37798125743866,0.3,0.0,570,14942.39794921875,0.0003,-0.00851917143445462,3852.926513671875,0.0015252179
15104,200.0,15,950,378.2266666666667,59,0.05434525012969971,-2.350966775417328,0.3,0.0,580,34502.10966796875,0.0003,8.59792809933424e-05,16866.46875,0.0002932574
15360,200.0,16,950,383.25,60,0.05849051475524902,-2.360307812690735,0.3,0.0,590,14040.239111328125,0.0003,-0.0007492676842957735,8221.552734375,0.00016088504
15616,200.0,16,951,389.7692307692308,61,0.02907276153564453,-2.385954427719116,0.3,0.0,600,12981.010815429687,0.0003,-0.005750323599204421,7422.9228515625,0.0020251735
15872,200.0,16,950,385.0886075949367,62,0.0559421181678772,-2.401065742969513,0.3,0.0,610,23436.236669921876,0.0003,-0.0030304447282105684,14960.9365234375,0.001387666
16128,200.0,16,950,381.4,63,0.1128876805305481,-2.424055075645447,0.3,0.0,620,12463.011840820312,0.0003,-0.0058983545517548915,6846.91943359375,0.001430881
16384,200.0,17,950,376.2716049382716,64,0.058282554149627686,-2.436674106121063,0.3,0.0,630,12229.1390625,0.0003,1.5544472262263298e-05,10434.796875,0.0006978847
16640,200.0,17,950,383.12048192771084,65,0.0771489143371582,-2.44774409532547,0.3,0.0,640,11618.429260253906,0.0003,-0.003042458510026336,2053.13330078125,0.00070085214
16896,200.0,17,949,380.0595238095238,66,0.017486572265625,-2.4323168635368346,0.3,0.0,650,29491.24677734375,0.0003,0.00037420412991195917,11297.3017578125,0.00018422399
17152,200.0,18,949,376.8941176470588,67,-0.005043625831604004,-2.4215291023254393,0.3,0.0,660,14012.912622070313,0.0003,-0.0011846282752230764,2340.565673828125,7.08811e-05
17408,200.0,18,949,374.735632183908,68,0.02834641933441162,-2.427363467216492,0.3,0.0,670,13207.950341796875,0.0003,-0.0007041178760118783,4393.59521484375,8.607516e-05
17664,200.0,18,949,376.3636363636364,69,0.0803520679473877,-2.385931980609894,0.3,0.0,680,11814.473664855957,0.0003,-0.002117750165052712,4759.39404296875,0.00044650142
17920,200.0,18,949,376.0561797752809,70,0.04258912801742554,-2.3620309352874758,0.3,0.0,690,15687.513330078125,0.0003,-0.0014842633623629808,9772.6796875,0.00035492447
18176,200.0,19,949,382.74444444444447,71,0.07651907205581665,-2.368497335910797,0.3,0.0,700,13341.7189453125,0.0003,-0.0020083326380699873,4385.359375,0.000636664
18432,200.0,19,949,382.80434782608694,72,0.08440762758255005,-2.322687876224518,0.3,0.0,710,11699.916088867187,0.0003,-0.0025863691116683185,7422.2421875,0.00087976316
18688,200.0,19,949,381.97849462365593,73,0.06928074359893799,-2.324282717704773,0.3,0.0,720,23860.722509765626,0.0003,-0.0008656931342557073,10938.806640625,0.00032744464
