time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction
0,967,200.0,1,651.0,256,,,,,,,,,,
0,969,200.0,2,411.0,512,-5.221366882324219e-05,35465.69970703125,21169.5859375,-0.004607225628569722,0.3,0.0003,0.0005345219,10,-2.564777636528015,0.0
0,960,200.0,3,91.0,768,0.0005592107772827148,1593.737841796875,720.9081420898438,-0.003307104599662125,0.3,0.0003,0.00046595093,20,-2.56387974023819,0.0
1,953,200.0,4,131.6,1024,0.00047153234481811523,19702.0234375,7673.298828125,-0.00443451963365078,0.3,0.0003,0.00079505704,30,-2.5627603411674498,0.0
1,949,200.0,5,250.66666666666666,1280,0.001554250717163086,18881.93974609375,7219.072265625,-0.0022021660581231116,0.3,0.0003,0.00036745542,40,-2.561791443824768,0.0
1,938,200.0,6,229.14285714285714,1536,0.007189273834228516,44109.2640625,22443.77734375,-0.0025180013850331306,0.3,0.0003,0.00027885963,50,-2.559509074687958,0.0
1,936,200.0,7,207.5,1792,0.0055016279220581055,19906.70234375,9733.4482421875,-0.003784150118008256,0.3,0.0003,0.0003730033,60,-2.5589698553085327,0.0
2,929,200.0,8,188.6,2048,0.01328134536743164,20021.69208984375,7895.783203125,-0.0019373186631128192,0.3,0.0003,0.00037615397,70,-2.5567420363426208,0.0
2,930,200.0,9,206.27272727272728,2304,0.00301969051361084,37360.08984375,15781.41796875,-0.0009886009618639946,0.3,0.0003,0.0001809746,80,-2.5540973424911497,0.0
2,931,200.0,10,235.66666666666666,2560,0.0008917450904846191,18502.38662109375,7309.0322265625,-0.002844859752804041,0.3,0.0003,0.00031654816,90,-2.551435577869415,0.0
3,932,200.0,11,242.07142857142858,2816,0.003362119197845459,18363.71286621094,9613.611328125,-0.0016724477638490498,0.3,0.0003,0.0001732076,100,-2.5544124364852907,0.0
3,934,200.0,12,236.73333333333332,3072,0.007717490196228027,12385.960205078125,6587.8837890625,-0.001466742716729641,0.3,0.0003,0.0001678979,110,-2.5523170471191405,0.0
3,933,200.0,13,239.875,3328,0.011970818042755127,29850.447119140626,12424.822265625,-0.0016949440585449338,0.3,0.0003,0.00018545706,120,-2.5487189412117006,0.0
3,935,200.0,14,236.58823529411765,3584,0.010400474071502686,19120.890478515626,9209.150390625,-0.0028210724936798214,0.3,0.0003,0.0006341641,130,-2.5455999970436096,0.0
4,937,200.0,15,315.2105263157895,3840,0.009837746620178223,17520.588232421876,9078.935546875,-0.004250168171711266,0.3,0.0003,0.0007296379,140,-2.5444171905517576,0.0
4,939,200.0,16,309.35,4096,0.0019069314002990723,34508.17890625,14642.3955078125,-0.0012187478598207236,0.3,0.0003,0.000296972,150,-2.5456545114517213,0.0
4,939,200.0,17,317.57142857142856,4352,0.037433922290802,19341.99794921875,11280.4599609375,-0.00037483635824173687,0.3,0.0003,3.0835625e-05,160,-2.544123876094818,0.0
4,941,200.0,18,305.5652173913044,4608,0.009925782680511475,19787.834814453126,14219.4990234375,-0.003513650712557137,0.3,0.0003,0.0011034904,170,-2.5444170236587524,0.0
5,942,200.0,19,322.75,4864,0.03878140449523926,16061.751782226562,10009.841796875,-0.002807495975866914,0.3,0.0003,0.00078172935,180,-2.531460630893707,0.0
5,943,200.0,20,322.2,5120,0.023302853107452393,41970.0369140625,22773.99609375,-0.0010508895153179764,0.3,0.0003,0.00017605326,190,-2.5268187880516053,0.0
5,944,200.0,21,313.65384615384613,5376,0.026224732398986816,13334.72046508789,8301.08984375,-0.0016345659270882607,0.3,0.0003,0.000266267,200,-2.5225113153457643,0.0
5,944,200.0,22,309.7857142857143,5632,0.035692811012268066,18783.179638671874,11185.4873046875,-0.0018467758083716035,0.3,0.0003,0.00020974176,210,-2.5206672668457033,0.0
6,944,200.0,23,301.82758620689657,5888,0.008023679256439209,26881.134228515624,12382.5498046875,-0.0004202391253784299,0.3,0.0003,0.00010484294,220,-2.51679003238678,0.0
6,943,200.0,24,302.4,6144,0.02777564525604248,16758.78251953125,5626.9326171875,-0.0015604644315317274,0.3,0.0003,0.00021902681,230,-2.511168909072876,0.0
