time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl,train/n_updates,train/value_loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/explained_variance
553,-380.0,0,1,256,200.0,,,,,,,,,,
570,85.0,0,2,512,200.0,0.0003,-0.004102115938439965,6746.86279296875,0.0006918784,10,8998.281188964844,0.0,-2.5647340297698973,0.3,-0.000836491584777832
610,-66.66666666666667,1,3,768,200.0,0.0003,-0.00323217308614403,29.577573776245117,0.0006731802,20,83.90820484161377,0.0,-2.563717949390411,0.3,-0.016190171241760254
603,-98.0,1,4,1024,200.0,0.0003,-0.006858532200567424,288.6790466308594,0.0012243281,30,732.9598304748536,0.0,-2.5628772377967834,0.3,0.01258152723312378
631,-163.33333333333334,2,5,1280,200.0,0.0003,-0.0025334681151434777,12.025003433227539,0.0009162738,40,62.74709606170654,0.0,-2.561306822299957,0.3,0.054119229316711426
648,-140.0,2,6,1536,200.0,0.0003,-0.004064925783313811,343.4803771972656,0.000609203,50,796.3882369995117,0.0,-2.560665416717529,0.3,0.021599113941192627
664,-168.75,2,7,1792,200.0,0.0003,-0.0047731436439789835,13.077432632446289,0.0010074307,60,45.72477264404297,0.0,-2.5572385787963867,0.3,-0.027881383895874023
678,183.0,3,8,2048,200.0,0.0003,0.0017815250437706708,1066.8426513671875,0.00031077256,70,2451.7505615234377,0.0,-2.557545340061188,0.3,0.04860854148864746
681,193.63636363636363,3,9,2304,200.0,0.0003,-0.0002132141264155507,2168.00048828125,5.535083e-06,80,3749.604345703125,0.0,-2.5574625611305235,0.3,0.05819284915924072
682,202.5,3,10,2560,200.0,0.0003,-0.003539712354540825,240.11318969726562,0.0005460342,90,374.05956115722654,0.0,-2.5569376826286314,0.3,0.04581308364868164
681,133.57142857142858,4,11,2816,200.0,0.0003,-0.0029105209046974777,435.401123046875,0.000448833,100,1342.2900512695312,0.0,-2.556700813770294,0.3,0.06265485286712646
676,100.0,4,12,3072,200.0,0.0003,-0.001709324453258887,4.002347946166992,0.0004646494,110,27.839790415763854,0.0,-2.551908004283905,0.3,0.02024972438812256
680,157.5,4,13,3328,200.0,0.0003,-0.000858002039603889,262.2581481933594,0.00080006453,120,948.0231384277344,0.0,-2.5469069361686705,0.3,0.19637298583984375
679,198.23529411764707,5,14,3584,200.0,0.0003,-0.0003597658942453563,7146.8505859375,0.000103777274,130,10463.879248046875,0.0,-2.5485261201858522,0.3,0.015327036380767822
682,201.05263157894737,5,15,3840,200.0,0.0003,-0.000649925961624831,19.39776611328125,4.6764035e-05,140,94.87705898284912,0.0,-2.5444738626480103,0.3,-0.6447725296020508
687,172.5,5,16,4096,200.0,0.0003,-0.002428570413030684,2399.173828125,0.0003247084,150,10041.261727905274,0.0,-2.5450403690338135,0.3,0.012416422367095947
691,178.57142857142858,6,17,4352,200.0,0.0003,-0.0032776618143543603,101.82666778564453,0.0007202714,160,351.1622531890869,0.0,-2.5503910899162294,0.3,0.13269412517547607
686,129.56521739130434,6,18,4608,200.0,0.0003,-0.0031059781555086373,211.86952209472656,0.00060328515,170,701.9755279541016,0.0,-2.554774749279022,0.3,0.04011279344558716
692,182.08333333333334,7,19,4864,200.0,0.0003,-0.003615556354634464,107.81826782226562,0.00061841635,180,227.6912528991699,0.0,-2.557209622859955,0.3,-0.8497940301895142
696,179.2,7,20,5120,200.0,0.0003,-0.0005269123706966638,1798.8974609375,8.727936e-05,190,3216.7776489257812,0.0,-2.557025837898254,0.3,0.08868938684463501
701,183.46153846153845,7,21,5376,200.0,0.0003,-0.007672058697789907,166.6858367919922,0.0019398767,200,360.1883140563965,0.0,-2.553670120239258,0.3,0.17797869443893433
695,217.5,8,22,5632,200.0,0.0003,-0.0017924560466781258,1315.791748046875,0.001204584,210,2750.522430419922,0.0,-2.549973702430725,0.3,0.047043681144714355
698,203.44827586206895,8,23,5888,200.0,0.0003,-0.006935376720502972,801.2554931640625,0.0034012105,220,1088.1920471191406,0.0,-2.5429999351501467,0.3,-0.0046083927154541016
696,198.66666666666666,8,24,6144,200.0,0.0003,-0.007381885405629873,328.2885437011719,0.0030122725,230,680.8440872192383,0.0,-2.5295822501182554,0.3,0.10350769758224487
699,167.5,9,25,6400,200.0,0.0003,-0.006529506156221032,2.4796299934387207,0.007867129,240,7.708030557632446,0.0,-2.51250274181366,0.3,0.2800474166870117
697,180.6060606060606,9,26,6656,200.0,0.0003,-0.013836091756820679,162.2549285888672,0.014127087,250,434.9029136657715,0.007421875,-2.463223361968994,0.3,-0.02612626552581787
698,205.58823529411765,9,27,6912,200.0,0.0003,-0.003175937011837959,6606.576171875,0.0018958771,260,8955.108438110352,0.0,-2.4397519707679747,0.3,0.0112532377243042
699,216.85714285714286,10,28,7168,200.0,0.0003,-0.003133051795884967,12159.791015625,0.0005115364,270,19458.16843261719,0.0,-2.433850383758545,0.3,0.0011598467826843262
701,290.81081081081084,10,29,7424,200.0,0.0003,-0.0016922681825235486,3954.75439453125,0.0002786168,280,11417.428002929688,0.0,-2.433544421195984,0.3,0.022929072380065918
702,273.42105263157896,10,30,7680,200.0,0.0003,-0.002333471190650016,551.8246459960938,0.0034172628,290,9033.729995727539,0.0,-2.432398021221161,0.3,0.0032849907875061035
703,261.02564102564105,11,31,7936,200.0,0.0003,-0.0034338460536673665,268.8890075683594,0.0023378562,300,330.48335418701174,0.0,-2.4214078068733214,0.3,0.15880322456359863
703,249.75,11,32,8192,200.0,0.0003,-0.0043509546900168065,263.767578125,0.0038777215,310,422.50713806152345,0.0,-2.4293519020080567,0.3,0.07310444116592407
702,241.9047619047619,12,33,8448,200.0,0.0003,-0.0013765261974185705,826.282958984375,0.001049333,320,1273.5699554443358,0.0,-2.411348879337311,0.3,0.1488041877746582
703,227.67441860465115,12,34,8704,200.0,0.0003,-0.001754216616973281,45.569541931152344,0.0004512288,330,169.4791301727295,0.0,-2.3924877643585205,0.3,-1.160161018371582
705,213.63636363636363,12,35,8960,200.0,0.0003,-0.004496539058163762,0.4345089793205261,0.005172612,340,16.07377212047577,0.002734375,-2.4107953190803526,0.3,-12.68787956237793
708,223.47826086956522,13,36,9216,200.0,0.0003,-0.003022605204023421,371.5843505859375,0.016042944,350,934.6760147094726,0.054296875,-2.3800997376441955,0.3,0.2155158519744873
709,220.4255319148936,13,37,9472,200.0,0.0003,-0.008801720512565225,851.6417236328125,0.0050485716,360,1325.1671661376954,0.0,-2.3021028637886047,0.3,0.07156586647033691
709,217.91666666666666,13,38,9728,200.0,0.0003,-0.003768148343078792,428.87188720703125,0.0025253203,370,1325.4645935058593,0.0,-2.2675705432891844,0.3,0.05330193042755127
713,205.30612244897958,13,39,9984,200.0,0.0003,-0.0015882372856140137,70.99703216552734,0.0016240671,380,167.0585060119629,0.0,-2.244336426258087,0.3,-2.1839935779571533
714,221.76470588235293,14,40,10240,200.0,0.0003,-0.01820160197094083,267.520263671875,0.016339093,390,498.1469566345215,0.03515625,-2.2440589547157286,0.3,0.0699952244758606
715,238.46153846153845,14,41,10496,200.0,0.0003,-0.005824749311432243,1179.339111328125,0.0039959997,400,2776.3050170898437,0.0,-2.256291365623474,0.3,0.15423816442489624
714,231.50943396226415,15,42,10752,200.0,0.0003,0.00012173803988844157,8124.12060546875,0.00016571488,410,9878.579644775391,0.0,-2.2566500186920164,0.3,0.02132493257522583
717,257.45454545454544,15,43,11008,200.0,0.0003,-0.0011130494996905327,30.536787033081055,0.00014877715,420,132.4894199371338,0.0,-2.2467813014984133,0.3,-0.43938732147216797
718,246.60714285714286,15,44,11264,200.0,0.0003,-0.0011614112416282296,11079.984375,0.00015894603,430,12286.242749023437,0.0,-2.2531888246536256,0.3,0.03289008140563965
718,235.43859649122808,16,45,11520,200.0,0.0003,-0.002657497161999345,40.215782165527344,0.0005480631,440,156.82582817077636,0.0,-2.2750726103782655,0.3,-6.888498306274414
721,225.0,16,46,11776,200.0,0.0003,-0.01790785518242046,0.914745032787323,0.03794346,450,4.524982005357742,0.105078125,-2.2852506279945373,0.3,0.22630751132965088
723,231.5,16,47,12032,200.0,0.0003,-0.0016604362754151225,271.0829162597656,0.008604801,460,906.3517303466797,0.00078125,-2.222266983985901,0.3,0.20297199487686157
727,267.5409836065574,16,48,12288,200.0,0.0003,-0.003063729382120073,751.9616088867188,0.00059875264,470,1604.6562774658203,0.0,-2.2287415981292726,0.3,0.14338141679763794
729,285.80645161290323,17,49,12544,200.0,0.0003,-0.000391776324249804,4756.99658203125,0.00011053728,480,12672.236328125,0.0,-2.2292627573013304,0.3,0.015455126762390137
730,288.28125,17,50,12800,200.0,0.0003,-0.0014276748523116111,2451.67431640625,0.00012423703,490,9611.193310546874,0.0,-2.245054268836975,0.3,0.029572784900665283
733,303.53846153846155,17,51,13056,200.0,0.0003,-0.0003022409975528717,275.39080810546875,3.044377e-05,500,337.5766958236694,0.0,-2.274654221534729,0.3,0.09474402666091919
735,315.3030303030303,18,52,13312,200.0,0.0003,-0.0009168461197987199,5805.1689453125,0.00032907305,510,10732.753271484375,0.0,-2.2432504653930665,0.3,0.03484529256820679
737,330.14925373134326,18,53,13568,200.0,0.0003,-0.0024058914510533213,484.4149169921875,0.00036645168,520,1089.50408782959,0.0,-2.2512279391288756,0.3,0.008359432220458984
739,347.9710144927536,18,54,13824,200.0,0.0003,-0.002673242357559502,574.30810546875,0.00061204797,530,1489.9567596435547,0.0,-2.2284210681915284,0.3,0.1613791584968567
741,344.42857142857144,18,55,14080,200.0,0.0003,-0.0016307878075167536,2618.9541015625,0.00046406034,540,11252.359545898438,0.0,-2.2436124444007874,0.3,0.033214271068573
743,343.80281690140845,19,56,14336,200.0,0.0003,-0.004618928977288305,462.0783996582031,0.0012189343,550,1200.5426208496094,0.0,-2.265235710144043,0.3,0.18439823389053345
744,333.6111111111111,19,57,14592,200.0,0.0003,-0.00158645526971668,41.3061637878418,0.0014728969,560,358.1167018890381,0.0,-2.258515274524689,0.3,0.10199892520904541
746,321.0810810810811,19,58,14848,200.0,0.0003,-0.006218809541314841,149.59259033203125,0.005964972,570,294.71255111694336,0.0,-2.234792613983154,0.3,0.2505166530609131
748,324.4,20,59,15104,200.0,0.0003,-0.0030016053700819612,259.1435241699219,0.0022209373,580,995.6261169433594,0.0,-2.1553629636764526,0.3,0.032625794410705566
749,335.7894736842105,20,60,15360,200.0,0.0003,-0.0010592899983748794,722.3731079101562,0.00042749452,590,1566.92802734375,0.0,-2.1763588190078735,0.3,0.1215674877166748
749,338.0769230769231,20,61,15616,200.0,0.0003,-0.004003707389347255,1269.278076171875,0.0013538334,600,2127.6945861816407,0.0,-2.1718757510185243,0.3,0.036709606647491455
750,348.4810126582278,21,62,15872,200.0,0.0003,-0.003785238089039922,656.9713745117188,0.0020972132,610,1275.0101501464844,0.0,-2.142581009864807,0.3,0.12420004606246948
753,344.25,21,63,16128,200.0,0.0003,-0.004271092871204018,1072.4390869140625,0.0012579157,620,2296.1428039550783,0.0,-2.1334341287612917,0.3,0.12954586744308472
754,346.91358024691357,21,64,16384,200.0,0.0003,-0.002578256814740598,7992.19091796875,0.00042493385,630,9434.96005859375,0.0,-2.1255926132202148,0.3,-0.003475666046142578
754,345.66265060240966,22,65,16640,200.0,0.0003,-0.0006133044604212046,130.7411346435547,9.2546456e-05,640,419.46965408325195,0.0,-2.1033691644668577,0.3,0.06771248579025269
757,351.07142857142856,22,66,16896,200.0,0.0003,-0.0030366732738912106,784.781005859375,0.00057224813,650,1707.2143615722657,0.0,-2.0881600975990295,0.3,0.17332446575164795
756,347.6470588235294,22,67,17152,200.0,0.0003,-0.002900329930707812,751.149169921875,0.0011726224,660,1587.504638671875,0.0,-2.1064198136329653,0.3,0.16249853372573853
