time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
864,-666.0,2048,1,200.0,2,,,,,,,,,,
694,-558.5,4096,2,200.0,5,0.0003,1590.02685546875,0.0018053650856018066,-2.4817290298640726,-0.008023962909646798,4101.743224334717,0.011328125,10,0.2,0.0077817407
652,-546.3333333333334,6144,3,200.0,9,0.0003,1553.0919189453125,0.1424732804298401,-2.464436163753271,-0.008405810853582807,3446.1592308044433,0.03720703125,20,0.2,0.010334376
637,-553.5,8192,4,200.0,12,0.0003,2089.64501953125,0.16492938995361328,-2.4304000310599805,-0.014517480540962423,3577.2507751464846,0.104443359375,30,0.2,0.013176102
627,-541.1764705882352,10240,5,200.0,16,0.0003,1401.8193359375,0.35909056663513184,-2.4089482173323633,-0.007433678176312242,2673.906904220581,0.046630859375,40,0.2,0.011552475
797,-401.0,2048,1,200.0,2,0.0003,949.349853515625,0.27596861124038696,-2.3997579634189607,-0.009913944224535953,2477.2241550445556,0.06015625,50,0.2,0.01163714
625,-378.5,4096,2,200.0,6,0.0003,1016.732421875,0.0011267662048339844,-2.4830009005963802,-0.006974218544200994,2877.3410945892333,0.001513671875,10,0.2,0.005392155
598,-376.6666666666667,6144,3,200.0,10,0.0003,1223.1827392578125,0.1406404972076416,-2.475882226973772,-0.005785970326542156,2841.556135559082,0.0005859375,20,0.2,0.0049180803
579,-393.0,8192,4,200.0,14,0.0003,1180.782958984375,0.21243691444396973,-2.466913791000843,-0.007136663989513181,2748.3052570343016,0.010791015625,30,0.2,0.0053544715
572,-368.8235294117647,10240,5,200.0,17,0.0003,1387.4254150390625,0.16321444511413574,-2.4427921094000338,-0.013025164539430988,2134.302619552612,0.088525390625,40,0.2,0.010411268
796,-222.0,2048,1,200.0,2,0.0003,656.0830688476562,0.38332486152648926,-2.409992849826813,-0.008237209540675394,1631.8645462036134,0.0572265625,50,0.2,0.011267031
625,-174.0,4096,2,200.0,6,0.0003,712.4816284179688,0.2653692960739136,-2.391515322774649,-0.005440645253111142,1607.1420461654664,0.01474609375,60,0.2,0.006478929
592,-235.0,6144,3,200.0,10,0.0003,1344.61669921875,0.3290783166885376,-2.3475431695580484,-0.010085089903441258,1969.9743938446045,0.053369140625,70,0.2,0.010623995
569,-213.75,8192,4,200.0,14,0.0003,669.9976806640625,0.381794273853302,-2.328342193365097,-0.007042131916387006,1491.5649551391602,0.048486328125,80,0.2,0.009786768
556,-243.52941176470588,10240,5,200.0,18,0.0003,818.12939453125,0.33331215381622314,-2.366767118126154,-0.00995899773115525,2006.283251953125,0.055126953125,90,0.2,0.010864211
824,-282.0,2048,1,200.0,2,0.0003,628.8204956054688,0.3048456907272339,-2.364166585355997,-0.006764207604283002,2258.8049598693847,0.03232421875,100,0.2,0.011991259
641,-233.5,4096,2,200.0,6,0.0003,722.9623413085938,0.24709689617156982,-2.3956466518342494,-0.0068809512733423615,1832.4152717590332,0.018798828125,60,0.2,0.0065080635
607,-237.0,6144,3,200.0,10,0.0003,1128.239501953125,0.14835691452026367,-2.3752610109746457,-0.00659834771649912,2092.668979072571,0.0248046875,70,0.2,0.010573111
581,-244.5,8192,4,200.0,14,0.0003,527.3165893554688,0.2364051342010498,-2.3841899201273917,-0.009946825807855931,1500.2844911575316,0.063916015625,80,0.2,0.01049515
570,-248.0392156862745,10240,5,200.0,17,0.0003,1073.9505615234375,0.3153851628303528,-2.3512080408632756,-0.006097820289141964,1722.9731721878052,0.0365234375,90,0.2,0.008138278
835,-291.0,2048,1,200.0,2,0.0003,536.84033203125,0.37409132719039917,-2.3611351057887076,-0.009485048765054672,1271.770463371277,0.04130859375,100,0.2,0.009401171
666,-202.5,4096,2,200.0,6,0.0003,634.4391479492188,0.5079272985458374,-2.3513857744634152,-0.008804341328504961,1473.66745262146,0.058203125,110,0.2,0.00985579
624,-223.33333333333334,6144,3,200.0,9,0.0003,858.3060913085938,0.3158985376358032,-2.3053688243031503,-0.009481770513230004,2014.50495262146,0.072412109375,120,0.2,0.012857851
604,-214.25,8192,4,200.0,13,0.0003,639.4331665039062,0.37659764289855957,-2.297382240742445,-0.011443686348502524,1634.423796081543,0.095263671875,130,0.2,0.012766438
592,-220.3921568627451,10240,5,200.0,17,0.0003,544.4441528320312,0.4218534231185913,-2.2653772436082362,-0.008908932059421204,1508.197805786133,0.08720703125,140,0.2,0.011241609
853,-70.0,2048,1,200.0,2,0.0003,356.60888671875,0.4656669497489929,-2.2729417540133,-0.004269296258280519,1266.9808131217956,0.015185546875,150,0.2,0.0065428973
668,-116.5,4096,2,200.0,6,0.0003,737.2764282226562,0.3838655948638916,-2.3426328405737875,-0.011213405615126248,1440.3037216186524,0.06689453125,110,0.2,0.011306377
628,-151.33333333333334,6144,3,200.0,9,0.0003,972.4061889648438,0.416984498500824,-2.305602053552866,-0.008015746712044348,2030.3255006790162,0.04404296875,120,0.2,0.010714262
608,-152.0,8192,4,200.0,13,0.0003,501.9095764160156,0.13575053215026855,-2.319171143323183,-0.004948758608952631,1445.8535469055175,0.015576171875,130,0.2,0.0056417286
597,-160.58823529411765,10240,5,200.0,17,0.0003,816.48828125,0.1616540551185608,-2.3072421878576277,-0.008600261804531328,1896.6107583999633,0.050439453125,140,0.2,0.0075008436
861,-117.0,2048,1,200.0,2,0.0003,526.4819946289062,0.35468220710754395,-2.2923533260822295,-0.011966658612072934,1130.5240966796875,0.10830078125,150,0.2,0.011848324
