time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/learning_rate
1,200.0,256,-740.0,658,0,,,,,,,,,,
2,200.0,512,-815.0,581,0,0.0,597.5370483398438,0.0016423145,10,-0.0015342235565185547,0.3,-0.009983386285603047,1464.8536437988282,-2.5644152998924254,0.0003
3,200.0,768,-806.6666666666666,606,1,0.0,1330.8662109375,0.00097179227,20,0.002043604850769043,0.3,-0.005131421703845262,2657.3864501953126,-2.5614107966423036,0.0003
4,200.0,1024,-704.0,621,1,0.0,727.697509765625,0.00063547376,30,0.005576431751251221,0.3,-0.0032208414748311045,1593.865496826172,-2.560011863708496,0.0003
5,200.0,1280,-678.3333333333334,622,2,0.0,591.2611083984375,0.0003927329,40,0.001599431037902832,0.3,-0.0027281556278467177,1104.2560089111328,-2.5585572123527527,0.0003
6,200.0,1536,-695.7142857142857,622,2,0.0,1282.3416748046875,0.00057598064,50,0.000781714916229248,0.3,-0.0037393774371594192,2151.5412780761717,-2.555794620513916,0.0003
7,200.0,1792,-683.75,620,2,0.0,568.4560546875,0.0009706062,60,0.0017288923263549805,0.3,-0.005694111529737711,1104.1722290039063,-2.554237258434296,0.0003
8,200.0,2048,-652.0,614,3,0.0,867.4349975585938,0.0011332207,70,0.0010520219802856445,0.3,-0.004749663383699953,1592.2069702148438,-2.547902262210846,0.0003
9,200.0,2304,-620.9090909090909,609,3,0.0,833.0596313476562,0.0010469013,80,0.001954197883605957,0.3,-0.004003287013620138,1669.6963012695312,-2.547819447517395,0.0003
10,200.0,2560,-581.6666666666666,599,4,0.0,817.5493774414062,0.0061228303,90,0.0012437105178833008,0.3,-0.015372988535091281,1399.2747314453125,-2.5493250727653503,0.0003
11,200.0,2816,-556.4285714285714,595,4,0.0,927.5548706054688,0.0022120813,100,0.006218016147613525,0.3,-0.0064657271374017,1790.2511352539063,-2.548016810417175,0.0003
12,200.0,3072,-559.3333333333334,594,5,0.0,484.40966796875,0.0004312636,110,0.011057853698730469,0.3,-0.002815364638809115,1229.1620300292968,-2.547282409667969,0.0003
13,200.0,3328,-557.5,598,5,0.0,825.2705688476562,0.00048500928,120,0.09085261821746826,0.3,-0.003366867429576814,1858.052020263672,-2.5391554951667787,0.0003
14,200.0,3584,-571.7647058823529,599,5,0.0,810.253173828125,0.000403221,130,0.23597639799118042,0.3,-0.003327594930306077,1627.6032592773438,-2.541100788116455,0.0003
15,200.0,3840,-558.421052631579,602,6,0.0,398.8387451171875,0.00040663243,140,0.003822505474090576,0.3,-0.0018893731525167824,716.9050537109375,-2.5339046716690063,0.0003
16,200.0,4096,-563.0,603,6,0.0,440.2877197265625,0.00044607068,150,0.027480900287628174,0.3,-0.0028373312903568148,934.3139892578125,-2.5331433534622194,0.0003
17,200.0,4352,-567.6190476190476,606,7,0.0,624.7245483398438,0.00026314054,160,-0.07014119625091553,0.3,-0.0023289516568183897,1483.5848022460937,-2.5316325426101685,0.0003
18,200.0,4608,-567.8260869565217,607,7,0.0,584.1174926757812,0.00084878434,170,0.04514855146408081,0.3,-0.0036299905739724638,1389.2433288574218,-2.5233364939689635,0.0003
19,200.0,4864,-561.25,607,8,0.0,471.6849670410156,0.0023701326,180,0.009948670864105225,0.3,-0.007628294359892607,1145.821514892578,-2.5171864509582518,0.0003
20,200.0,5120,-538.8,609,8,0.0,975.2464599609375,0.0019566806,190,0.0343281626701355,0.3,-0.006910400954075158,1818.3714416503906,-2.5260117053985596,0.0003
21,200.0,5376,-531.5384615384615,609,8,0.0,576.2855834960938,0.0015608051,200,-0.0030361413955688477,0.3,-0.0047581539489328865,1172.5519134521485,-2.5187085390090944,0.0003
22,200.0,5632,-501.7857142857143,608,9,0.0,834.8154296875,0.0013116999,210,0.16373002529144287,0.3,-0.0053768947022035714,2046.985595703125,-2.5309546113014223,0.0003
23,200.0,5888,-494.48275862068965,611,9,0.0,599.914794921875,0.00028686598,220,0.18463540077209473,0.3,-0.00032382900826632977,1585.8033935546875,-2.5169793486595156,0.0003
24,200.0,6144,-483.0,614,9,0.0,737.892333984375,0.0010369506,230,0.20481550693511963,0.3,-0.005037467181682587,1710.9803649902344,-2.5243169903755187,0.0003
25,200.0,6400,-481.5625,617,10,0.0,630.51123046875,0.0017669185,240,0.22623908519744873,0.3,-0.00592121307272464,1423.1890014648438,-2.521677482128143,0.0003
26,200.0,6656,-484.54545454545456,617,10,0.0,396.490234375,0.00038693706,250,0.17192649841308594,0.3,9.176975581794977e-05,1036.1824096679688,-2.5134763956069945,0.0003
27,200.0,6912,-494.11764705882354,618,11,0.0,921.4907836914062,0.00056929747,260,-0.06400883197784424,0.3,-0.00247610651422292,1858.4431274414062,-2.5098222136497497,0.0003
28,200.0,7168,-494.0,620,11,0.0,395.289794921875,0.00084289396,270,1.0132789611816406e-06,0.3,-0.0027669542585499586,975.938021850586,-2.5006637930870057,0.0003
29,200.0,7424,-487.8378378378378,622,11,0.027734375,730.7789306640625,0.012952464,280,9.399652481079102e-05,0.3,-0.013107788702473044,1651.3062561035156,-2.4916159391403196,0.0003
30,200.0,7680,-490.2631578947368,624,12,0.0,591.4281616210938,0.0054895245,290,0.0010495781898498535,0.3,-0.007339954725466669,1530.6780578613282,-2.4621334195137026,0.0003
31,200.0,7936,-485.38461538461536,625,12,0.0,254.6851806640625,0.0027446682,300,0.06439036130905151,0.3,-0.002805774286389351,490.76281280517577,-2.450024139881134,0.0003
32,200.0,8192,-486.0,626,13,0.0,445.35723876953125,0.0029171924,310,-0.017678141593933105,0.3,-0.004955325066111982,807.8694763183594,-2.4440547108650206,0.0003
33,200.0,8448,-485.7142857142857,623,13,0.0,299.389404296875,0.00083928136,320,-7.390975952148438e-05,0.3,-0.00028419208247214555,553.3312301635742,-2.3956249833106993,0.0003
34,200.0,8704,-486.04651162790697,625,13,0.0,424.4937438964844,0.0060548265,330,3.355741500854492e-05,0.3,-0.011849839403294028,1190.4673217773438,-2.4197801113128663,0.0003
35,200.0,8960,-492.04545454545456,625,14,0.0,650.3652954101562,0.002140963,340,1.4901161193847656e-05,0.3,-0.0014778675977140665,1495.9411010742188,-2.441113770008087,0.0003
36,200.0,9216,-484.5652173913044,623,14,0.008984375,689.764892578125,0.009519558,350,1.055002212524414e-05,0.3,-0.0199753352208063,1304.402035522461,-2.4451629638671877,0.0003
37,200.0,9472,-484.8936170212766,622,15,0.005078125,779.0578002929688,0.010370605,360,-2.944469451904297e-05,0.3,-0.011055608955211937,1138.5221588134766,-2.4758424878120424,0.0003
38,200.0,9728,-481.0416666666667,620,15,0.00625,1207.8663330078125,0.011547003,370,1.9729137420654297e-05,0.3,-0.012576704006642103,2228.0614013671875,-2.4833162784576417,0.0003
39,200.0,9984,-484.48979591836735,621,16,0.0,341.0693359375,0.0036987355,380,-1.1920928955078125e-06,0.3,-0.0028878468787297607,896.1724334716797,-2.436199688911438,0.0003
40,200.0,10240,-479.01960784313724,621,16,0.0,1224.382568359375,0.009068736,390,9.649991989135742e-05,0.3,-0.013057372113689781,2360.053057861328,-2.4128724336624146,0.0003
1,200.0,256,-90.0,825,0,0.0265625,884.4666137695312,0.025402691,400,3.069639205932617e-05,0.3,-0.021458647167310118,2035.950537109375,-2.384444773197174,0.0003
2,200.0,512,-115.0,723,0,0.0,1149.9310302734375,0.00066264486,10,0.0027753114700317383,0.3,-0.0058915952919051055,1937.5983032226563,-2.5647228360176086,0.0003
3,200.0,768,-306.6666666666667,678,1,0.0,510.3283996582031,0.00065320777,20,0.030706822872161865,0.3,-0.004128273413516581,1206.0010650634765,-2.5635068655014037,0.0003
4,200.0,1024,-386.0,685,1,0.0,421.87481689453125,0.0002241875,30,0.010053932666778564,0.3,-0.0011719855014234782,888.6292724609375,-2.5623942017555237,0.0003
5,200.0,1280,-388.3333333333333,691,1,0.0,682.2693481445312,0.0002459744,40,0.0048580169677734375,0.3,-0.0024607627652585506,1296.586981201172,-2.561898672580719,0.0003
6,200.0,1536,-395.7142857142857,693,2,0.0,1070.6939697265625,0.0011200726,50,0.0035772323608398438,0.3,-0.005529209459200502,2038.8285034179687,-2.5598153352737425,0.0003
7,200.0,1792,-403.75,674,2,0.0,541.0692138671875,0.00083263963,60,0.005267977714538574,0.3,-0.0036294435616582633,1489.8935424804688,-2.5571526527404784,0.0003
8,200.0,2048,-393.0,669,3,0.0,654.6632080078125,0.0017579806,70,0.006710946559906006,0.3,-0.0073035994078964,1326.085760498047,-2.5516392946243287,0.0003
9,200.0,2304,-381.8181818181818,664,3,0.0,666.6445922851562,0.0011661444,80,0.003769218921661377,0.3,-0.0041901635006070135,1413.9031341552734,-2.5514485836029053,0.0003
10,200.0,2560,-399.1666666666667,653,3,0.0,557.3224487304688,0.002019881,90,0.008094489574432373,0.3,-0.00911269576754421,1379.8664916992188,-2.5497460842132567,0.0003
11,200.0,2816,-435.0,658,4,0.0,426.5516052246094,0.0008167112,100,0.015177547931671143,0.3,-0.002993701072409749,952.9192321777343,-2.548955976963043,0.0003
12,200.0,3072,-462.0,660,4,0.0,465.204833984375,0.00045167562,110,-0.0012003183364868164,0.3,-0.0028612533118575812,706.5738403320313,-2.549894094467163,0.0003
13,200.0,3328,-466.25,648,5,0.0,712.78857421875,0.00020490983,120,-5.507469177246094e-05,0.3,-0.0010180713841691613,1262.1164672851562,-2.551048982143402,0.0003
14,200.0,3584,-458.8235294117647,633,5,0.0,322.1188659667969,0.00065553025,130,0.003304898738861084,0.3,-0.0046229205094277855,620.1249908447265,-2.5511329889297487,0.0003
15,200.0,3840,-460.0,637,6,0.0,503.9750671386719,0.00074233254,140,0.001379549503326416,0.3,-0.004612900305073708,1055.2323211669923,-2.551897644996643,0.0003
16,200.0,4096,-450.0,634,6,0.0,775.977294921875,0.0011665246,150,0.0022930502891540527,0.3,-0.004688886203803122,1163.2575408935547,-2.547939455509186,0.0003
17,200.0,4352,-438.0952380952381,632,6,0.0,864.7808837890625,0.001512344,160,0.004449248313903809,0.3,-0.005709491344168783,2009.5571899414062,-2.5430516958236695,0.0003
18,200.0,4608,-440.8695652173913,634,7,0.0,651.2633056640625,0.0015900307,170,0.05904078483581543,0.3,-0.004955938830971718,1226.389486694336,-2.5441722869873047,0.0003
19,200.0,4864,-445.0,627,7,0.0,546.885009765625,0.0010735395,180,0.018189430236816406,0.3,-0.0037652975879609585,1194.356201171875,-2.5407013297080994,0.0003
20,200.0,5120,-428.4,625,8,0.0,226.88739013671875,0.0017553996,190,0.027786552906036377,0.3,-0.006941411388106644,441.4628875732422,-2.5350728750228884,0.0003
21,200.0,5376,-421.15384615384613,622,8,0.0,526.3270263671875,0.0013129443,200,0.2772047519683838,0.3,-0.003944557288195938,1265.7046997070313,-2.5289531111717225,0.0003
22,200.0,5632,-412.5,616,9,0.0,1119.8902587890625,0.0005507616,210,0.20815026760101318,0.3,-0.0025596046820282937,1912.0109313964845,-2.5276658296585084,0.0003
23,200.0,5888,-418.62068965517244,616,9,0.0,346.02001953125,0.003147375,220,0.3004379868507385,0.3,-0.008459600526839495,804.8946075439453,-2.5260184049606322,0.0003
24,200.0,6144,-403.3333333333333,604,10,0.0,279.6455383300781,0.004724158,230,0.03306812047958374,0.3,-0.007455157721415162,703.6422271728516,-2.4943639755249025,0.0003
25,200.0,6400,-404.0625,604,10,0.0,845.8911743164062,0.0015029807,240,0.17439579963684082,0.3,-0.005171538167633116,2231.346789550781,-2.4854821801185607,0.0003
26,200.0,6656,-402.1212121212121,605,10,0.0,340.89599609375,0.00043867808,250,0.06682085990905762,0.3,-0.0011554481694474815,808.0737243652344,-2.4765252470970154,0.0003
27,200.0,6912,-403.2352941176471,603,11,0.0,644.9248046875,0.00052551436,260,0.17661231756210327,0.3,-0.0022607213235460223,1027.1604034423829,-2.472988474369049,0.0003
28,200.0,7168,-394.85714285714283,605,11,0.0,366.3111572265625,0.0036453973,270,0.012259602546691895,0.3,-0.008996291365474463,642.1484802246093,-2.460696792602539,0.0003
29,200.0,7424,-394.05405405405406,605,12,0.0,1175.483154296875,0.0030074879,280,0.13817590475082397,0.3,-0.00319032552652061,2226.313751220703,-2.467294490337372,0.0003
30,200.0,7680,-395.5263157894737,602,12,0.0,372.1592712402344,0.0014305767,290,0.18427234888076782,0.3,-0.000268896808847785,917.744140625,-2.4467219352722167,0.0003
31,200.0,7936,-391.53846153846155,599,13,0.0,300.0035095214844,0.0056659407,300,0.2897326350212097,0.3,-0.008889123750850558,908.1070770263672,-2.4430211424827575,0.0003
32,200.0,8192,-395.5,596,13,0.0,270.2904052734375,0.0038170232,310,-0.051694393157958984,0.3,-0.002588389813899994,502.7508209228516,-2.434145200252533,0.0003
33,200.0,8448,-393.3333333333333,595,14,0.0,141.69496154785156,0.008715999,320,-0.000536799430847168,0.3,-0.012996463803574443,294.6877670288086,-2.43525972366333,0.0003
34,200.0,8704,-396.74418604651163,593,14,0.0,133.27162170410156,0.005629121,330,0.2153910994529724,0.3,-0.004330462799407542,659.4027297973632,-2.3637267470359804,0.0003
35,200.0,8960,-392.5,591,15,0.0,244.617919921875,0.0059486944,340,3.135204315185547e-05,0.3,-0.00874183455016464,603.2409149169922,-2.3041749835014342,0.0003
36,200.0,9216,-387.39130434782606,594,15,0.0,255.40245056152344,0.007409261,350,0.4203677177429199,0.3,-0.006816465547308326,902.6049285888672,-2.3125368475914003,0.0003
37,200.0,9472,-382.97872340425533,596,15,0.080859375,322.60595703125,0.026498238,360,-0.6092044115066528,0.3,-0.017654404509812593,575.616244506836,-2.1819682359695434,0.0003
38,200.0,9728,-378.3333333333333,597,16,0.0,493.6426086425781,0.0024034039,370,0.1143915057182312,0.3,-0.0006648681242950261,786.6071426391602,-2.1460137128829957,0.0003
39,200.0,9984,-374.2857142857143,598,16,0.0,653.5885620117188,0.001588698,380,0.05861032009124756,0.3,-0.0039893604116514325,1401.1235656738281,-2.134933793544769,0.0003
40,200.0,10240,-358.03921568627453,599,17,0.0,853.3128662109375,0.0007133605,390,0.0857730507850647,0.3,-0.0013729513389989733,2469.9995361328124,-2.164972746372223,0.0003
1,200.0,256,-440.0,882,0,0.0,219.16781616210938,0.0074174907,400,0.2570238709449768,0.3,-0.01029073647223413,754.1344009399414,-2.1715012073516844,0.0003
2,200.0,512,-315.0,769,0,0.0,69.28939056396484,0.00551981,410,2.7239322662353516e-05,0.3,-0.00974493776448071,155.41321563720703,-2.4086455583572386,0.0003
