time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/learning_rate
1,200.0,256,-640.0,758,0,,,,,,,,,,
2,200.0,512,-715.0,706,0,0.0,624.8243408203125,0.001429724,10,-0.0019506216049194336,0.3,-0.007909459271468222,1538.2387634277343,-2.5644693851470945,0.0003
3,200.0,768,-706.6666666666666,701,1,0.0,1036.900390625,0.0005608103,20,0.002187967300415039,0.3,-0.002438234316650778,2078.451031494141,-2.5621499896049498,0.0003
4,200.0,1024,-570.0,706,1,0.0,727.4312744140625,0.00047651865,30,0.006238222122192383,0.3,-0.0032787092961370943,1593.419854736328,-2.561395263671875,0.0003
5,200.0,1280,-525.0,704,1,0.0,816.072998046875,0.00086324406,40,0.0014074444770812988,0.3,-0.004298346908763051,1664.356982421875,-2.561210334300995,0.0003
6,200.0,1536,-505.7142857142857,707,2,0.0,856.90087890625,0.0004921204,50,0.0092812180519104,0.3,-0.003762587916571647,1588.7180297851562,-2.561366605758667,0.0003
7,200.0,1792,-502.5,710,2,0.0,996.739990234375,0.00038571446,60,0.012265384197235107,0.3,-0.0032543420034926384,1531.4347778320312,-2.5612905621528625,0.0003
8,200.0,2048,-468.0,711,2,0.0,767.951904296875,0.0016319652,70,0.017864584922790527,0.3,-0.008120205719023943,1456.7021789550781,-2.5584409832954407,0.0003
9,200.0,2304,-454.54545454545456,712,3,0.0,1081.5604248046875,0.0009950837,80,0.07912701368331909,0.3,-0.004524249769747257,2581.9396728515626,-2.5531625628471373,0.0003
10,200.0,2560,-440.0,713,3,0.0,899.70849609375,0.00047088903,90,0.024015188217163086,0.3,-0.0027879921719431875,1876.9968383789062,-2.550213134288788,0.0003
11,200.0,2816,-445.7142857142857,714,3,0.0,657.0252075195312,0.00036609708,100,0.06269276142120361,0.3,-0.0027070379815995692,1258.992169189453,-2.547456967830658,0.0003
12,200.0,3072,-448.6666666666667,715,4,0.0,683.1956176757812,0.0018084086,110,0.06657356023788452,0.3,-0.006975224753841758,1411.0081176757812,-2.545717251300812,0.0003
13,200.0,3328,-436.875,711,4,0.0,1001.8545532226562,0.00057635526,120,0.005408525466918945,0.3,-0.001787185063585639,2168.778704833984,-2.536667275428772,0.0003
14,200.0,3584,-447.05882352941177,708,5,0.0,767.2738647460938,0.0010012935,130,-0.00012695789337158203,0.3,-0.0036033768206834792,1575.4605224609375,-2.5325404047966003,0.0003
15,200.0,3840,-460.5263157894737,706,5,0.0,532.7720336914062,0.00044129835,140,0.004561901092529297,0.3,-0.0017665979452431203,1051.5465423583985,-2.5360841035842894,0.0003
16,200.0,4096,-445.5,705,5,0.0,858.4769287109375,0.0006235321,150,0.01123267412185669,0.3,-0.0035773429553955793,1654.776348876953,-2.535498762130737,0.0003
17,200.0,4352,-451.9047619047619,702,6,0.0,842.509033203125,0.0020516382,160,0.060115277767181396,0.3,-0.007166032423265278,1408.932928466797,-2.5240615248680114,0.0003
18,200.0,4608,-460.8695652173913,702,6,0.0,823.2630615234375,0.0019246389,170,-0.01639080047607422,0.3,-0.004693083371967078,1602.537548828125,-2.5102790117263796,0.0003
19,200.0,4864,-448.75,700,6,0.0,528.8111572265625,0.0011180616,180,0.034944772720336914,0.3,-0.003719425073359162,1073.2632385253905,-2.499832737445831,0.0003
20,200.0,5120,-441.6,700,7,0.0,1084.27783203125,0.00036939746,190,0.14942848682403564,0.3,-0.0012976157944649459,2044.3802307128906,-2.508417558670044,0.0003
21,200.0,5376,-434.2307692307692,700,7,0.0,792.4677124023438,0.003039415,200,0.14088159799575806,0.3,-0.00801323859486729,1487.3355651855468,-2.4966851353645323,0.0003
22,200.0,5632,-425.35714285714283,699,8,0.0,719.5603637695312,0.0011087572,210,0.14255404472351074,0.3,-0.002306883386336267,1388.3021118164063,-2.503049647808075,0.0003
23,200.0,5888,-440.0,698,8,0.0,557.6380004882812,0.0008437191,220,0.2230575680732727,0.3,-0.002695178007707,1207.092822265625,-2.506638288497925,0.0003
24,200.0,6144,-429.0,698,8,0.0,628.2596435546875,0.0015592966,230,9.065866470336914e-05,0.3,-0.005087634653318673,1448.6013427734374,-2.5017251133918763,0.0003
25,200.0,6400,-430.9375,698,9,0.0,442.5445251464844,0.0025343033,240,0.33728981018066406,0.3,-0.00969061446376145,1006.114859008789,-2.4767435669898985,0.0003
26,200.0,6656,-426.969696969697,698,9,0.0,413.9668884277344,0.009580571,250,0.00021970272064208984,0.3,-0.013108096783980727,838.7150207519531,-2.46737802028656,0.0003
27,200.0,6912,-432.3529411764706,697,9,0.0,711.8087158203125,0.0037408872,260,0.20888012647628784,0.3,-0.008353764575440436,1510.311749267578,-2.4764517307281495,0.0003
28,200.0,7168,-430.85714285714283,698,10,0.0,612.029296875,0.0023355926,270,0.00678253173828125,0.3,-0.005259129707701505,1371.270196533203,-2.460046911239624,0.0003
29,200.0,7424,-433.2432432432432,697,10,0.0,562.467041015625,0.006242222,280,0.04281735420227051,0.3,-0.010516010911669583,1041.049526977539,-2.455421733856201,0.0003
30,200.0,7680,-435.2631578947368,698,11,0.0,514.2862548828125,0.00560881,290,0.13627034425735474,0.3,-0.008657923876307904,1130.9767211914063,-2.4209638357162477,0.0003
31,200.0,7936,-433.5897435897436,698,11,0.0,393.38409423828125,0.0037173566,300,0.48040926456451416,0.3,-0.005843069450929761,868.2609130859375,-2.370669984817505,0.0003
32,200.0,8192,-434.25,697,11,0.0,276.1749267578125,0.01036416,310,-0.07121396064758301,0.3,-0.008604800654575228,1010.7798126220703,-2.3183526396751404,0.0003
33,200.0,8448,-437.6190476190476,697,12,0.004296875,494.3850402832031,0.019462086,320,-1.0132789611816406e-05,0.3,-0.009033969999291003,990.4371673583985,-2.1813395261764525,0.0003
34,200.0,8704,-436.51162790697674,696,12,0.0015625,424.70654296875,0.015736284,330,-1.5497207641601562e-06,0.3,-0.016024709027260543,756.427279663086,-2.124531960487366,0.0003
35,200.0,8960,-439.77272727272725,696,12,0.025,914.95751953125,0.025833676,340,5.9545040130615234e-05,0.3,-0.018016978958621623,1799.0792175292968,-1.9257344484329224,0.0003
36,200.0,9216,-443.2608695652174,696,13,0.053515625,275.0785217285156,0.01998461,350,-6.29425048828125e-05,0.3,-0.015151353389956056,654.9545501708984,-1.8891888558864594,0.0003
37,200.0,9472,-449.78723404255317,695,13,0.01484375,427.43365478515625,0.02150745,360,-2.4557113647460938e-05,0.3,-0.015340539161115885,875.3701568603516,-2.059134912490845,0.0003
38,200.0,9728,-446.875,694,14,0.01171875,767.2380981445312,0.022898156,370,0.00010001659393310547,0.3,-0.014270319021306932,1969.9792358398438,-2.2123438119888306,0.0003
39,200.0,9984,-452.6530612244898,693,14,0.0,514.9495849609375,0.0017074272,380,-4.5299530029296875e-06,0.3,-0.0007680370472371578,1185.7209106445312,-2.2676758885383608,0.0003
40,200.0,10240,-440.98039215686276,693,14,0.0,459.5819396972656,0.0044166455,390,2.3245811462402344e-06,0.3,-0.0069340302143245935,766.07490234375,-2.2721160531044005,0.0003
1,200.0,256,-673.0,874,0,0.0,1294.501220703125,0.0020988577,400,8.416175842285156e-05,0.3,-0.002691748342476785,2115.449322509766,-2.2677743792533875,0.0003
2,200.0,512,-495.5,759,0,0.0,879.6493530273438,0.00090602133,10,-0.0032782554626464844,0.3,-0.006536334753036499,1675.107196044922,-2.5645978450775146,0.0003
3,200.0,768,-425.3333333333333,729,1,0.0,529.275390625,0.0006265554,20,2.5510787963867188e-05,0.3,-0.00343302299734205,1230.483657836914,-2.5633504509925844,0.0003
4,200.0,1024,-480.0,720,1,0.0,951.6807250976562,0.00055892626,30,0.0016525983810424805,0.3,-0.0035110419616103173,1407.15224609375,-2.5627303242683412,0.0003
5,200.0,1280,-421.8333333333333,714,1,0.0,531.3998413085938,0.00066071213,40,0.0027396082878112793,0.3,-0.0033140959218144416,1147.6967987060548,-2.559955334663391,0.0003
6,200.0,1536,-426.2857142857143,707,2,0.0,526.1471557617188,0.0015919998,50,0.0028263330459594727,0.3,-0.007932772091589869,1079.9296508789062,-2.5602962732315064,0.0003
7,200.0,1792,-398.25,706,2,0.0,505.6275939941406,0.0019543183,60,-0.0020831823348999023,0.3,-0.007047356106340885,1326.737759399414,-2.5570578575134277,0.0003
8,200.0,2048,-402.6,698,2,0.0,1065.34765625,0.0015631455,70,0.011656761169433594,0.3,-0.0046575418673455715,2037.3254455566407,-2.547715187072754,0.0003
9,200.0,2304,-406.90909090909093,690,3,0.0,1007.3685302734375,0.00040474324,80,0.0031961798667907715,0.3,-0.002394512132741511,1980.9329772949218,-2.5421157002449037,0.0003
10,200.0,2560,-407.75,691,3,0.0,889.6698608398438,0.0003324817,90,0.042962074279785156,0.3,-0.0021932530915364625,1953.0535034179688,-2.5426336407661436,0.0003
11,200.0,2816,-423.35714285714283,692,4,0.0,596.2446899414062,0.00057615177,100,-0.012773752212524414,0.3,-0.0035629266523756085,1339.3260192871094,-2.5393502593040465,0.0003
12,200.0,3072,-419.06666666666666,691,4,0.0,1229.646240234375,0.00061728456,110,0.00043398141860961914,0.3,-0.0033056594780646264,1926.877508544922,-2.539707899093628,0.0003
13,200.0,3328,-428.1875,687,4,0.0,771.47607421875,0.0023189264,120,0.0068010687828063965,0.3,-0.007891016406938433,1408.2747985839844,-2.5366600155830383,0.0003
14,200.0,3584,-427.94117647058823,688,5,0.0,408.1567077636719,0.0014619725,130,0.03720217943191528,0.3,-0.004820911539718508,899.3219970703125,-2.512391245365143,0.0003
15,200.0,3840,-386.2105263157895,688,5,0.006640625,723.9581298828125,0.009441835,140,-0.0028362274169921875,0.3,-0.013392140856012702,1751.9329223632812,-2.514851176738739,0.0003
16,200.0,4096,-384.6,688,5,0.0,682.88427734375,0.002428578,150,0.010324716567993164,0.3,-0.006588729657232761,1283.6431213378905,-2.519916665554047,0.0003
17,200.0,4352,-385.76190476190476,688,6,0.0,1098.7208251953125,0.00035950053,160,0.011583089828491211,0.3,-0.0021686041727662086,1966.1739379882813,-2.5151787757873536,0.0003
18,200.0,4608,-394.7826086956522,687,6,0.0,464.83673095703125,0.00080590695,170,-0.046323180198669434,0.3,-0.003757885447703302,1330.751516723633,-2.524416506290436,0.0003
19,200.0,4864,-398.2083333333333,687,7,0.0,690.5711669921875,0.0005024215,180,0.060490548610687256,0.3,-0.0031801170902326704,1448.5772094726562,-2.529827868938446,0.0003
20,200.0,5120,-395.32,687,7,0.0,779.8317260742188,0.0017201717,190,4.458427429199219e-05,0.3,-0.005216952529735863,1454.2312805175782,-2.529004895687103,0.0003
21,200.0,5376,-393.9230769230769,687,7,0.0,528.5576782226562,0.0008581695,200,0.0775178074836731,0.3,-0.0026995726628229024,1059.353759765625,-2.5329311966896055,0.0003
22,200.0,5632,-388.57142857142856,687,8,0.0,567.9013671875,0.0009753208,210,0.05581766366958618,0.3,-0.005702257598750293,1084.235629272461,-2.5340345740318297,0.0003
23,200.0,5888,-391.2758620689655,686,8,0.0,1111.19970703125,0.0014541841,220,-7.641315460205078e-05,0.3,-0.006923196860589087,2407.4722900390625,-2.5394368886947634,0.0003
24,200.0,6144,-387.3,686,8,0.0,329.90960693359375,0.00029799156,230,-0.10430383682250977,0.3,-0.00121497557265684,869.3498809814453,-2.542774271965027,0.0003
25,200.0,6400,-386.125,686,9,0.0,391.9371643066406,0.00031888927,240,0.25344884395599365,0.3,-0.0033503514248877765,959.1132415771484,-2.543823790550232,0.0003
26,200.0,6656,-386.030303030303,686,9,0.0,563.7680053710938,0.00072694547,250,0.0010719895362854004,0.3,-0.004756049963179976,1177.1655181884767,-2.5464871525764465,0.0003
27,200.0,6912,-389.6764705882353,685,10,0.0,729.2129516601562,0.0003781377,260,0.01009833812713623,0.3,-0.00303984759375453,1284.3112548828126,-2.5486701011657713,0.0003
28,200.0,7168,-390.1142857142857,685,10,0.0,385.7767333984375,0.00022231159,270,0.16071224212646484,0.3,-0.00214848859468475,929.6199188232422,-2.548290753364563,0.0003
29,200.0,7424,-382.72972972972974,685,10,0.0,129.75048828125,0.0018651295,280,0.010374367237091064,0.3,-0.00605062625836581,342.128491973877,-2.5462035059928896,0.0003
30,200.0,7680,-388.2368421052632,685,11,0.0,324.4698486328125,0.0044325534,290,0.31908804178237915,0.3,-0.010959065426141024,744.6586486816407,-2.529254138469696,0.0003
31,200.0,7936,-379.56410256410254,685,11,0.0,465.6988220214844,0.0029907068,300,0.00031065940856933594,0.3,-0.006107342895120382,894.5776153564453,-2.507774758338928,0.0003
32,200.0,8192,-375.95,685,11,0.0,572.828125,0.0023040555,310,0.21328729391098022,0.3,-0.007167460070922971,1102.1249786376952,-2.5026666641235353,0.0003
33,200.0,8448,-357.95238095238096,686,12,0.0,575.2779541015625,0.00055957143,320,0.14685416221618652,0.3,0.00032618925906717776,1454.39833984375,-2.477636289596558,0.0003
34,200.0,8704,-360.30232558139534,686,12,0.003125,545.3331909179688,0.003174081,330,0.0014435648918151855,0.3,-0.00858843382447958,1509.4247314453125,-2.4726412892341614,0.0003
35,200.0,8960,-359.3636363636364,685,13,0.00234375,427.396728515625,0.004440214,340,0.013193070888519287,0.3,-0.00954026768449694,1177.0766326904297,-2.4742270588874815,0.0003
36,200.0,9216,-361.4347826086956,686,13,0.0,308.1308898925781,0.0012186547,350,-0.0008205175399780273,0.3,-0.0022599006537348033,687.974609375,-2.492434394359589,0.0003
37,200.0,9472,-364.74468085106383,685,13,0.0,487.1556396484375,0.0010547454,360,0.1801777482032776,0.3,-0.0035701564978808165,1190.7433715820312,-2.5035847425460815,0.0003
38,200.0,9728,-368.7083333333333,686,14,0.0,499.0571594238281,0.0019315504,370,0.07326143980026245,0.3,-0.004796661180444061,1089.7739288330079,-2.4906923532485963,0.0003
39,200.0,9984,-372.3061224489796,686,14,0.0,405.0110168457031,0.0059372606,380,0.0003623366355895996,0.3,-0.010758775495924055,741.9019409179688,-2.4362658143043516,0.0003
40,200.0,10240,-377.05882352941177,686,14,0.0,356.3902893066406,0.0042706667,390,-0.00010383129119873047,0.3,-0.0077754982048645616,679.7741058349609,-2.3975077986717226,0.0003
1,200.0,256,-120.0,886,0,0.0,309.6169738769531,0.0011738238,400,-0.10293042659759521,0.3,-0.0013846988324075938,695.6716552734375,-2.4378538966178893,0.0003
2,200.0,512,-230.0,777,0,0.01328125,903.8580932617188,0.020542609,410,9.357929229736328e-06,0.3,-0.014453798346221448,1377.2254913330078,-2.278496515750885,0.0003
3,200.0,768,-180.0,743,1,0.0,167.83950805664062,0.0057345605,420,4.76837158203125e-06,0.3,-0.0013339951517991721,305.9319534301758,-2.2000743746757507,0.0003
4,200.0,1024,-184.0,725,1,0.06328125,471.4563293457031,0.026376218,430,0.0001582503318786621,0.3,-0.015001325355842709,926.2600463867187,-2.17913703918457,0.0003
