time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/n_updates,train/entropy_loss,train/loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/clip_range,train/explained_variance
2,894,2048,1,200.0,-666.0,,,,,,,,,,
5,703,4096,2,200.0,-558.5,-0.008023962909646798,4101.743224334717,10,-2.4817290298640726,1590.02685546875,0.0077817407,0.0003,0.011328125,0.2,0.0018053650856018066
9,658,6144,3,200.0,-546.3333333333334,-0.008405810853582807,3446.1592308044433,20,-2.464436163753271,1553.0919189453125,0.010334376,0.0003,0.03720703125,0.2,0.1424732804298401
12,642,8192,4,200.0,-553.5,-0.014517480540962423,3577.2507751464846,30,-2.4304000310599805,2089.64501953125,0.013176102,0.0003,0.104443359375,0.2,0.16492938995361328
16,626,10240,5,200.0,-541.1764705882352,-0.007433678176312242,2673.906904220581,40,-2.4089482173323633,1401.8193359375,0.011552475,0.0003,0.046630859375,0.2,0.35909056663513184
2,906,2048,1,200.0,-1951.0,-0.009913944224535953,2477.2241550445556,50,-2.3997579634189607,949.349853515625,0.01163714,0.0003,0.06015625,0.2,0.27596861124038696
5,704,4096,2,200.0,-1953.5,-0.0048825271034729665,23893.92138671875,10,-2.483795853704214,11211.015625,0.0031557782,0.0003,0.0001953125,0.2,0.0001545548439025879
9,656,6144,3,200.0,-1879.3333333333333,-0.004624373477417976,24759.55162963867,20,-2.4790112495422365,12338.2080078125,0.0034882901,0.0003,0.0,0.2,-2.9087066650390625e-05
12,634,8192,4,200.0,-1879.25,-0.004861650970997289,19650.05743408203,30,-2.4675412543118,8966.46484375,0.0048169745,0.0003,0.01220703125,0.2,-9.5367431640625e-06
16,620,10240,5,200.0,-1811.764705882353,-0.011378517124103382,21449.49010925293,40,-2.44471215903759,9424.7578125,0.01000048,0.0003,0.056689453125,0.2,-5.4836273193359375e-06
2,905,2048,1,200.0,-303.0,-0.0070246013972791845,16026.490911865234,50,-2.4201932840049265,8220.9970703125,0.00753936,0.0003,0.051171875,0.2,-3.814697265625e-06
5,715,4096,2,200.0,-335.0,-0.007754678450874053,1791.5765754699707,60,-2.412352318316698,993.3181762695312,0.009548528,0.0003,0.03759765625,0.2,0.24600660800933838
