time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/entropy_loss
1,-718.0,1028,0,200.0,256,,,,,,,,,,
2,-789.5,1045,0,200.0,512,1779.4730895996095,-0.0018216371536254883,732.7241821289062,-0.007618765300139785,0.3,0.0013291962,0.0,0.0003,10,-2.5645010113716125
3,-783.6666666666666,1039,0,200.0,768,2383.808068847656,0.0020560622215270996,1188.483642578125,-0.002408332994673401,0.3,0.00052518165,0.0,0.0003,20,-2.5623555541038514
4,-645.6,1027,0,200.0,1024,1789.1222778320312,0.005945682525634766,814.8250122070312,-0.0029529788065701724,0.3,0.0003972191,0.0,0.0003,30,-2.561651182174683
5,-628.1666666666666,1019,1,200.0,1280,1731.9357971191407,0.0013172030448913574,851.2686767578125,-0.0037543732672929765,0.3,0.0006919415,0.0,0.0003,40,-2.561430811882019
6,-640.8571428571429,1014,1,200.0,1536,2239.983020019531,0.0062482357025146484,1197.2757568359375,-0.0028411337407305837,0.3,0.0003459046,0.0,0.0003,50,-2.561623787879944
7,-629.125,1012,1,200.0,1792,1133.7679870605468,0.005538582801818848,581.0052490234375,-0.005522821878548712,0.3,0.00067405426,0.0,0.0003,60,-2.560825502872467
8,-581.0,1012,2,200.0,2048,1579.6760314941407,0.0014513134956359863,854.2256469726562,-0.009590140590444208,0.3,0.0023751308,0.0,0.0003,70,-2.556850492954254
9,-544.0909090909091,1011,2,200.0,2304,2938.34296875,0.0007246136665344238,1310.22900390625,-0.005902781384065747,0.3,0.001995955,0.0,0.0003,80,-2.5500388145446777
10,-536.0,1013,2,200.0,2560,2605.5176635742187,-0.00014472007751464844,1172.8028564453125,-0.010218057059682905,0.3,0.004048992,0.0,0.0003,90,-2.5445462822914124
11,-506.7857142857143,1015,2,200.0,2816,2313.8192443847656,0.02937173843383789,1209.6419677734375,-0.003251251857727766,0.3,0.0005983461,0.0,0.0003,100,-2.546596622467041
12,-504.6666666666667,1019,3,200.0,3072,1310.7972106933594,0.14510804414749146,726.6111450195312,-0.0013215397018939256,0.3,9.897165e-05,0.0,0.0003,110,-2.5451298356056213
13,-490.875,1021,3,200.0,3328,2140.5275390625,0.02553659677505493,1142.6512451171875,-0.002692923019640148,0.3,0.0003254863,0.0,0.0003,120,-2.54055517911911
14,-507.47058823529414,1024,3,200.0,3584,1636.7651916503905,0.04821944236755371,695.307861328125,-0.0024850079498719424,0.3,0.00030595064,0.0,0.0003,130,-2.538418102264404
15,-519.9473684210526,1026,3,200.0,3840,1428.4701293945313,0.04248708486557007,711.2003784179688,-0.0014643932227045298,0.3,0.0001926974,0.0,0.0003,140,-2.542560541629791
16,-512.7,1025,3,200.0,4096,1582.3196716308594,-0.03119969367980957,1016.4077758789062,-0.003181736683472991,0.3,0.00032158894,0.0,0.0003,150,-2.546440839767456
17,-521.8571428571429,1024,4,200.0,4352,1367.1038940429687,0.0005998015403747559,494.388671875,-0.0016949217300862075,0.3,0.00024451665,0.0,0.0003,160,-2.5444039583206175
18,-533.0869565217391,1022,4,200.0,4608,2563.784948730469,-5.364418029785156e-06,1259.6905517578125,-0.0013834676472470164,0.3,0.00018905057,0.0,0.0003,170,-2.540336346626282
19,-500.0833333333333,1022,4,200.0,4864,1444.2258361816407,0.00012826919555664062,606.6608276367188,-0.006595270289108157,0.3,0.001297541,0.0,0.0003,180,-2.540792739391327
20,-497.48,1021,5,200.0,5120,3064.3366088867188,0.0006725192070007324,1653.2244873046875,-0.013364111771807075,0.3,0.004880932,0.0,0.0003,190,-2.5430643439292906
21,-494.3076923076923,1023,5,200.0,5376,1638.1606994628905,0.0027408599853515625,970.3236694335938,-0.0007320193108171225,0.3,0.00036901608,0.0,0.0003,200,-2.5468843936920167
22,-486.14285714285717,1025,5,200.0,5632,2023.1469177246095,0.12605637311935425,962.3966064453125,-0.002340392954647541,0.3,0.00019376841,0.0,0.0003,210,-2.5497565269470215
23,-481.3103448275862,1021,5,200.0,5888,956.4049072265625,-0.047628164291381836,409.9832458496094,-0.0013258543564006685,0.3,9.4776275e-05,0.0,0.0003,220,-2.548756742477417
24,-480.8666666666667,1018,6,200.0,6144,989.1552062988281,0.1872704029083252,474.6285095214844,-0.002996274712495506,0.3,0.00024492224,0.0,0.0003,230,-2.546826148033142
25,-481.71875,1016,6,200.0,6400,790.005029296875,0.015057981014251709,341.72186279296875,-0.0015218581538647413,0.3,0.00016966974,0.0,0.0003,240,-2.547021174430847
26,-490.09090909090907,1006,6,200.0,6656,1447.5690856933593,0.012348055839538574,579.2338256835938,-0.00267815085244365,0.3,0.0002356458,0.0,0.0003,250,-2.549643898010254
27,-495.9117647058824,1004,6,200.0,6912,1739.4154846191407,0.001310884952545166,896.2115478515625,-0.002188994747120887,0.3,0.00017358991,0.0,0.0003,260,-2.5463138580322267
28,-501.3142857142857,1000,7,200.0,7168,1165.7878112792969,-0.3217489719390869,396.8388977050781,-0.0015265951748006045,0.3,0.00011588517,0.0,0.0003,270,-2.5460690379142763
29,-504.18918918918916,998,7,200.0,7424,1101.3261810302733,-0.06292223930358887,487.59515380859375,-0.004086114512756467,0.3,0.00056566694,0.0,0.0003,280,-2.5500107526779177
30,-502.3421052631579,998,7,200.0,7680,2016.84375,0.0034119486808776855,832.4830322265625,-0.005519089614972472,0.3,0.0024327077,0.0,0.0003,290,-2.534112048149109
31,-501.94871794871796,997,7,200.0,7936,856.562857055664,-0.259052038192749,310.8409423828125,-0.0016158793587237597,0.3,0.00061326125,0.0,0.0003,300,-2.5192153215408326
32,-496.3,993,8,200.0,8192,1742.632147216797,-0.0017940998077392578,870.8770751953125,-0.0036210251273587346,0.3,0.00085417624,0.0,0.0003,310,-2.5253172636032106
33,-499.35714285714283,991,8,200.0,8448,2122.701141357422,-0.02022850513458252,1051.172119140625,-0.005906655616126954,0.3,0.0030244,0.0,0.0003,320,-2.5286932229995727
34,-501.5348837209302,986,8,200.0,8704,1216.0327880859375,1.430511474609375e-06,578.2672119140625,-0.0009568584617227315,0.3,0.0018051434,0.0,0.0003,330,-2.530904304981232
35,-506.90909090909093,984,9,200.0,8960,1912.7259399414063,0.00011098384857177734,979.255859375,-0.005208643933292479,0.3,0.0012588284,0.0,0.0003,340,-2.5322829365730284
36,-502.39130434782606,976,9,200.0,9216,1021.2816040039063,7.092952728271484e-06,491.47503662109375,-0.0037767153698951006,0.3,0.001400043,0.0,0.0003,350,-2.520790123939514
37,-501.78723404255317,971,9,200.0,9472,1246.7221252441407,-8.094310760498047e-05,682.7471923828125,-0.010319049563258886,0.3,0.004321778,0.0,0.0003,360,-2.508480930328369
38,-492.9791666666667,969,10,200.0,9728,1396.8607482910156,6.079673767089844e-06,607.8617553710938,-0.00709807095117867,0.3,0.0049024755,0.0,0.0003,370,-2.5094183444976808
39,-494.55102040816325,971,10,200.0,9984,2320.2589111328125,0.00020384788513183594,828.9201049804688,-0.02741073144134134,0.3,0.026512763,0.03515625,0.0003,380,-2.457161772251129
40,-498.80392156862746,973,10,200.0,10240,2176.7478881835937,0.0002536177635192871,1158.946533203125,-0.00796296177431941,0.3,0.0041605392,0.0,0.0003,390,-2.446042835712433
1,-821.0,1306,0,200.0,256,1265.8871948242188,9.948015213012695e-05,649.4342041015625,-0.0012457906734198332,0.3,0.0016842044,0.0,0.0003,400,-2.4253689289093017
2,-501.5,1154,0,200.0,512,1810.333056640625,-0.0014271736145019531,850.2175903320312,-0.007185354921966791,0.3,0.0008985554,0.0,0.0003,10,-2.5646050810813903
3,-430.3333333333333,1118,0,200.0,768,1145.4603942871095,0.003544032573699951,560.9671630859375,-0.006097917503211647,0.3,0.0011608731,0.0,0.0003,20,-2.5637646555900573
4,-419.6,1059,0,200.0,1024,1186.4122802734375,-0.001574873924255371,561.4893798828125,-0.00480195814743638,0.3,0.0010622304,0.0,0.0003,30,-2.562207353115082
5,-446.5,1043,1,200.0,1280,1586.177978515625,-0.0005991458892822266,672.9192504882812,-0.004112162068486214,0.3,0.0009461073,0.0,0.0003,40,-2.559832048416138
6,-426.85714285714283,1034,1,200.0,1536,1275.9623168945313,-0.00048720836639404297,653.3438720703125,-0.005071206064894795,0.3,0.0008250058,0.0,0.0003,50,-2.5559728145599365
7,-427.625,1029,1,200.0,1792,1544.0476684570312,0.00019443035125732422,695.0430908203125,-0.004894646443426609,0.3,0.0010133421,0.0,0.0003,60,-2.553932547569275
8,-453.7,1026,1,200.0,2048,1974.0272033691406,-6.854534149169922e-05,870.2557373046875,-0.003544426592998207,0.3,0.0007480916,0.0,0.0003,70,-2.5566557168960573
9,-449.8181818181818,1020,2,200.0,2304,1172.0701751708984,1.704692840576172e-05,583.8604125976562,-0.004519360279664398,0.3,0.00081775594,0.0,0.0003,80,-2.555049514770508
10,-426.6666666666667,1023,2,200.0,2560,1710.0501525878906,-2.2530555725097656e-05,968.628173828125,-0.001923064677976072,0.3,0.00047710445,0.0,0.0003,90,-2.5491272091865538
11,-422.7857142857143,1024,2,200.0,2816,1423.8763488769532,2.086162567138672e-06,592.4496459960938,-0.009558589663356543,0.3,0.0031002362,0.0,0.0003,100,-2.546753704547882
12,-432.1333333333333,1026,2,200.0,3072,1219.1016906738282,0.0002047419548034668,394.250244140625,-0.0016668115742504597,0.3,0.0014291685,0.0,0.0003,110,-2.5386642098426817
13,-404.4375,1014,3,200.0,3328,827.8485931396484,-9.393692016601562e-05,485.38287353515625,-0.004252964211627841,0.3,0.0012295994,0.0,0.0003,120,-2.5350040197372437
14,-409.2352941176471,1017,3,200.0,3584,1545.7465393066407,5.91278076171875e-05,863.44677734375,-0.024607210885733366,0.3,0.040753588,0.08515625,0.0003,130,-2.5032501339912416
15,-406.05263157894734,1018,3,200.0,3840,628.0611145019532,0.0009243488311767578,299.13128662109375,-0.003963877935893834,0.3,0.005000906,0.0,0.0003,140,-2.440361499786377
16,-398.65,1017,4,200.0,4096,1145.9215850830078,0.00019985437393188477,312.92169189453125,-0.01830341387540102,0.3,0.014693828,0.02109375,0.0003,150,-2.4362555146217346
17,-397.42857142857144,1018,4,200.0,4352,865.537973022461,0.00908660888671875,342.1548767089844,0.003392066853120923,0.3,0.0015103533,0.0,0.0003,160,-2.4481841921806335
18,-388.69565217391306,1017,4,200.0,4608,525.7190017700195,-0.006509542465209961,263.5042724609375,-0.0010863401694223285,0.3,0.00014337059,0.0,0.0003,170,-2.453981077671051
19,-389.4166666666667,1018,4,200.0,4864,1379.3646728515625,-0.00038874149322509766,584.9061889648438,-0.014209993882104754,0.3,0.01964264,0.032421875,0.0003,180,-2.481257164478302
20,-388.4,1018,5,200.0,5120,593.5455642700196,-3.24249267578125e-05,324.27301025390625,-0.0013371354434639215,0.3,0.010899687,0.008203125,0.0003,190,-2.409035885334015
21,-394.46153846153845,1021,5,200.0,5376,1130.1632385253906,-8.809566497802734e-05,436.7580871582031,-0.0014319027075544,0.3,0.00030764332,0.0,0.0003,200,-2.400651216506958
22,-386.75,1023,5,200.0,5632,1313.6662353515626,-0.00012612342834472656,741.5059204101562,-0.0021596217527985575,0.3,0.0003460585,0.0,0.0003,210,-2.388753581047058
23,-382.0344827586207,1024,5,200.0,5888,273.65672454833987,6.818771362304688e-05,169.23541259765625,-0.004462053254246712,0.3,0.000967514,0.0,0.0003,220,-2.389827275276184
24,-374.5,1022,6,200.0,6144,1346.2812561035157,0.00012046098709106445,385.0673828125,-0.0005240087397396564,0.3,0.00031908276,0.0,0.0003,230,-2.4088526248931883
25,-369.5625,1023,6,200.0,6400,1718.6241455078125,0.0005922317504882812,626.1218872070312,-0.0030069783795624973,0.3,0.000663006,0.0,0.0003,240,-2.421493935585022
26,-369.1515151515151,1021,6,200.0,6656,221.36983489990234,7.337331771850586e-05,96.64146423339844,9.348365128971636e-05,0.3,0.00013437355,0.0,0.0003,250,-2.4097325086593626
27,-372.55882352941177,1020,6,200.0,6912,435.29248046875,-0.0001723766326904297,262.3132629394531,-0.002555104880593717,0.3,0.00042689196,0.0,0.0003,260,-2.4058605909347532
28,-374.57142857142856,1017,7,200.0,7168,718.4618713378907,-0.0002968311309814453,332.7461853027344,-0.0013642513775266707,0.3,0.00042982865,0.0,0.0003,270,-2.4125301361083986
29,-368.27027027027026,1016,7,200.0,7424,1198.4842651367187,-0.00017178058624267578,642.50927734375,-0.006481086416170001,0.3,0.0029004961,0.0,0.0003,280,-2.402555453777313
30,-363.1578947368421,1017,7,200.0,7680,264.83535385131836,-0.00012159347534179688,121.0468978881836,-0.003048315877094865,0.3,0.0014297909,0.0,0.0003,290,-2.3797704696655275
31,-359.9230769230769,1012,7,200.0,7936,1097.2636764526367,-0.00023162364959716797,855.7649536132812,-0.018065673485398292,0.3,0.02449796,0.07109375,0.0003,300,-2.3577606320381164
32,-360.0,1013,8,200.0,8192,1280.4046508789063,4.357099533081055e-05,644.6859130859375,-0.01794448555447161,0.3,0.012561766,0.022265625,0.0003,310,-2.3403878927230837
33,-349.1666666666667,1013,8,200.0,8448,869.8407272338867,0.0006698369979858398,513.2647705078125,-0.009006719710305333,0.3,0.016436692,0.001171875,0.0003,320,-2.3561015367507934
34,-352.4186046511628,1009,8,200.0,8704,938.2817901611328,0.0034562349319458008,380.7434997558594,-0.0009643667377531529,0.3,0.0032507698,0.0,0.0003,330,-2.2777106046676634
35,-352.1136363636364,1006,8,200.0,8960,727.4031921386719,0.048934221267700195,373.8927001953125,-0.0009790276642888784,0.3,0.00029114517,0.0,0.0003,340,-2.2337995409965514
36,-346.10869565217394,1005,9,200.0,9216,364.4277214050293,0.027792394161224365,148.90362548828125,-0.00043948133243247866,0.3,7.2130235e-05,0.0,0.0003,350,-2.2636674761772158
