time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/loss,train/explained_variance
0,1,-640.0,256,695,200.0,,,,,,,,,,
0,2,-715.0,512,673,200.0,1538.2387634277343,0.001429724,0.0,-2.5644693851470945,0.3,-0.007909459271468222,0.0003,10,624.8243408203125,-0.0019506216049194336
1,3,-706.6666666666666,768,637,200.0,2078.451031494141,0.0005608103,0.0,-2.5621499896049498,0.3,-0.002438234316650778,0.0003,20,1036.900390625,0.002187967300415039
1,4,-570.0,1024,638,200.0,1593.419854736328,0.00047651865,0.0,-2.561395263671875,0.3,-0.0032787092961370943,0.0003,30,727.4312744140625,0.006238222122192383
2,5,-525.0,1280,638,200.0,1664.356982421875,0.00086324406,0.0,-2.561210334300995,0.3,-0.004298346908763051,0.0003,40,816.072998046875,0.0014074444770812988
2,6,-505.7142857142857,1536,641,200.0,1588.7180297851562,0.0004921204,0.0,-2.561366605758667,0.3,-0.003762587916571647,0.0003,50,856.90087890625,0.0092812180519104
2,7,-502.5,1792,640,200.0,1531.4347778320312,0.00038571446,0.0,-2.5612905621528625,0.3,-0.0032543420034926384,0.0003,60,996.739990234375,0.012265384197235107
3,8,-468.0,2048,642,200.0,1456.7021789550781,0.0016319652,0.0,-2.5584409832954407,0.3,-0.008120205719023943,0.0003,70,767.951904296875,0.017864584922790527
3,9,-454.54545454545456,2304,641,200.0,2581.9396728515626,0.0009950837,0.0,-2.5531625628471373,0.3,-0.004524249769747257,0.0003,80,1081.5604248046875,0.07912701368331909
3,10,-440.0,2560,642,200.0,1876.9968383789062,0.00047088903,0.0,-2.550213134288788,0.3,-0.0027879921719431875,0.0003,90,899.70849609375,0.024015188217163086
4,11,-445.7142857142857,2816,643,200.0,1258.992169189453,0.00036609708,0.0,-2.547456967830658,0.3,-0.0027070379815995692,0.0003,100,657.0252075195312,0.06269276142120361
4,12,-448.6666666666667,3072,643,200.0,1411.0081176757812,0.0018084086,0.0,-2.545717251300812,0.3,-0.006975224753841758,0.0003,110,683.1956176757812,0.06657356023788452
5,13,-436.875,3328,644,200.0,2168.778704833984,0.00057635526,0.0,-2.536667275428772,0.3,-0.001787185063585639,0.0003,120,1001.8545532226562,0.005408525466918945
5,14,-447.05882352941177,3584,644,200.0,1575.4605224609375,0.0010012935,0.0,-2.5325404047966003,0.3,-0.0036033768206834792,0.0003,130,767.2738647460938,-0.00012695789337158203
5,15,-460.5263157894737,3840,644,200.0,1051.5465423583985,0.00044129835,0.0,-2.5360841035842894,0.3,-0.0017665979452431203,0.0003,140,532.7720336914062,0.004561901092529297
